Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,66.0,66.25,64.5,64.75,42.11507797241211,122625,0.0,0.0,EWJ,EWJ
2000-01-04,63.5,63.75,62.5,63.0,40.976844787597656,298000,0.0,0.0,EWJ,EWJ
2000-01-05,60.75,62.0,60.5,61.25,39.83859252929688,207700,0.0,0.0,EWJ,EWJ
2000-01-06,59.25,59.25,58.5,58.75,38.212520599365234,262875,0.0,0.0,EWJ,EWJ
2000-01-07,59.25,60.0,59.25,60.0,39.02556228637695,122650,0.0,0.0,EWJ,EWJ
2000-01-10,60.75,61.0,60.5,61.0,39.67598724365234,205225,0.0,0.0,EWJ,EWJ
2000-01-11,61.0,61.25,60.25,60.5,39.35078048706055,131950,0.0,0.0,EWJ,EWJ
2000-01-12,60.75,60.75,60.0,60.0,39.02556228637695,122025,0.0,0.0,EWJ,EWJ
2000-01-13,60.75,61.25,60.75,61.0,39.67598724365234,98025,0.0,0.0,EWJ,EWJ
2000-01-14,61.25,61.5,61.0,61.5,40.00118637084961,130400,0.0,0.0,EWJ,EWJ
2000-01-18,62.5,62.5,60.75,61.0,39.67598724365234,158450,0.0,0.0,EWJ,EWJ
2000-01-19,60.5,60.75,59.75,60.5,39.35078048706055,382075,0.0,0.0,EWJ,EWJ
2000-01-20,60.25,60.5,59.5,60.0,39.02556228637695,98350,0.0,0.0,EWJ,EWJ
2000-01-21,60.5,60.75,59.75,59.75,38.86296463012695,165850,0.0,0.0,EWJ,EWJ
2000-01-24,60.75,61.0,59.0,59.5,38.70035171508789,154575,0.0,0.0,EWJ,EWJ
2000-01-25,60.25,60.25,59.25,60.25,39.188175201416016,92675,0.0,0.0,EWJ,EWJ
2000-01-26,60.75,61.25,60.5,61.0,39.67598724365234,79825,0.0,0.0,EWJ,EWJ
2000-01-27,61.75,62.25,60.5,60.5,39.35078048706055,105100,0.0,0.0,EWJ,EWJ
2000-01-28,62.25,62.25,59.75,60.0,39.02556228637695,77500,0.0,0.0,EWJ,EWJ
2000-01-31,61.0,61.5,60.75,61.5,40.00118637084961,111500,0.0,0.0,EWJ,EWJ
2000-02-01,61.25,61.5,60.75,61.5,40.00118637084961,180450,0.0,0.0,EWJ,EWJ
2000-02-02,62.0,62.0,61.25,62.0,40.3264045715332,93650,0.0,0.0,EWJ,EWJ
2000-02-03,62.25,63.0,62.0,63.0,40.976844787597656,179000,0.0,0.0,EWJ,EWJ
2000-02-04,63.75,64.25,63.5,64.0,41.627254486083984,122575,0.0,0.0,EWJ,EWJ
2000-02-07,63.5,63.5,62.75,63.0,40.976844787597656,84850,0.0,0.0,EWJ,EWJ
2000-02-08,62.5,62.75,61.75,62.0,40.3264045715332,95400,0.0,0.0,EWJ,EWJ
2000-02-09,62.25,62.5,61.75,62.0,40.3264045715332,129150,0.0,0.0,EWJ,EWJ
2000-02-10,62.5,62.75,61.75,62.0,40.3264045715332,74625,0.0,0.0,EWJ,EWJ
2000-02-11,61.75,62.25,61.25,61.5,40.00118637084961,112525,0.0,0.0,EWJ,EWJ
2000-02-14,62.0,62.5,60.5,62.5,40.65161895751953,90725,0.0,0.0,EWJ,EWJ
