Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-06-23,38.75,38.75,38.75,38.75,16.16205596923828,450,0.0,0.0,EWT,EWT
2000-06-26,38.0,38.0,38.0,38.0,15.849237442016602,250,0.0,0.0,EWT,EWT
2000-06-27,37.625,37.875,37.5,37.875,15.79710578918457,2200,0.0,0.0,EWT,EWT
2000-06-28,37.75,37.75,37.75,37.75,15.744969367980955,500,0.0,0.0,EWT,EWT
2000-06-29,37.75,37.75,37.75,37.75,15.744969367980955,0,0.0,0.0,EWT,EWT
2000-06-30,37.5,37.5,37.5,37.5,15.640701293945312,12150,0.0,0.0,EWT,EWT
2000-07-03,37.5,37.5,37.5,37.5,15.640701293945312,0,0.0,0.0,EWT,EWT
2000-07-05,38.625,38.75,38.625,38.75,16.16205596923828,16150,0.0,0.0,EWT,EWT
2000-07-06,37.875,38.375,37.875,38.375,16.00564956665039,25300,0.0,0.0,EWT,EWT
2000-07-07,37.5,37.75,37.5,37.625,15.69283390045166,18050,0.0,0.0,EWT,EWT
2000-07-10,37.25,37.25,37.25,37.25,15.536425590515137,100,0.0,0.0,EWT,EWT
2000-07-11,37.375,37.375,36.875,36.875,15.38002109527588,350,0.0,0.0,EWT,EWT
2000-07-12,36.75,36.75,36.75,36.75,15.327879905700684,100,0.0,0.0,EWT,EWT
2000-07-13,36.75,37.375,36.75,37.375,15.588556289672852,700,0.0,0.0,EWT,EWT
2000-07-14,38.0,38.125,38.0,38.125,15.901372909545898,1850,0.0,0.0,EWT,EWT
2000-07-17,38.75,38.875,38.75,38.875,16.214191436767578,4500,0.0,0.0,EWT,EWT
2000-07-18,37.25,37.25,37.25,37.25,15.536425590515137,850,0.0,0.0,EWT,EWT
2000-07-19,37.25,37.25,36.625,36.625,15.275745391845703,800,0.0,0.0,EWT,EWT
2000-07-20,36.25,36.75,36.25,36.75,15.327879905700684,5600,0.0,0.0,EWT,EWT
2000-07-21,35.75,35.75,35.75,35.75,14.910797119140623,200,0.0,0.0,EWT,EWT
2000-07-24,35.75,35.75,35.75,35.75,14.910797119140623,0,0.0,0.0,EWT,EWT
2000-07-25,35.75,35.75,35.75,35.75,14.910797119140623,0,0.0,0.0,EWT,EWT
2000-07-26,35.75,35.75,35.75,35.75,14.910797119140623,0,0.0,0.0,EWT,EWT
2000-07-27,35.75,35.75,35.75,35.75,14.910797119140623,0,0.0,0.0,EWT,EWT
2000-07-28,36.125,36.125,36.125,36.125,15.067201614379885,250,0.0,0.0,EWT,EWT
2000-07-31,36.125,36.125,36.125,36.125,15.067201614379885,0,0.0,0.0,EWT,EWT
2000-08-01,36.125,36.125,36.125,36.125,15.067201614379885,0,0.0,0.0,EWT,EWT
2000-08-02,36.125,36.125,36.125,36.125,15.067201614379885,0,0.0,0.0,EWT,EWT
2000-08-03,36.125,36.125,36.125,36.125,15.067201614379885,0,0.0,0.0,EWT,EWT
2000-08-04,36.125,36.125,35.875,36.0,15.01506805419922,13900,0.0,0.0,EWT,EWT
2000-08-07,35.75,35.75,35.75,35.75,14.910797119140623,139850,0.0,0.0,EWT,EWT
2000-08-08,35.75,35.875,35.75,35.875,14.962933540344238,900,0.0,0.0,EWT,EWT
2000-08-09,36.0,36.75,36.0,36.625,15.275745391845703,25450,0.0,0.0,EWT,EWT
2000-08-10,36.875,36.875,36.75,36.875,15.38002109527588,950850,0.0,0.0,EWT,EWT
2000-08-11,36.75,36.75,36.75,36.75,15.327879905700684,100,0.0,0.0,EWT,EWT
2000-08-14,35.625,35.625,35.125,35.625,14.858664512634276,900,0.0,0.0,EWT,EWT
2000-08-15,35.75,35.75,35.75,35.75,14.910797119140623,250,0.0,0.0,EWT,EWT
2000-08-16,36.5,36.875,36.375,36.5,15.223610877990724,22450,0.0,0.0,EWT,EWT
2000-08-17,37.0,37.125,37.0,37.125,15.484288215637209,550,0.0,0.0,EWT,EWT
2000-08-18,37.25,37.25,37.25,37.25,15.536425590515137,5000,0.0,0.0,EWT,EWT
2000-08-21,37.25,37.625,37.125,37.25,15.536425590515137,1200,0.0,0.0,EWT,EWT
2000-08-22,37.5,37.5,37.5,37.5,15.640701293945312,16400,0.0,0.0,EWT,EWT
2000-08-23,37.5,37.5,37.5,37.5,15.640701293945312,0,0.0,0.0,EWT,EWT
2000-08-24,34.5,35.375,34.5,35.375,15.46192741394043,9050,1.716,0.0,EWT,EWT
2000-08-25,35.0,35.0,35.0,35.0,15.298022270202637,950,0.0,0.0,EWT,EWT
2000-08-28,33.25,34.25,33.25,33.75,14.751660346984863,15400,0.0,0.0,EWT,EWT
2000-08-29,34.375,34.375,33.875,34.25,14.97020149230957,250,0.0,0.0,EWT,EWT
2000-08-30,33.5,33.5,33.375,33.375,14.587756156921388,500,0.0,0.0,EWT,EWT
2000-08-31,33.75,33.75,33.75,33.75,14.751660346984863,2450,0.0,0.0,EWT,EWT
2000-09-01,33.0,33.0,32.75,32.75,14.31457805633545,1900,0.0,0.0,EWT,EWT
2000-09-05,33.5,33.5,33.5,33.5,14.642391204833984,750,0.0,0.0,EWT,EWT
2000-09-06,33.5,33.5,33.5,33.5,14.642391204833984,100,0.0,0.0,EWT,EWT
2000-09-07,33.0,33.0,32.125,32.25,14.09603500366211,84000,0.0,0.0,EWT,EWT
2000-09-08,32.25,32.25,32.0,32.0,13.986762046813965,250,0.0,0.0,EWT,EWT
2000-09-11,32.75,32.75,32.125,32.25,14.09603500366211,8550,0.0,0.0,EWT,EWT
2000-09-12,32.25,32.25,32.25,32.25,14.09603500366211,800,0.0,0.0,EWT,EWT
2000-09-13,32.0,32.0,32.0,32.0,13.986762046813965,300,0.0,0.0,EWT,EWT
2000-09-14,31.125,31.25,31.125,31.25,13.658947944641112,200,0.0,0.0,EWT,EWT
2000-09-15,31.0,31.125,30.875,30.875,13.495038986206056,750250,0.0,0.0,EWT,EWT
2000-09-18,29.875,30.25,29.875,30.25,13.2218599319458,250,0.0,0.0,EWT,EWT
2000-09-19,29.5,29.5,29.5,29.5,12.894044876098633,150,0.0,0.0,EWT,EWT
2000-09-20,29.875,29.875,29.5,29.5,12.894044876098633,12150,0.0,0.0,EWT,EWT
2000-09-21,29.5,29.5,29.5,29.5,12.894044876098633,0,0.0,0.0,EWT,EWT
2000-09-22,28.875,29.375,28.5,29.375,12.839411735534668,850,0.0,0.0,EWT,EWT
2000-09-25,29.75,29.75,29.75,29.75,13.003314971923828,50,0.0,0.0,EWT,EWT
2000-09-26,30.0,30.0,30.0,30.0,13.112586975097656,200,0.0,0.0,EWT,EWT
2000-09-27,29.25,29.375,29.25,29.375,12.839411735534668,10200,0.0,0.0,EWT,EWT
2000-09-28,27.75,29.5,27.75,28.625,12.511594772338867,8000,0.0,0.0,EWT,EWT
2000-09-29,29.125,29.125,28.25,28.25,12.347688674926758,14800,0.0,0.0,EWT,EWT
2000-10-02,28.25,28.25,26.375,26.5,11.582789421081545,272950,0.0,0.0,EWT,EWT
2000-10-03,27.0,27.0,27.0,27.0,11.801328659057615,50,0.0,0.0,EWT,EWT
2000-10-04,26.75,27.0,26.125,26.125,11.4188814163208,21500,0.0,0.0,EWT,EWT
2000-10-05,27.0,27.0,26.875,26.875,11.746692657470703,26400,0.0,0.0,EWT,EWT
2000-10-06,28.0,28.25,27.5,27.5,12.019874572753906,61000,0.0,0.0,EWT,EWT
2000-10-09,27.375,27.625,27.375,27.625,12.074508666992188,15150,0.0,0.0,EWT,EWT
2000-10-10,27.5,27.625,27.25,27.25,11.910603523254396,13550,0.0,0.0,EWT,EWT
2000-10-11,27.0,27.125,27.0,27.125,11.855964660644531,850,0.0,0.0,EWT,EWT
2000-10-12,26.0,26.0,25.75,25.75,11.25497341156006,39750,0.0,0.0,EWT,EWT
2000-10-13,25.75,26.75,25.75,26.0,11.364243507385254,56150,0.0,0.0,EWT,EWT
