Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,96.1875,96.1875,90.75,94.75,80.02821350097656,36345200,0.0,0.0,QQQ,QQQ
2000-01-04,92.0,93.5,87.9375,88.25,74.53812408447266,33786600,0.0,0.0,QQQ,QQQ
2000-01-05,87.5,89.625,84.25,86.0,72.6377182006836,42496600,0.0,0.0,QQQ,QQQ
2000-01-06,86.875,88.0,79.75,80.09375,67.64917755126953,37134800,0.0,0.0,QQQ,QQQ
2000-01-07,82.9375,90.0,82.5,90.0,76.01622009277344,28138200,0.0,0.0,QQQ,QQQ
2000-01-10,91.0,93.9375,89.9375,92.5,78.1277847290039,29675600,0.0,0.0,QQQ,QQQ
2000-01-11,91.75,92.875,87.0,88.0,74.32699584960938,32546600,0.0,0.0,QQQ,QQQ
2000-01-12,89.0,89.2421875,86.0,86.0625,72.69052124023438,29050000,0.0,0.0,QQQ,QQQ
2000-01-13,88.5,91.5,87.078125,91.25,77.07201385498047,25165200,0.0,0.0,QQQ,QQQ
2000-01-14,93.0,93.625,92.0,93.375,78.86681365966797,21898600,0.0,0.0,QQQ,QQQ
2000-01-18,92.0625,94.4375,91.4375,93.875,79.28914642333984,16752400,0.0,0.0,QQQ,QQQ
2000-01-19,93.4921875,96.0,92.4296875,96.0,81.083984375,19006000,0.0,0.0,QQQ,QQQ
2000-01-20,95.5,96.875,94.0078125,95.0625,80.2921142578125,25958000,0.0,0.0,QQQ,QQQ
2000-01-21,96.5,96.5625,95.0625,96.25,81.29515075683594,18698200,0.0,0.0,QQQ,QQQ
2000-01-24,97.4375,97.625,90.96875,91.625,77.38875579833984,28340400,0.0,0.0,QQQ,QQQ
2000-01-25,91.875,94.1171875,89.40625,93.0,78.55012512207031,33276200,0.0,0.0,QQQ,QQQ
2000-01-26,93.25,93.3125,89.0,89.25,75.38275909423828,23095600,0.0,0.0,QQQ,QQQ
2000-01-27,91.75,92.5,87.625,90.5625,76.4913101196289,30739200,0.0,0.0,QQQ,QQQ
2000-01-28,90.0,90.46875,84.75,86.0,72.6377182006836,35313800,0.0,0.0,QQQ,QQQ
2000-01-31,85.875,90.0,83.5,89.6875,75.75228881835938,36014600,0.0,0.0,QQQ,QQQ
2000-02-01,89.53125,92.5,88.4375,92.09375,77.78465270996094,26417600,0.0,0.0,QQQ,QQQ
2000-02-02,92.25,94.71875,92.09375,92.875,78.44452667236328,26169200,0.0,0.0,QQQ,QQQ
2000-02-03,94.3125,96.625,92.28125,96.5,81.50627136230469,30579800,0.0,0.0,QQQ,QQQ
2000-02-04,97.0,98.2421875,96.21875,97.15625,82.06056213378906,26640000,0.0,0.0,QQQ,QQQ
2000-02-07,97.25,98.625,96.25,98.5,83.19552612304688,17761000,0.0,0.0,QQQ,QQQ
2000-02-08,99.375,102.875,99.375,102.625,86.67962646484375,21999400,0.0,0.0,QQQ,QQQ
2000-02-09,102.0625,102.1953125,98.75,99.0,83.61785888671875,27258200,0.0,0.0,QQQ,QQQ
2000-02-10,99.8125,102.25,98.5546875,102.25,86.36287689208984,26341600,0.0,0.0,QQQ,QQQ
2000-02-11,102.0625,102.0625,98.0,99.875,84.3569107055664,24876000,0.0,0.0,QQQ,QQQ
2000-02-14,99.9921875,100.0,97.75,99.75,84.25131225585938,22814600,0.0,0.0,QQQ,QQQ
2000-02-15,98.9375,100.625,95.875,100.46875,84.8584213256836,30572800,0.0,0.0,QQQ,QQQ
2000-02-16,99.90625,101.6875,99.3125,100.0,84.46246337890625,25310600,0.0,0.0,QQQ,QQQ
2000-02-17,101.1875,103.25,99.625,102.125,86.25731658935547,30080200,0.0,0.0,QQQ,QQQ
2000-02-18,102.625,103.0,98.4375,98.4375,83.14278411865234,25271200,0.0,0.0,QQQ,QQQ
2000-02-22,99.0,99.9375,96.25,98.75,83.40670013427734,37226200,0.0,0.0,QQQ,QQQ
2000-02-23,99.6796875,105.0,99.15625,104.25,88.05213928222656,32170800,0.0,0.0,QQQ,QQQ
2000-02-24,104.875,106.8046875,102.0,106.5,89.95250701904297,48868200,0.0,0.0,QQQ,QQQ
2000-02-25,106.1875,107.5,103.875,104.0625,87.89371490478516,32617600,0.0,0.0,QQQ,QQQ
2000-02-28,103.25,105.6875,100.5,104.0,87.84101104736328,38216200,0.0,0.0,QQQ,QQQ
2000-02-29,105.75,107.09375,104.9375,106.75,90.16368865966795,23978600,0.0,0.0,QQQ,QQQ
2000-03-01,107.25,108.5625,106.5,107.625,90.90274810791016,24468400,0.0,0.0,QQQ,QQQ
2000-03-02,108.0625,108.1875,104.75,105.1328125,88.79776000976562,32739200,0.0,0.0,QQQ,QQQ
2000-03-03,108.0,111.125,107.0,111.0625,93.80615234375,32017200,0.0,0.0,QQQ,QQQ
2000-03-06,111.75,113.21875,110.25,111.9375,94.54520416259766,23268400,0.0,0.0,QQQ,QQQ
2000-03-07,113.8125,113.875,108.75,110.25,93.11991119384766,39471000,0.0,0.0,QQQ,QQQ
2000-03-08,111.0,112.0,106.28125,111.25,93.96449279785156,43512600,0.0,0.0,QQQ,QQQ
2000-03-09,111.21875,115.5,109.09375,115.0,97.1318588256836,30101400,0.0,0.0,QQQ,QQQ
2000-03-10,114.875,116.4375,113.5078125,114.5,96.70954132080078,29750600,0.0,0.0,QQQ,QQQ
2000-03-13,110.0,114.125,109.53125,111.5,94.1756591796875,37544200,0.0,0.0,QQQ,QQQ
2000-03-14,112.75,113.375,105.0,107.375,90.69158172607422,39106800,0.0,0.0,QQQ,QQQ
2000-03-15,106.5,107.0,101.875,102.875,86.89077758789062,51202600,0.0,0.0,QQQ,QQQ
2000-03-16,105.375,109.25,101.0,108.75,91.85296630859376,55282200,0.0,0.0,QQQ,QQQ
2000-03-17,108.0,111.0625,107.9375,110.8125,93.5949935913086,31422400,0.0,0.0,QQQ,QQQ
2000-03-20,111.0,111.5,106.25,107.6875,90.9555206298828,21167200,0.0,2.0,QQQ,QQQ
2000-03-21,106.125,111.9375,103.5625,111.75,94.38678741455078,33435100,0.0,0.0,QQQ,QQQ
2000-03-22,113.5,115.96875,111.125,114.0,96.2872543334961,24370200,0.0,0.0,QQQ,QQQ
2000-03-23,114.484375,117.75,113.5625,116.0,97.97649383544922,19227400,0.0,0.0,QQQ,QQQ
2000-03-24,117.484375,120.5,115.015625,117.5625,99.29619598388672,22063000,0.0,0.0,QQQ,QQQ
2000-03-27,118.0,119.5,117.125,117.75,99.45458221435548,11752600,0.0,0.0,QQQ,QQQ
2000-03-28,116.984375,117.8125,113.125,114.75,96.92070770263672,18336300,0.0,0.0,QQQ,QQQ
2000-03-29,115.375,115.4375,110.0,110.0,92.9087371826172,27189500,0.0,0.0,QQQ,QQQ
2000-03-30,107.25,112.75,103.5,107.25,90.58602905273438,42328700,0.0,0.0,QQQ,QQQ
2000-03-31,108.140625,110.625,104.0,109.5,92.4864273071289,31349900,0.0,0.0,QQQ,QQQ
2000-04-03,107.765625,109.125,100.75,102.9375,86.9435806274414,31551300,0.0,0.0,QQQ,QQQ
2000-04-04,103.625,103.9375,88.3125,101.9375,86.09893798828125,66213000,0.0,0.0,QQQ,QQQ
2000-04-05,97.5,103.9375,96.25,100.125,84.56804656982422,37631500,0.0,0.0,QQQ,QQQ
2000-04-06,102.375,103.875,99.75,102.5,86.57405853271484,30499900,0.0,0.0,QQQ,QQQ
2000-04-07,104.125,107.375,102.625,106.625,90.05809783935547,20645500,0.0,0.0,QQQ,QQQ
2000-04-10,107.625,107.6875,99.25,100.125,84.56804656982422,26988200,0.0,0.0,QQQ,QQQ
2000-04-11,97.125,101.5,95.0625,97.75,82.56206512451172,34497100,0.0,0.0,QQQ,QQQ
2000-04-12,97.625,98.75,90.25,92.0,77.70549774169922,34824400,0.0,0.0,QQQ,QQQ
