Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,23.125,23.125,22.46875,22.75,12.207152366638184,634300,0.0,0.0,XLP,XLP
2000-01-04,22.3125,22.65625,22.078125,22.109375,11.863396644592283,172000,0.0,0.0,XLP,XLP
2000-01-05,22.265625,22.609375,22.09375,22.5,12.073007583618164,343600,0.0,0.0,XLP,XLP
2000-01-06,22.65625,23.0,22.484375,22.921875,12.299368858337402,420800,0.0,0.0,XLP,XLP
2000-01-07,23.328125,24.421875,23.265625,24.375,13.07908821105957,337100,0.0,0.0,XLP,XLP
2000-01-10,24.125,24.296875,23.734375,23.828125,12.785645484924316,451700,0.0,0.0,XLP,XLP
2000-01-11,23.9375,24.15625,23.765625,23.828125,12.785645484924316,142900,0.0,0.0,XLP,XLP
2000-01-12,24.0,24.1875,23.875,23.953125,12.852721214294434,84300,0.0,0.0,XLP,XLP
2000-01-13,24.09375,24.28125,23.765625,24.078125,12.919790267944336,233800,0.0,0.0,XLP,XLP
2000-01-14,24.46875,24.484375,23.875,24.15625,12.961711883544922,76100,0.0,0.0,XLP,XLP
2000-01-18,23.890625,24.046875,23.65625,23.75,12.743725776672363,218300,0.0,0.0,XLP,XLP
2000-01-19,23.859375,24.03125,23.703125,23.921875,12.835948944091797,137800,0.0,0.0,XLP,XLP
2000-01-20,24.046875,24.046875,23.390625,23.59375,12.659884452819824,425500,0.0,0.0,XLP,XLP
2000-01-21,23.734375,23.734375,23.125,23.328125,12.51735782623291,345000,0.0,0.0,XLP,XLP
2000-01-24,23.515625,23.515625,22.265625,22.65625,12.156843185424805,278200,0.0,0.0,XLP,XLP
2000-01-25,22.578125,22.65625,22.328125,22.375,12.005935668945312,85000,0.0,0.0,XLP,XLP
2000-01-26,22.515625,22.78125,22.421875,22.578125,12.114924430847168,385500,0.0,0.0,XLP,XLP
2000-01-27,22.578125,23.03125,22.390625,23.0,12.341294288635254,67800,0.0,0.0,XLP,XLP
2000-01-28,22.546875,23.03125,22.546875,22.8125,12.240682601928713,37100,0.0,0.0,XLP,XLP
2000-01-31,22.46875,23.234375,22.25,23.234375,12.467053413391112,195800,0.0,0.0,XLP,XLP
2000-02-01,23.046875,23.09375,22.640625,23.0,12.341294288635254,104000,0.0,0.0,XLP,XLP
2000-02-02,23.109375,23.171875,22.84375,23.046875,12.366443634033203,72700,0.0,0.0,XLP,XLP
2000-02-03,22.859375,23.03125,22.625,22.734375,12.19876194000244,87900,0.0,0.0,XLP,XLP
2000-02-04,23.109375,23.109375,22.609375,22.71875,12.190381050109863,137500,0.0,0.0,XLP,XLP
2000-02-07,22.625,22.8125,22.53125,22.6875,12.173613548278809,31600,0.0,0.0,XLP,XLP
2000-02-08,23.0,23.15625,22.84375,22.96875,12.324527740478516,314700,0.0,0.0,XLP,XLP
2000-02-09,22.984375,23.0,22.515625,22.765625,12.215532302856444,90900,0.0,0.0,XLP,XLP
2000-02-10,22.671875,22.671875,22.0,22.0,11.80471134185791,149100,0.0,0.0,XLP,XLP
2000-02-11,22.234375,22.234375,21.515625,21.578125,11.578349113464355,166800,0.0,0.0,XLP,XLP
2000-02-14,21.640625,21.859375,21.515625,21.6875,11.63703727722168,209200,0.0,0.0,XLP,XLP
2000-02-15,21.859375,22.1875,21.65625,22.171875,11.896936416625977,54500,0.0,0.0,XLP,XLP
2000-02-16,22.125,22.140625,21.6875,21.859375,11.729257583618164,315500,0.0,0.0,XLP,XLP
2000-02-17,21.875,22.0625,21.53125,21.53125,11.553194999694824,113700,0.0,0.0,XLP,XLP
2000-02-18,21.59375,21.625,21.0625,21.28125,11.419048309326172,191300,0.0,0.0,XLP,XLP
2000-02-22,21.46875,21.71875,21.109375,21.625,11.60349464416504,266600,0.0,0.0,XLP,XLP
2000-02-23,21.625,21.640625,21.109375,21.15625,11.35197639465332,103200,0.0,0.0,XLP,XLP
2000-02-24,21.171875,21.171875,20.453125,20.71875,11.117222785949709,166100,0.0,0.0,XLP,XLP
2000-02-25,20.578125,20.796875,20.09375,20.203125,10.840547561645508,258800,0.0,0.0,XLP,XLP
2000-02-28,20.453125,20.734375,20.109375,20.59375,11.050153732299805,222000,0.0,0.0,XLP,XLP
2000-02-29,20.734375,20.8125,20.5,20.515625,11.00823211669922,131300,0.0,0.0,XLP,XLP
2000-03-01,20.421875,20.625,20.25,20.328125,10.90762424468994,295500,0.0,0.0,XLP,XLP
2000-03-02,20.171875,20.46875,20.171875,20.375,10.932771682739258,1447500,0.0,0.0,XLP,XLP
2000-03-03,20.4375,20.5,20.1875,20.265625,10.874085426330566,220900,0.0,0.0,XLP,XLP
2000-03-06,20.078125,20.3125,19.78125,19.78125,10.61418342590332,315100,0.0,0.0,XLP,XLP
2000-03-07,19.203125,19.203125,18.34375,18.71875,10.044066429138184,224100,0.0,0.0,XLP,XLP
2000-03-08,18.9375,19.5,18.609375,19.296875,10.354281425476074,309900,0.0,0.0,XLP,XLP
2000-03-09,19.359375,19.96875,19.25,19.8125,10.630946159362791,1267300,0.0,0.0,XLP,XLP
2000-03-10,19.8125,20.0,19.4375,19.578125,10.505192756652832,1967700,0.0,0.0,XLP,XLP
2000-03-13,19.15625,19.578125,19.125,19.265625,10.33750820159912,1061900,0.0,0.0,XLP,XLP
2000-03-14,19.5,19.5,19.0,19.15625,10.27882194519043,552800,0.0,0.0,XLP,XLP
2000-03-15,19.171875,20.46875,19.03125,20.375,10.932771682739258,1582200,0.0,0.0,XLP,XLP
2000-03-16,21.0,21.625,20.75,21.25,11.402280807495115,580200,0.0,0.0,XLP,XLP
2000-03-17,21.625,21.640625,20.921875,21.09375,11.35476779937744,116000,0.068,0.0,XLP,XLP
2000-03-20,21.203125,21.203125,20.65625,20.90625,11.2538480758667,563400,0.0,0.0,XLP,XLP
2000-03-21,20.953125,21.296875,20.765625,21.296875,11.464119911193848,32600,0.0,0.0,XLP,XLP
2000-03-22,21.046875,21.1875,20.796875,21.125,11.371594429016112,132900,0.0,0.0,XLP,XLP
2000-03-23,21.109375,21.34375,20.84375,20.953125,11.279074668884276,126400,0.0,0.0,XLP,XLP
2000-03-24,21.0,21.15625,20.515625,20.578125,11.077219009399414,231100,0.0,0.0,XLP,XLP
2000-03-27,20.78125,20.78125,20.296875,20.3125,10.93422508239746,52200,0.0,0.0,XLP,XLP
2000-03-28,20.296875,20.65625,20.25,20.546875,11.060395240783691,71600,0.0,0.0,XLP,XLP
2000-03-29,20.6875,21.125,20.5625,21.046875,11.329545021057127,36200,0.0,0.0,XLP,XLP
2000-03-30,20.96875,21.5,20.96875,21.328125,11.480941772460938,62200,0.0,0.0,XLP,XLP
2000-03-31,21.0,21.5,20.9375,21.21875,11.422064781188965,439800,0.0,0.0,XLP,XLP
2000-04-03,21.625,22.1875,21.359375,22.1875,11.943538665771484,76600,0.0,0.0,XLP,XLP
2000-04-04,22.0625,23.0,21.921875,22.8125,12.279977798461914,823600,0.0,0.0,XLP,XLP
2000-04-05,22.75,22.75,22.34375,22.5,12.111761093139648,38800,0.0,0.0,XLP,XLP
2000-04-06,22.25,22.4375,21.828125,22.09375,11.893078804016112,55100,0.0,0.0,XLP,XLP
2000-04-07,22.28125,22.3125,21.75,21.8125,11.74168586730957,169700,0.0,0.0,XLP,XLP
2000-04-10,22.03125,22.453125,21.875,22.359375,12.036065101623535,55200,0.0,0.0,XLP,XLP
2000-04-11,22.5625,22.875,22.34375,22.75,12.246338844299316,60900,0.0,0.0,XLP,XLP
2000-04-12,22.859375,23.46875,22.671875,23.015625,12.389322280883787,76500,0.0,0.0,XLP,XLP
