Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,46.75,46.9375,44.0,45.09375,27.55360412597656,3655600,0.0,0.0,ADI,ADI
2000-01-04,44.75,45.75,42.78125,42.8125,26.159683227539062,2533200,0.0,0.0,ADI,ADI
2000-01-05,42.8125,44.125,41.59375,43.4375,26.541597366333008,3228000,0.0,0.0,ADI,ADI
2000-01-06,43.4375,43.8125,41.625,42.25,25.815975189208984,2601000,0.0,0.0,ADI,ADI
2000-01-07,42.0,44.25,41.3125,43.4375,26.541597366333008,1890600,0.0,0.0,ADI,ADI
2000-01-10,45.0,47.375,44.625,47.21875,28.852033615112305,2570000,0.0,0.0,ADI,ADI
2000-01-11,46.75,47.0,45.125,45.28125,27.66816139221192,1926200,0.0,0.0,ADI,ADI
2000-01-12,45.15625,47.75,44.5,46.75,28.565603256225582,2842400,0.0,0.0,ADI,ADI
2000-01-13,47.875,47.875,46.375,46.90625,28.66108131408692,1685000,0.0,0.0,ADI,ADI
2000-01-14,47.875,50.96875,47.8125,50.6875,30.97154998779297,4688800,0.0,0.0,ADI,ADI
2000-01-18,50.25,50.875,49.03125,49.25,30.09318733215332,1968800,0.0,0.0,ADI,ADI
2000-01-19,49.75,51.125,49.5,50.71875,30.990642547607425,1835600,0.0,0.0,ADI,ADI
2000-01-20,51.625,52.0,49.5,49.71875,30.37961196899414,1991000,0.0,0.0,ADI,ADI
2000-01-21,49.9375,49.96875,48.3125,48.3125,29.52035903930664,1788600,0.0,0.0,ADI,ADI
2000-01-24,50.25,50.75,48.8125,49.28125,30.112274169921875,2860200,0.0,0.0,ADI,ADI
2000-01-25,49.28125,52.625,49.0,52.5,32.07903289794922,2408200,0.0,0.0,ADI,ADI
2000-01-26,52.0,52.125,49.3125,50.84375,31.0670108795166,2682800,0.0,0.0,ADI,ADI
2000-01-27,50.96875,51.546875,47.0,48.03125,29.348499298095703,2682800,0.0,0.0,ADI,ADI
2000-01-28,47.5,49.0625,46.5,47.75,29.17663955688477,2835800,0.0,0.0,ADI,ADI
2000-01-31,47.0,47.8125,43.0,46.75,28.565603256225582,3702000,0.0,0.0,ADI,ADI
2000-02-01,46.5,49.34375,45.0625,49.0,29.94042015075684,2826200,0.0,0.0,ADI,ADI
2000-02-02,48.9375,49.21875,47.53125,48.125,29.40577888488769,2537200,0.0,0.0,ADI,ADI
2000-02-03,49.0,53.8125,48.75,52.875,32.30816650390625,4145200,0.0,0.0,ADI,ADI
2000-02-04,53.0,56.25,51.875,55.75,34.064876556396484,3716200,0.0,0.0,ADI,ADI
2000-02-07,55.625,59.875,54.59375,59.5,36.356231689453125,2656400,0.0,0.0,ADI,ADI
2000-02-08,59.9375,60.1875,57.0,57.375,35.05780792236328,2789800,0.0,0.0,ADI,ADI
2000-02-09,57.34375,58.5,56.125,57.84375,35.344215393066406,2779600,0.0,0.0,ADI,ADI
2000-02-10,57.375,59.375,57.0,58.0625,35.47788619995117,2870000,0.0,0.0,ADI,ADI
2000-02-11,59.0,59.90625,56.25,57.3125,35.01961135864258,2038000,0.0,0.0,ADI,ADI
2000-02-14,58.5,59.375,57.375,58.5,35.74521255493164,2333200,0.0,0.0,ADI,ADI
2000-02-15,58.5,59.9375,56.0,59.9375,36.6235580444336,3279200,0.0,0.0,ADI,ADI
2000-02-16,61.875,64.0,61.125,63.75,38.95309829711914,4281400,0.0,0.0,ADI,ADI
2000-02-17,64.4375,71.8125,62.25,70.5,43.07754898071289,4563800,0.0,0.0,ADI,ADI
2000-02-18,70.5,71.0,67.4375,67.875,41.47360610961914,3625800,0.0,0.0,ADI,ADI
2000-02-22,68.0,72.9375,67.9375,71.84375,43.89863204956055,4419200,0.0,0.0,ADI,ADI
2000-02-23,71.84375,75.25,71.6875,73.8125,45.1015853881836,4011400,0.0,0.0,ADI,ADI
2000-02-24,75.5,83.65625,75.25,80.65625,49.28334426879883,5406000,0.0,0.0,ADI,ADI
2000-02-25,78.25,81.125,77.5625,78.4375,47.92759323120117,3421600,0.0,0.0,ADI,ADI
2000-02-28,77.25,77.5625,69.25,74.71875,45.65532684326172,4315000,0.0,0.0,ADI,ADI
2000-02-29,78.5,80.25,75.84375,78.625,48.04213333129883,3920000,0.0,0.0,ADI,ADI
2000-03-01,79.5,82.5,78.625,80.75,49.34060287475586,3680200,0.0,0.0,ADI,ADI
2000-03-02,80.9375,81.15625,76.59375,78.03125,47.67937469482422,3350400,0.0,0.0,ADI,ADI
2000-03-03,79.0,83.875,78.03125,83.5,51.02094650268555,3269800,0.0,0.0,ADI,ADI
2000-03-06,85.5,92.75,85.0,91.3125,55.79459381103516,4014000,0.0,0.0,ADI,ADI
2000-03-07,91.75,91.75,79.0,82.5,50.40987777709961,3881200,0.0,0.0,ADI,ADI
2000-03-08,82.5,83.875,78.5,82.8125,50.60087585449219,2986800,0.0,0.0,ADI,ADI
2000-03-09,82.8125,90.125,81.25,88.5,54.07608413696289,3207800,0.0,0.0,ADI,ADI
2000-03-10,88.53125,89.125,84.25,86.46875,52.83489990234375,2455000,0.0,0.0,ADI,ADI
2000-03-13,84.5,85.6875,82.25,82.5,50.40987777709961,2531600,0.0,0.0,ADI,ADI
