Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,9.65625,9.65625,9.0,9.0,5.879940509796143,134000,0.0,0.0,ALB,ALB
2000-01-04,8.875,9.28125,8.875,9.0,5.879940509796143,68200,0.0,0.0,ALB,ALB
2000-01-05,9.0,9.25,9.0,9.15625,5.982016086578369,70000,0.0,0.0,ALB,ALB
2000-01-06,9.09375,9.5,9.03125,9.46875,6.186185359954834,78600,0.0,0.0,ALB,ALB
2000-01-07,9.4375,9.46875,9.25,9.3125,6.084101676940918,71800,0.0,0.0,ALB,ALB
2000-01-10,9.34375,9.34375,9.1875,9.28125,6.063687324523926,67000,0.0,0.0,ALB,ALB
2000-01-11,9.3125,9.34375,9.25,9.25,6.043268203735352,68200,0.0,0.0,ALB,ALB
2000-01-12,9.25,9.3125,9.21875,9.3125,6.084101676940918,93000,0.0,0.0,ALB,ALB
2000-01-13,9.3125,9.5,9.25,9.4375,6.165765762329102,94400,0.0,0.0,ALB,ALB
2000-01-14,9.5,9.5,9.25,9.25,6.043268203735352,118000,0.0,0.0,ALB,ALB
2000-01-18,9.1875,9.1875,8.9375,9.0625,5.920769214630127,74000,0.0,0.0,ALB,ALB
2000-01-19,9.0625,9.21875,9.0,9.09375,5.941188335418701,106000,0.0,0.0,ALB,ALB
2000-01-20,9.125,9.3125,8.875,8.96875,5.859521865844727,77400,0.0,0.0,ALB,ALB
2000-01-21,9.03125,9.1875,8.875,9.09375,5.941188335418701,111200,0.0,0.0,ALB,ALB
2000-01-24,9.28125,9.28125,8.9375,8.9375,5.839105129241943,120400,0.0,0.0,ALB,ALB
2000-01-25,8.96875,8.96875,8.5625,8.5625,5.594109535217285,67200,0.0,0.0,ALB,ALB
2000-01-26,8.59375,8.875,8.5625,8.875,5.798267364501953,91200,0.0,0.0,ALB,ALB
2000-01-27,8.9375,9.09375,8.9375,9.03125,5.900355339050293,83000,0.0,0.0,ALB,ALB
2000-01-28,9.03125,9.15625,8.75,8.8125,5.757439613342285,90800,0.0,0.0,ALB,ALB
2000-01-31,8.84375,9.1875,8.84375,9.03125,5.900355339050293,114600,0.0,0.0,ALB,ALB
2000-02-01,9.0,9.0,8.65625,8.78125,5.737022876739502,59000,0.0,0.0,ALB,ALB
2000-02-02,8.71875,8.9375,8.65625,8.8125,5.757439613342285,122200,0.0,0.0,ALB,ALB
2000-02-03,8.8125,8.875,8.6875,8.8125,5.757439613342285,61600,0.0,0.0,ALB,ALB
2000-02-04,8.78125,8.78125,8.5625,8.6875,5.675772190093994,101400,0.0,0.0,ALB,ALB
2000-02-07,8.5625,8.6875,8.5,8.6875,5.675772190093994,62200,0.0,0.0,ALB,ALB
2000-02-08,8.78125,8.84375,8.5,8.5625,5.594109535217285,70800,0.0,0.0,ALB,ALB
2000-02-09,8.625,8.8125,8.3125,8.4375,5.512443065643311,98800,0.0,0.0,ALB,ALB
2000-02-10,8.40625,8.5,8.21875,8.4375,5.512443065643311,522200,0.0,0.0,ALB,ALB
2000-02-11,8.4375,8.53125,7.96875,8.0,5.22661018371582,135000,0.0,0.0,ALB,ALB
2000-02-14,7.96875,8.25,7.90625,8.21875,5.369526386260986,56200,0.0,0.0,ALB,ALB
2000-02-15,8.3125,8.4375,8.15625,8.4375,5.512443065643311,76200,0.0,0.0,ALB,ALB
2000-02-16,8.4375,8.53125,8.125,8.125,5.308276176452637,86000,0.0,0.0,ALB,ALB
2000-02-17,8.21875,8.46875,8.1875,8.25,5.389942646026611,82400,0.0,0.0,ALB,ALB
2000-02-18,8.28125,8.28125,7.9375,7.96875,5.206196308135986,60400,0.0,0.0,ALB,ALB
2000-02-22,7.96875,8.0,7.8125,7.96875,5.206196308135986,123800,0.0,0.0,ALB,ALB
2000-02-23,8.03125,8.09375,7.6875,7.875,5.144946098327637,95600,0.0,0.0,ALB,ALB
2000-02-24,7.875,7.9375,7.65625,7.6875,5.0224456787109375,41400,0.0,0.0,ALB,ALB
2000-02-25,7.71875,7.75,7.625,7.65625,5.002030372619629,63600,0.0,0.0,ALB,ALB
2000-02-28,7.625,7.78125,7.5,7.65625,5.002030372619629,110800,0.0,0.0,ALB,ALB
2000-02-29,7.65625,8.09375,7.53125,7.53125,4.920362949371338,194800,0.0,0.0,ALB,ALB
2000-03-01,7.5,7.53125,7.28125,7.28125,4.757033348083496,123200,0.0,0.0,ALB,ALB
2000-03-02,7.28125,7.5,7.28125,7.46875,4.879531383514404,156600,0.0,0.0,ALB,ALB
2000-03-03,7.4375,7.5625,7.4375,7.5,4.8999457359313965,65000,0.0,0.0,ALB,ALB
2000-03-06,7.5,8.0,7.5,7.78125,5.083695888519287,179000,0.0,0.0,ALB,ALB
2000-03-07,7.84375,7.953125,7.5,7.5,4.8999457359313965,222600,0.0,0.0,ALB,ALB
2000-03-08,7.875,7.96875,7.875,7.875,5.144946098327637,152400,0.0,0.0,ALB,ALB
2000-03-09,7.78125,7.90625,7.6875,7.71875,5.042862892150879,161200,0.0,0.0,ALB,ALB
2000-03-10,7.6875,8.078125,7.59375,8.0,5.22661018371582,167600,0.0,0.0,ALB,ALB
2000-03-13,7.8125,8.0,7.65625,7.84375,5.160003662109375,85600,0.055,0.0,ALB,ALB
2000-03-14,7.90625,7.9375,7.84375,7.90625,5.201120376586914,139200,0.0,0.0,ALB,ALB
2000-03-15,7.90625,8.65625,7.84375,8.625,5.673949718475342,141200,0.0,0.0,ALB,ALB
2000-03-16,8.65625,9.28125,8.65625,9.28125,6.105664253234863,368600,0.0,0.0,ALB,ALB
2000-03-17,9.125,9.5,9.125,9.46875,6.229010105133057,267800,0.0,0.0,ALB,ALB
2000-03-20,9.46875,9.8125,9.46875,9.8125,6.455142974853516,275800,0.0,0.0,ALB,ALB
2000-03-21,9.75,9.875,9.59375,9.875,6.4962592124938965,353400,0.0,0.0,ALB,ALB
2000-03-22,9.875,10.0,9.40625,9.40625,6.187895774841309,338000,0.0,0.0,ALB,ALB
2000-03-23,9.3125,9.40625,9.0,9.34375,6.146777153015137,399200,0.0,0.0,ALB,ALB
2000-03-24,9.25,9.5,9.0,9.4375,6.208448886871338,61600,0.0,0.0,ALB,ALB
2000-03-27,9.375,9.5,9.09375,9.4375,6.208448886871338,67800,0.0,0.0,ALB,ALB
2000-03-28,9.375,9.40625,8.8125,9.15625,6.02342700958252,63800,0.0,0.0,ALB,ALB
2000-03-29,9.09375,9.09375,8.90625,8.96875,5.900084495544434,134400,0.0,0.0,ALB,ALB
2000-03-30,9.03125,9.5625,9.03125,9.5625,6.290685176849365,83800,0.0,0.0,ALB,ALB
2000-03-31,9.65625,10.5625,9.5,10.375,6.825189113616943,418200,0.0,0.0,ALB,ALB
2000-04-03,10.1875,10.1875,10.0,10.0,6.578490257263184,172000,0.0,0.0,ALB,ALB
2000-04-04,10.0,10.1875,9.75,10.125,6.660722732543945,154400,0.0,0.0,ALB,ALB
2000-04-05,10.15625,10.15625,9.65625,9.78125,6.434586048126221,86200,0.0,0.0,ALB,ALB
2000-04-06,9.84375,10.0,9.8125,9.9375,6.537379264831543,99400,0.0,0.0,ALB,ALB
2000-04-07,9.9375,10.21875,9.9375,10.15625,6.681278228759766,40200,0.0,0.0,ALB,ALB
2000-04-10,10.09375,10.1875,9.90625,9.90625,6.516820907592773,71400,0.0,0.0,ALB,ALB
2000-04-11,9.90625,10.1875,9.84375,10.0,6.578490257263184,375200,0.0,0.0,ALB,ALB
2000-04-12,10.0625,10.125,9.96875,9.96875,6.55793571472168,295600,0.0,0.0,ALB,ALB
2000-04-13,9.96875,10.0,9.65625,9.96875,6.55793571472168,219400,0.0,0.0,ALB,ALB
2000-04-14,10.0,10.125,9.90625,9.9375,6.537379264831543,218800,0.0,0.0,ALB,ALB
2000-04-17,9.90625,9.90625,9.65625,9.75,6.414027214050293,81200,0.0,0.0,ALB,ALB
2000-04-18,9.75,9.75,9.375,9.46875,6.229010105133057,173800,0.0,0.0,ALB,ALB
2000-04-19,9.53125,9.78125,9.53125,9.75,6.414027214050293,159000,0.0,0.0,ALB,ALB
2000-04-20,9.71875,10.0,9.6875,9.96875,6.55793571472168,502200,0.0,0.0,ALB,ALB
2000-04-24,9.875,10.3125,9.875,10.28125,6.763509273529053,157200,0.0,0.0,ALB,ALB
2000-04-25,10.46875,11.0,10.34375,10.5625,6.948530197143555,344200,0.0,0.0,ALB,ALB
2000-04-26,10.5625,10.625,10.0,10.15625,6.681278228759766,147200,0.0,0.0,ALB,ALB
2000-04-27,10.15625,10.8125,10.09375,10.5,6.907416820526123,178400,0.0,0.0,ALB,ALB
2000-04-28,10.4375,10.46875,10.125,10.46875,6.886858940124512,65600,0.0,0.0,ALB,ALB
2000-05-01,10.40625,10.75,10.40625,10.59375,6.969088077545166,260200,0.0,0.0,ALB,ALB
2000-05-02,10.625,10.75,10.5625,10.65625,7.010202884674072,71400,0.0,0.0,ALB,ALB
2000-05-03,10.71875,11.125,10.71875,11.09375,7.298013687133789,355200,0.0,0.0,ALB,ALB
2000-05-04,11.0625,11.25,10.6875,10.75,7.071877956390381,165200,0.0,0.0,ALB,ALB
2000-05-05,10.78125,11.25,10.625,10.84375,7.133554458618164,237600,0.0,0.0,ALB,ALB
2000-05-08,10.875,11.0,10.78125,11.0,7.236339569091797,86800,0.0,0.0,ALB,ALB
2000-05-09,10.9375,11.0,10.6875,11.0,7.236339569091797,196200,0.0,0.0,ALB,ALB
2000-05-10,10.9375,10.9375,10.75,10.78125,7.092437744140625,70400,0.0,0.0,ALB,ALB
2000-05-11,10.84375,11.0,10.8125,10.96875,7.215782642364502,182400,0.0,0.0,ALB,ALB
2000-05-12,10.90625,11.0,10.78125,10.9375,7.195227146148682,75800,0.0,0.0,ALB,ALB
2000-05-15,10.90625,10.96875,10.78125,10.96875,7.215782642364502,72600,0.0,0.0,ALB,ALB
2000-05-16,11.0,11.5625,10.90625,11.40625,7.503590583801269,170600,0.0,0.0,ALB,ALB
2000-05-17,11.4375,11.4375,11.125,11.15625,7.339126110076904,82800,0.0,0.0,ALB,ALB
2000-05-18,11.25,11.46875,11.1875,11.4375,7.524148464202881,152000,0.0,0.0,ALB,ALB
2000-05-19,11.3125,11.4375,11.0,11.375,7.483034610748291,100000,0.0,0.0,ALB,ALB
2000-05-22,11.4375,11.5625,11.40625,11.53125,7.585824489593506,78000,0.0,0.0,ALB,ALB
2000-05-23,11.59375,11.75,11.5,11.625,7.647499084472656,231400,0.0,0.0,ALB,ALB
2000-05-24,11.59375,11.78125,11.40625,11.71875,7.709169864654541,114600,0.0,0.0,ALB,ALB
2000-05-25,11.75,11.84375,11.5625,11.6875,7.688612461090088,159800,0.0,0.0,ALB,ALB
