Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,2.453125,2.503906011581421,2.433593988418579,2.488281011581421,1.915991187095642,3273600,0.0,0.0,BALL,BALL
2000-01-04,2.472656011581421,2.519531011581421,2.402343988418579,2.40625,1.85282564163208,2446400,0.0,0.0,BALL,BALL
2000-01-05,2.398437976837158,2.476562976837158,2.398437976837158,2.449218988418579,1.885912299156189,1164800,0.0,0.0,BALL,BALL
2000-01-06,2.457031011581421,2.53125,2.457031011581421,2.488281011581421,1.915991187095642,1073600,0.0,0.0,BALL,BALL
2000-01-07,2.496093988418579,2.523437976837158,2.398437976837158,2.417968988418579,1.861849904060364,2012800,0.0,0.0,BALL,BALL
2000-01-10,2.636718988418579,2.636718988418579,2.484375,2.496093988418579,1.9220075607299805,7582400,0.0,0.0,BALL,BALL
2000-01-11,2.5,2.558593988418579,2.488281011581421,2.542968988418579,1.958101749420166,4955200,0.0,0.0,BALL,BALL
2000-01-12,2.542968988418579,2.546875,2.433593988418579,2.433593988418579,1.873881220817566,2713600,0.0,0.0,BALL,BALL
2000-01-13,2.476562976837158,2.609375,2.46875,2.488281011581421,1.915991187095642,4419200,0.0,0.0,BALL,BALL
2000-01-14,2.609375,2.652343988418579,2.589843988418579,2.628906011581421,2.0242717266082764,3134400,0.0,0.0,BALL,BALL
2000-01-18,2.644531011581421,2.703125,2.621093988418579,2.648437976837158,2.039311647415161,2838400,0.0,0.0,BALL,BALL
2000-01-19,2.664062976837158,2.664062976837158,2.585937976837158,2.605468988418579,2.006225824356079,4094400,0.0,0.0,BALL,BALL
2000-01-20,2.621093988418579,2.644531011581421,2.597656011581421,2.621093988418579,2.0182559490203857,3382400,0.0,0.0,BALL,BALL
2000-01-21,2.664062976837158,2.679687976837158,2.5625,2.5625,1.9731395244598389,4289600,0.0,0.0,BALL,BALL
2000-01-24,2.578125,2.582031011581421,2.4375,2.460937976837158,1.8949370384216309,2654400,0.0,0.0,BALL,BALL
2000-01-25,2.453125,2.460937976837158,2.34375,2.34375,1.804701328277588,3206400,0.0,0.0,BALL,BALL
2000-01-26,2.3125,2.402343988418579,2.3125,2.375,1.828763723373413,2884800,0.0,0.0,BALL,BALL
2000-01-27,2.378906011581421,2.386718988418579,2.324218988418579,2.339843988418579,1.8016936779022217,3680000,0.0,0.0,BALL,BALL
2000-01-28,2.34375,2.34375,2.25,2.25,1.732512354850769,2459200,0.0,0.0,BALL,BALL
2000-01-31,2.253906011581421,2.300781011581421,2.207031011581421,2.273437976837158,1.750560283660889,2233600,0.0,0.0,BALL,BALL
2000-02-01,2.257812976837158,2.285156011581421,2.21875,2.246093988418579,1.7295055389404297,1051200,0.0,0.0,BALL,BALL
2000-02-02,2.257812976837158,2.261718988418579,2.1875,2.207031011581421,1.699427366256714,1801600,0.0,0.0,BALL,BALL
2000-02-03,2.257812976837158,2.265625,2.191406011581421,2.214843988418579,1.7054427862167358,1832000,0.0,0.0,BALL,BALL
2000-02-04,2.207031011581421,2.214843988418579,2.15625,2.171875,1.6723556518554688,2139200,0.0,0.0,BALL,BALL
