Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,5.6875,5.8125,5.625,5.75,5.015121936798096,80300,0.0,0.0,BYD,BYD
2000-01-04,5.875,5.875,5.6875,5.75,5.015121936798096,47800,0.0,0.0,BYD,BYD
2000-01-05,5.75,5.8125,5.625,5.75,5.015121936798096,49100,0.0,0.0,BYD,BYD
2000-01-06,5.625,5.6875,5.3125,5.5625,4.851585388183594,129000,0.0,0.0,BYD,BYD
2000-01-07,5.375,5.5625,5.375,5.5625,4.851585388183594,52200,0.0,0.0,BYD,BYD
2000-01-10,5.5,5.875,5.5,5.6875,4.960611343383789,52300,0.0,0.0,BYD,BYD
2000-01-11,5.625,5.75,5.625,5.625,4.906099319458008,50100,0.0,0.0,BYD,BYD
2000-01-12,5.5625,5.625,5.4375,5.5,4.797073841094971,57800,0.0,0.0,BYD,BYD
2000-01-13,5.5,5.5,5.375,5.5,4.797073841094971,87800,0.0,0.0,BYD,BYD
2000-01-14,5.4375,5.5,5.4375,5.5,4.797073841094971,32100,0.0,0.0,BYD,BYD
2000-01-18,5.5,5.5625,5.4375,5.5,4.797073841094971,38500,0.0,0.0,BYD,BYD
2000-01-19,5.5,5.9375,5.5,5.9375,5.178660869598389,97500,0.0,0.0,BYD,BYD
2000-01-20,6.0,6.0,5.625,5.625,4.906099319458008,42800,0.0,0.0,BYD,BYD
2000-01-21,5.5625,5.9375,5.5625,5.9375,5.178660869598389,76500,0.0,0.0,BYD,BYD
2000-01-24,6.0,6.0,5.5625,5.625,4.906099319458008,67300,0.0,0.0,BYD,BYD
2000-01-25,5.625,5.625,5.375,5.375,4.688050270080566,46200,0.0,0.0,BYD,BYD
2000-01-26,5.4375,5.4375,5.3125,5.4375,4.742562294006348,47500,0.0,0.0,BYD,BYD
2000-01-27,5.3125,5.625,5.3125,5.4375,4.742562294006348,34000,0.0,0.0,BYD,BYD
2000-01-28,5.375,5.5,5.25,5.375,4.688050270080566,36900,0.0,0.0,BYD,BYD
2000-01-31,5.3125,5.4375,5.25,5.3125,4.633537292480469,69700,0.0,0.0,BYD,BYD
2000-02-01,5.3125,5.3125,5.0625,5.25,4.579026699066162,177600,0.0,0.0,BYD,BYD
2000-02-02,5.1875,5.25,5.0625,5.1875,4.524513244628906,48500,0.0,0.0,BYD,BYD
2000-02-03,5.1875,5.1875,5.0625,5.125,4.470000267028809,32000,0.0,0.0,BYD,BYD
2000-02-04,5.1875,5.8125,5.125,5.6875,4.960611343383789,132100,0.0,0.0,BYD,BYD
2000-02-07,5.75,5.75,5.625,5.625,4.906099319458008,40800,0.0,0.0,BYD,BYD
2000-02-08,5.625,5.6875,5.375,5.5625,4.851585388183594,85300,0.0,0.0,BYD,BYD
2000-02-09,5.5,5.6875,5.4375,5.5,4.797073841094971,48000,0.0,0.0,BYD,BYD
2000-02-10,5.625,5.6875,5.4375,5.625,4.906099319458008,41100,0.0,0.0,BYD,BYD
2000-02-11,5.5625,5.8125,5.4375,5.4375,4.742562294006348,32600,0.0,0.0,BYD,BYD
2000-02-14,5.5625,5.5625,5.375,5.4375,4.742562294006348,58800,0.0,0.0,BYD,BYD
2000-02-15,5.375,5.5,5.1875,5.1875,4.524513244628906,206100,0.0,0.0,BYD,BYD
2000-02-16,5.1875,5.25,5.1875,5.25,4.579026699066162,37100,0.0,0.0,BYD,BYD
2000-02-17,5.25,5.25,5.125,5.125,4.470000267028809,55000,0.0,0.0,BYD,BYD
2000-02-18,5.1875,5.25,5.0625,5.125,4.470000267028809,103200,0.0,0.0,BYD,BYD
2000-02-22,5.1875,5.1875,5.0,5.0,4.3609771728515625,50600,0.0,0.0,BYD,BYD
2000-02-23,5.25,5.4375,5.1875,5.25,4.579026699066162,271900,0.0,0.0,BYD,BYD
2000-02-24,5.375,5.5625,5.375,5.5,4.797073841094971,1030500,0.0,0.0,BYD,BYD
2000-02-25,5.375,5.4375,5.1875,5.25,4.579026699066162,120100,0.0,0.0,BYD,BYD
2000-02-28,5.1875,5.1875,5.0625,5.125,4.470000267028809,48600,0.0,0.0,BYD,BYD
2000-02-29,5.125,5.1875,4.875,5.1875,4.524513244628906,125700,0.0,0.0,BYD,BYD
2000-03-01,5.0625,5.1875,5.0,5.0625,4.41549015045166,82400,0.0,0.0,BYD,BYD
2000-03-02,5.0625,5.125,4.75,4.75,4.142928123474121,205700,0.0,0.0,BYD,BYD
2000-03-03,4.75,5.0,4.6875,4.9375,4.306466579437256,189200,0.0,0.0,BYD,BYD
2000-03-06,4.9375,5.1875,4.875,5.0,4.3609771728515625,122000,0.0,0.0,BYD,BYD
2000-03-07,5.0,5.0625,4.75,4.9375,4.306466579437256,195800,0.0,0.0,BYD,BYD
2000-03-08,5.0,5.0,4.8125,5.0,4.3609771728515625,176500,0.0,0.0,BYD,BYD
2000-03-09,5.0,5.0,4.75,4.75,4.142928123474121,59300,0.0,0.0,BYD,BYD
2000-03-10,5.25,5.25,4.875,5.25,4.579026699066162,218200,0.0,0.0,BYD,BYD
2000-03-13,5.25,5.5,5.125,5.25,4.579026699066162,140600,0.0,0.0,BYD,BYD
2000-03-14,5.25,5.25,4.875,4.9375,4.306466579437256,96200,0.0,0.0,BYD,BYD
2000-03-15,4.9375,4.9375,4.75,4.8125,4.1974406242370605,54000,0.0,0.0,BYD,BYD
2000-03-16,4.875,4.9375,4.875,4.9375,4.306466579437256,65400,0.0,0.0,BYD,BYD
2000-03-17,4.8125,4.9375,4.8125,4.875,4.251952648162842,34800,0.0,0.0,BYD,BYD
2000-03-20,4.9375,4.9375,4.5,4.5625,3.979390144348145,640700,0.0,0.0,BYD,BYD
2000-03-21,4.625,4.75,4.5625,4.75,4.142928123474121,52500,0.0,0.0,BYD,BYD
2000-03-22,4.75,4.75,4.5625,4.5625,3.979390144348145,56900,0.0,0.0,BYD,BYD
2000-03-23,4.625,4.75,4.625,4.625,4.033902645111084,44300,0.0,0.0,BYD,BYD
2000-03-24,4.6875,4.75,4.5,4.625,4.033902645111084,42600,0.0,0.0,BYD,BYD
2000-03-27,4.6875,4.6875,4.5,4.5,3.92487907409668,84400,0.0,0.0,BYD,BYD
2000-03-28,4.5625,4.5625,4.4375,4.5625,3.979390144348145,132400,0.0,0.0,BYD,BYD
2000-03-29,4.5,4.5,4.375,4.5,3.92487907409668,84300,0.0,0.0,BYD,BYD
2000-03-30,4.5,4.75,4.4375,4.625,4.033902645111084,924300,0.0,0.0,BYD,BYD
2000-03-31,4.6875,5.1875,4.625,4.9375,4.306466579437256,198000,0.0,0.0,BYD,BYD
2000-04-03,5.0625,5.125,4.8125,5.0,4.3609771728515625,166700,0.0,0.0,BYD,BYD
2000-04-04,5.0625,5.0625,4.5,4.8125,4.1974406242370605,131600,0.0,0.0,BYD,BYD
2000-04-05,4.875,4.875,4.625,4.6875,4.08841609954834,62400,0.0,0.0,BYD,BYD
2000-04-06,4.75,4.9375,4.75,4.875,4.251952648162842,109700,0.0,0.0,BYD,BYD
2000-04-07,4.9375,4.9375,4.8125,4.875,4.251952648162842,43300,0.0,0.0,BYD,BYD
2000-04-10,4.875,5.0,4.875,4.875,4.251952648162842,97800,0.0,0.0,BYD,BYD
2000-04-11,4.875,4.9375,4.75,4.8125,4.1974406242370605,65300,0.0,0.0,BYD,BYD
2000-04-12,4.6875,4.8125,4.6875,4.75,4.142928123474121,29700,0.0,0.0,BYD,BYD
2000-04-13,4.8125,4.8125,4.625,4.625,4.033902645111084,54400,0.0,0.0,BYD,BYD
2000-04-14,4.625,4.625,4.375,4.375,3.81585431098938,147500,0.0,0.0,BYD,BYD
2000-04-17,4.375,5.5,4.25,5.5,4.797073841094971,188900,0.0,0.0,BYD,BYD
2000-04-18,4.5625,5.0,4.5,4.8125,4.1974406242370605,284800,0.0,0.0,BYD,BYD
2000-04-19,4.9375,5.0625,4.875,4.9375,4.306466579437256,1318100,0.0,0.0,BYD,BYD
2000-04-20,4.9375,4.9375,4.75,4.8125,4.1974406242370605,96000,0.0,0.0,BYD,BYD
2000-04-24,5.0,5.1875,4.9375,4.9375,4.306466579437256,197100,0.0,0.0,BYD,BYD
2000-04-25,5.0625,5.1875,4.9375,5.0625,4.41549015045166,77200,0.0,0.0,BYD,BYD
2000-04-26,5.1875,5.1875,5.0,5.0625,4.41549015045166,78000,0.0,0.0,BYD,BYD
2000-04-27,4.9375,5.0625,4.875,5.0,4.3609771728515625,201700,0.0,0.0,BYD,BYD
2000-04-28,5.0625,5.0625,4.875,5.0625,4.41549015045166,152500,0.0,0.0,BYD,BYD
2000-05-01,5.0625,5.375,5.0625,5.375,4.688050270080566,145700,0.0,0.0,BYD,BYD
2000-05-02,5.5,5.75,5.375,5.5625,4.851585388183594,335300,0.0,0.0,BYD,BYD
2000-05-03,5.625,5.6875,5.375,5.4375,4.742562294006348,186100,0.0,0.0,BYD,BYD
2000-05-04,5.4375,5.4375,5.25,5.375,4.688050270080566,43300,0.0,0.0,BYD,BYD
2000-05-05,5.3125,5.3125,5.0,5.1875,4.524513244628906,220200,0.0,0.0,BYD,BYD
2000-05-08,5.125,5.1875,5.0,5.0,4.3609771728515625,57600,0.0,0.0,BYD,BYD
2000-05-09,5.0,5.0625,4.8125,4.8125,4.1974406242370605,118400,0.0,0.0,BYD,BYD
2000-05-10,5.0,5.0,4.625,4.6875,4.08841609954834,79400,0.0,0.0,BYD,BYD
2000-05-11,4.6875,5.0,4.6875,5.0,4.3609771728515625,50100,0.0,0.0,BYD,BYD
2000-05-12,5.0,5.125,5.0,5.0,4.3609771728515625,39400,0.0,0.0,BYD,BYD
2000-05-15,5.0,5.1875,4.9375,5.1875,4.524513244628906,35500,0.0,0.0,BYD,BYD
2000-05-16,5.3125,5.375,5.1875,5.1875,4.524513244628906,82600,0.0,0.0,BYD,BYD
2000-05-17,5.0625,5.125,4.9375,5.0625,4.41549015045166,47100,0.0,0.0,BYD,BYD
