Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,417.1875,417.1875,390.0,397.5,206.69088745117188,1681920,0.0,0.0,C,C
2000-01-04,390.0,391.40625,373.125,373.125,194.016357421875,2403280,0.0,0.0,C,C
2000-01-05,381.5625,390.0,371.25,388.125,201.8161163330078,1742547,0.0,0.0,C,C
2000-01-06,384.84375,410.15625,384.375,406.875,211.565658569336,1863280,0.0,0.0,C,C
2000-01-07,405.0,412.03125,396.09375,405.0,210.5905914306641,1394587,0.0,0.0,C,C
2000-01-10,412.03125,412.03125,401.71875,403.59375,209.85940551757807,850320,0.0,0.0,C,C
2000-01-11,400.3125,407.8125,396.5625,398.4375,207.1783142089844,996653,0.0,0.0,C,C
2000-01-12,401.71875,412.5,400.78125,412.5,214.490463256836,1145773,0.0,0.0,C,C
2000-01-13,412.5,420.46875,410.15625,417.1875,216.92791748046875,1237987,0.0,0.0,C,C
2000-01-14,423.75,439.21875,423.28125,435.0,226.18995666503903,2225493,0.0,0.0,C,C
2000-01-18,435.46875,442.03125,428.90625,438.75,228.13998413085932,1571720,0.0,0.0,C,C
2000-01-19,435.0,450.9375,434.0625,448.125,233.01470947265625,1955293,0.0,0.0,C,C
2000-01-20,449.0625,450.46875,428.90625,439.5703125,228.56642150878903,1358293,0.0,0.0,C,C
2000-01-21,436.40625,438.75,419.0625,423.28125,220.0964813232422,1547960,0.0,0.0,C,C
2000-01-24,427.5,427.5,409.6875,413.90625,215.2217559814453,1143213,0.0,0.0,C,C
2000-01-25,426.09375,431.25,413.4375,419.0625,217.9027099609375,1541867,0.0,0.0,C,C
2000-01-26,423.75,439.21875,422.34375,435.9375,226.677474975586,1334387,0.0,0.0,C,C
2000-01-27,439.6875,446.25,433.125,442.5,230.0898284912109,1449120,0.0,0.0,C,C
2000-01-28,431.25,438.75,420.0,420.9375,218.8779144287109,1207120,0.0,0.0,C,C
2000-01-31,424.6875,434.53125,421.875,427.5,222.2901611328125,1360480,0.0,0.0,C,C
2000-02-01,431.71875,438.75,430.78125,436.875,227.1649932861328,1197400,0.0,0.0,C,C
2000-02-02,437.34375,439.6875,427.5,433.125,225.21499633789065,1318920,0.0,0.0,C,C
2000-02-03,433.59375,435.0,412.5,422.34375,220.2191467285156,1900267,1.2,0.0,C,C
2000-02-04,426.5625,433.125,406.40625,410.625,214.10874938964844,1466240,0.0,0.0,C,C
2000-02-07,414.84375,421.40625,406.40625,407.8125,212.6421356201172,1244160,0.0,0.0,C,C
2000-02-08,414.84375,421.40625,413.4375,420.0,218.9970550537109,1320587,0.0,0.0,C,C
2000-02-09,413.4375,418.125,404.53125,406.40625,211.9090576171875,1265280,0.0,0.0,C,C
2000-02-10,408.75,413.90625,397.5,402.65625,209.95358276367188,1124307,0.0,0.0,C,C
2000-02-11,406.40625,413.90625,396.5625,405.0,211.17564392089844,1326307,0.0,0.0,C,C
2000-02-14,406.875,409.21875,390.46875,405.0,211.17564392089844,1153773,0.0,0.0,C,C
2000-02-15,396.5625,412.03125,395.15625,411.5625,214.59747314453125,1403133,0.0,0.0,C,C
2000-02-16,405.9375,411.5625,397.96875,402.1875,209.70925903320312,910360,0.0,0.0,C,C
2000-02-17,406.875,410.625,391.40625,393.75,205.3098297119141,1287480,0.0,0.0,C,C
2000-02-18,393.28125,395.15625,374.53125,385.78125,201.1546173095703,2039120,0.0,0.0,C,C
2000-02-22,385.3125,392.8125,375.0,382.5,199.4438018798828,1947453,0.0,0.0,C,C
2000-02-23,381.5625,387.65625,378.75,382.03125,199.1992645263672,1555347,0.0,0.0,C,C
2000-02-24,375.0,377.8125,360.0,369.375,192.60011291503903,3156653,0.0,0.0,C,C
2000-02-25,370.3125,380.15625,353.4375,360.0,187.71177673339844,1884933,0.0,0.0,C,C
2000-02-28,371.25,379.6875,367.5,367.5,191.62242126464844,3225133,0.0,0.0,C,C
2000-02-29,378.75,390.9375,377.34375,388.125,202.3767852783203,2547773,0.0,0.0,C,C
2000-03-01,399.375,399.375,384.375,387.1875,201.88787841796875,1671987,0.0,0.0,C,C
2000-03-02,389.53125,390.0,375.0,386.25,201.39913940429688,1161320,0.0,0.0,C,C
2000-03-03,401.25,403.59375,396.5625,400.78125,208.9759521484375,1851347,0.0,0.0,C,C
2000-03-06,405.0,406.875,382.96875,391.40625,204.0876922607422,1241707,0.0,0.0,C,C
2000-03-07,396.09375,396.5625,377.8125,377.8125,196.9996032714844,1145400,0.0,0.0,C,C
2000-03-08,380.625,382.03125,368.90625,378.75,197.4884796142578,1180720,0.0,0.0,C,C
2000-03-09,367.96875,377.8125,363.75,377.8125,196.9996032714844,1507347,0.0,0.0,C,C
2000-03-10,373.59375,380.15625,365.625,367.5,191.62242126464844,1227107,0.0,0.0,C,C
2000-03-13,359.53125,374.53125,358.125,374.53125,195.2886962890625,1928827,0.0,0.0,C,C
2000-03-14,375.9375,377.8125,369.375,373.125,194.5553741455078,1192147,0.0,0.0,C,C
2000-03-15,369.84375,391.875,366.5625,391.875,204.33204650878903,2380000,0.0,0.0,C,C
2000-03-16,402.1875,427.5,395.625,420.9375,219.48599243164065,3432440,0.0,0.0,C,C
