Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,204.3125,204.3671875,188.125,194.6875,194.6875,1293200,0.0,0.0,CIEN,CIEN
2000-01-04,184.40625,192.28125,182.875,186.15625,186.15625,1165943,0.0,0.0,CIEN,CIEN
2000-01-05,182.0,182.65625,168.65625,174.125,174.125,1824114,0.0,0.0,CIEN,CIEN
2000-01-06,175.0,180.6875,158.8125,160.5625,160.5625,1687943,0.0,0.0,CIEN,CIEN
2000-01-07,172.8125,210.875,168.0,202.125,202.125,5233571,0.0,0.0,CIEN,CIEN
2000-01-10,210.21875,228.8125,203.4375,225.3125,225.3125,2154657,0.0,0.0,CIEN,CIEN
2000-01-11,219.625,230.125,209.5625,211.3125,211.3125,1423457,0.0,0.0,CIEN,CIEN
2000-01-12,210.0,218.75,200.8125,207.375,207.375,901314,0.0,0.0,CIEN,CIEN
2000-01-13,220.9375,223.125,210.875,218.75,218.75,951743,0.0,0.0,CIEN,CIEN
2000-01-14,220.5,238.1640625,220.5,233.84375,233.84375,1561257,0.0,0.0,CIEN,CIEN
2000-01-18,235.375,244.78125,232.75,243.90625,243.90625,1163000,0.0,0.0,CIEN,CIEN
2000-01-19,245.0,246.75,232.53125,238.875,238.875,660571,0.0,0.0,CIEN,CIEN
2000-01-20,252.0,269.28125,250.6875,257.03125,257.03125,1936800,0.0,0.0,CIEN,CIEN
2000-01-21,260.75,266.4375,246.3125,258.34375,258.34375,943943,0.0,0.0,CIEN,CIEN
2000-01-24,262.9375,277.8125,259.875,269.0625,269.0625,1085686,0.0,0.0,CIEN,CIEN
2000-01-25,273.875,274.3125,243.25,259.0,259.0,1170914,0.0,0.0,CIEN,CIEN
2000-01-26,258.890625,262.5,237.125,238.4375,238.4375,872200,0.0,0.0,CIEN,CIEN
2000-01-27,249.375,262.5,241.0625,247.40625,247.40625,1268714,0.0,0.0,CIEN,CIEN
2000-01-28,243.6875,252.0,223.125,231.4375,231.4375,1081371,0.0,0.0,CIEN,CIEN
2000-01-31,231.875,234.5,210.21875,229.6875,229.6875,989514,0.0,0.0,CIEN,CIEN
2000-02-01,238.875,244.5625,229.90625,242.375,242.375,647714,0.0,0.0,CIEN,CIEN
2000-02-02,243.25,262.5,243.25,259.4375,259.4375,899771,0.0,0.0,CIEN,CIEN
2000-02-03,262.28125,264.25,250.90625,264.03125,264.03125,1152829,0.0,0.0,CIEN,CIEN
2000-02-04,265.125,270.15625,259.875,264.46875,264.46875,719314,0.0,0.0,CIEN,CIEN
2000-02-07,275.625,291.8125,273.0,282.84375,282.84375,1285029,0.0,0.0,CIEN,CIEN
2000-02-08,290.5,302.75,287.4375,301.875,301.875,1040171,0.0,0.0,CIEN,CIEN
2000-02-09,299.90625,304.5,288.75,292.90625,292.90625,907257,0.0,0.0,CIEN,CIEN
2000-02-10,294.65625,349.78125,294.4375,346.5,346.5,3100171,0.0,0.0,CIEN,CIEN
2000-02-11,346.5,368.375,329.4375,339.5,339.5,1823486,0.0,0.0,CIEN,CIEN
2000-02-14,345.625,364.875,345.1875,349.34375,349.34375,986314,0.0,0.0,CIEN,CIEN
2000-02-15,349.125,364.0,329.65625,348.90625,348.90625,1037857,0.0,0.0,CIEN,CIEN
2000-02-16,343.21875,425.25,342.5625,411.90625,411.90625,3219200,0.0,0.0,CIEN,CIEN
2000-02-17,413.4375,413.65625,385.21875,397.46875,397.46875,1971657,0.0,0.0,CIEN,CIEN
2000-02-18,409.5,439.25,401.625,403.59375,403.59375,2387429,0.0,0.0,CIEN,CIEN
2000-02-22,409.5,436.625,399.65625,416.71875,416.71875,1573886,0.0,0.0,CIEN,CIEN
2000-02-23,416.5,426.125,404.25,408.84375,408.84375,1012286,0.0,0.0,CIEN,CIEN
2000-02-24,415.84375,442.75,409.9375,436.40625,436.40625,1507057,0.0,0.0,CIEN,CIEN
2000-02-25,441.0,498.75,432.25,474.6875,474.6875,1612057,0.0,0.0,CIEN,CIEN
2000-02-28,478.1875,532.0,451.0625,522.59375,522.59375,2238886,0.0,0.0,CIEN,CIEN
2000-02-29,533.75,566.125,530.25,559.34375,559.34375,2460686,0.0,0.0,CIEN,CIEN
2000-03-01,559.5625,631.75,553.0,619.5,619.5,1791971,0.0,0.0,CIEN,CIEN
