Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,49.75,49.875,48.75,49.1875,23.938026428222656,721300,0.0,0.0,CLX,CLX
2000-01-04,48.75,49.0,47.5625,47.875,23.299285888671875,614000,0.0,0.0,CLX,CLX
2000-01-05,48.125,50.25,47.5,49.125,23.90762710571289,743400,0.0,0.0,CLX,CLX
2000-01-06,47.5625,50.5,47.0625,49.5625,24.12053298950196,1038500,0.0,0.0,CLX,CLX
2000-01-07,49.75,52.875,49.1875,52.3125,25.45887756347656,1013300,0.0,0.0,CLX,CLX
2000-01-10,52.8125,53.25,51.375,51.75,25.18512725830078,445400,0.0,0.0,CLX,CLX
2000-01-11,50.9375,52.75,50.375,52.25,25.42845726013184,882600,0.0,0.0,CLX,CLX
2000-01-12,52.0,52.625,51.0,52.1875,25.39805030822754,657500,0.0,0.0,CLX,CLX
2000-01-13,52.8125,56.375,52.0,55.0,26.76680374145508,2040300,0.0,0.0,CLX,CLX
2000-01-14,54.125,55.5,53.75,54.25,26.40180778503418,938500,0.0,0.0,CLX,CLX
2000-01-18,52.875,53.75,52.1875,52.75,25.67179298400879,733900,0.0,0.0,CLX,CLX
2000-01-19,53.25,53.25,50.25,51.9375,25.27638435363769,1142200,0.0,0.0,CLX,CLX
2000-01-20,53.5,53.5,50.625,52.0,25.30679702758789,851000,0.0,0.0,CLX,CLX
2000-01-21,52.0,52.0,49.875,50.625,24.63763999938965,1225200,0.0,0.0,CLX,CLX
2000-01-24,50.5,50.5625,48.5,48.875,23.785961151123047,1138800,0.0,0.0,CLX,CLX
2000-01-25,48.875,49.9375,45.9375,47.25,22.9951171875,1151600,0.0,0.0,CLX,CLX
2000-01-26,47.4375,48.125,47.375,47.8125,23.26886558532715,579500,0.0,0.0,CLX,CLX
2000-01-27,49.75,49.75,46.75,47.25,23.09171867370605,1877800,0.2,0.0,CLX,CLX
2000-01-28,48.0,48.0,45.0,46.875,22.908445358276367,1265100,0.0,0.0,CLX,CLX
2000-01-31,46.875,48.375,46.875,47.75,23.336071014404297,1083400,0.0,0.0,CLX,CLX
2000-02-01,47.6875,48.1875,47.125,48.0,23.4582462310791,1054000,0.0,0.0,CLX,CLX
