Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,4.5625,4.609375,4.375,4.390625,4.051201820373535,44400,0.0,0.0,EME,EME
2000-01-04,4.390625,4.5,4.390625,4.4375,4.094453811645508,44400,0.0,0.0,EME,EME
2000-01-05,4.59375,4.609375,4.515625,4.546875,4.195373058319092,34400,0.0,0.0,EME,EME
2000-01-06,4.53125,4.65625,4.390625,4.65625,4.29629373550415,414400,0.0,0.0,EME,EME
2000-01-07,4.53125,4.703125,4.53125,4.703125,4.33954381942749,564400,0.0,0.0,EME,EME
2000-01-10,4.71875,4.71875,4.59375,4.59375,4.2386250495910645,69600,0.0,0.0,EME,EME
2000-01-11,4.59375,4.625,4.40625,4.53125,4.180955410003662,296800,0.0,0.0,EME,EME
2000-01-12,4.4375,4.5625,4.4375,4.5,4.152121067047119,165200,0.0,0.0,EME,EME
2000-01-13,4.5,4.53125,4.4375,4.5,4.152121067047119,247600,0.0,0.0,EME,EME
2000-01-14,4.5,4.53125,4.484375,4.53125,4.180955410003662,174000,0.0,0.0,EME,EME
2000-01-18,4.515625,4.6875,4.46875,4.6875,4.325126647949219,210400,0.0,0.0,EME,EME
2000-01-19,4.59375,4.90625,4.5625,4.890625,4.5125508308410645,188800,0.0,0.0,EME,EME
2000-01-20,4.875,4.984375,4.78125,4.890625,4.5125508308410645,283200,0.0,0.0,EME,EME
2000-01-21,4.960937976837158,5.0625,4.90625,5.0625,4.671135902404785,624000,0.0,0.0,EME,EME
2000-01-24,5.078125,5.21875,5.015625,5.015625,4.627884864807129,725600,0.0,0.0,EME,EME
2000-01-25,5.0,5.125,4.734375,5.046875,4.656718730926514,254400,0.0,0.0,EME,EME
2000-01-26,4.9375,5.0,4.921875,4.921875,4.541383743286133,185600,0.0,0.0,EME,EME
2000-01-27,4.945312976837158,4.945312976837158,4.703125,4.734375,4.368378639221191,346400,0.0,0.0,EME,EME
2000-01-28,4.734375,4.8125,4.734375,4.78125,4.411629676818848,171200,0.0,0.0,EME,EME
2000-01-31,4.71875,4.75,4.203125,4.546875,4.195373058319092,429600,0.0,0.0,EME,EME
2000-02-01,4.5,4.625,4.5,4.625,4.267457485198975,139600,0.0,0.0,EME,EME
2000-02-02,4.640625,4.671875,4.609375,4.640625,4.281876087188721,60800,0.0,0.0,EME,EME
2000-02-03,4.609375,4.75,4.609375,4.75,4.382794380187988,46800,0.0,0.0,EME,EME
