Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,10.53125,10.71875,10.375,10.59375,6.133525848388672,1455000,0.0,0.0,FCX,FCX
2000-01-04,10.46875,10.5,9.96875,10.0,5.789756774902344,1618200,0.0,0.0,FCX,FCX
2000-01-05,10.03125,10.40625,10.03125,10.375,6.006872177124023,1535600,0.0,0.0,FCX,FCX
2000-01-06,10.375,10.46875,9.90625,10.0625,5.8259453773498535,2296600,0.0,0.0,FCX,FCX
2000-01-07,9.9375,10.25,9.65625,9.8125,5.68120002746582,2253000,0.0,0.0,FCX,FCX
2000-01-10,10.125,10.125,9.84375,9.875,5.717386722564697,1169200,0.0,0.0,FCX,FCX
2000-01-11,9.84375,10.0,9.78125,9.9375,5.753573417663574,845400,0.0,0.0,FCX,FCX
2000-01-12,9.875,9.90625,9.5625,9.78125,5.663109302520752,1784000,0.0,0.0,FCX,FCX
2000-01-13,9.75,9.9375,9.6875,9.71875,5.626922607421875,1897600,0.0,0.0,FCX,FCX
2000-01-14,9.65625,9.71875,9.375,9.5,5.500269412994385,1986800,0.0,0.0,FCX,FCX
2000-01-18,9.5625,9.75,9.34375,9.75,5.64501428604126,1356000,0.0,0.0,FCX,FCX
2000-01-19,9.75,10.0,9.6875,10.0,5.789756774902344,1086000,0.0,0.0,FCX,FCX
2000-01-20,10.0,10.0,9.53125,9.53125,5.518364906311035,1130400,0.0,0.0,FCX,FCX
2000-01-21,9.625,9.625,9.1875,9.1875,5.31934118270874,1141000,0.0,0.0,FCX,FCX
2000-01-24,9.25,9.25,8.75,8.9375,5.174595355987549,711400,0.0,0.0,FCX,FCX
2000-01-25,8.875,8.90625,8.5,8.8125,5.102224826812744,592200,0.0,0.0,FCX,FCX
2000-01-26,8.75,8.75,8.15625,8.34375,4.8308281898498535,877400,0.0,0.0,FCX,FCX
2000-01-27,8.40625,8.90625,8.375,8.90625,5.156503200531006,1056800,0.0,0.0,FCX,FCX
2000-01-28,8.75,9.125,8.5625,8.71875,5.047945976257324,1770800,0.0,0.0,FCX,FCX
2000-01-31,8.65625,8.84375,8.65625,8.71875,5.047945976257324,859400,0.0,0.0,FCX,FCX
2000-02-01,8.59375,8.90625,8.59375,8.71875,5.047945976257324,735600,0.0,0.0,FCX,FCX
2000-02-02,8.71875,8.875,8.6875,8.71875,5.047945976257324,1475200,0.0,0.0,FCX,FCX
2000-02-03,8.6875,8.8125,8.65625,8.75,5.066037654876709,1541000,0.0,0.0,FCX,FCX
2000-02-04,9.0,9.375,9.0,9.28125,5.373617649078369,1479400,0.0,0.0,FCX,FCX
2000-02-07,9.4375,9.46875,9.1875,9.1875,5.31934118270874,1530800,0.0,0.0,FCX,FCX
2000-02-08,9.1875,9.21875,8.96875,9.0,5.210781574249268,1079800,0.0,0.0,FCX,FCX
2000-02-09,9.0,9.15625,8.90625,8.96875,5.192688465118408,1466600,0.0,0.0,FCX,FCX
2000-02-10,9.0,9.03125,8.875,8.90625,5.156503200531006,1569000,0.0,0.0,FCX,FCX
2000-02-11,8.84375,9.09375,8.8125,9.09375,5.265061855316162,1071400,0.0,0.0,FCX,FCX
2000-02-14,9.03125,9.25,9.03125,9.1875,5.31934118270874,757800,0.0,0.0,FCX,FCX
2000-02-15,9.21875,9.34375,9.125,9.15625,5.301249027252197,1684400,0.0,0.0,FCX,FCX
2000-02-16,9.125,9.1875,8.96875,9.0,5.210781574249268,616600,0.0,0.0,FCX,FCX
2000-02-17,9.0,9.28125,8.9375,9.0625,5.246970176696777,775800,0.0,0.0,FCX,FCX
2000-02-18,9.03125,9.1875,8.96875,9.0,5.210781574249268,1126400,0.0,0.0,FCX,FCX
2000-02-22,8.9375,9.125,8.6875,8.875,5.1384124755859375,915400,0.0,0.0,FCX,FCX
2000-02-23,8.9375,8.9375,8.3125,8.34375,4.8308281898498535,771400,0.0,0.0,FCX,FCX
2000-02-24,8.34375,8.34375,7.46875,7.46875,4.324224948883057,1482600,0.0,0.0,FCX,FCX
2000-02-25,7.4375,7.4375,7.0,7.0,4.052831172943115,1446400,0.0,0.0,FCX,FCX
2000-02-28,7.1875,7.40625,6.8125,6.875,3.980459690093994,1726600,0.0,0.0,FCX,FCX
2000-02-29,6.90625,7.125,6.8125,6.875,3.980459690093994,886400,0.0,0.0,FCX,FCX
2000-03-01,6.90625,7.125,6.625,7.03125,4.070922374725342,1116600,0.0,0.0,FCX,FCX
