Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,27.51945686340332,27.51945686340332,25.78829765319824,26.146467208862305,12.481001853942873,482347,0.0,0.0,FHN,FHN
2000-01-04,25.967382431030277,25.967382431030277,24.71378517150879,25.430126190185547,12.139057159423828,263317,0.0,0.0,FHN,FHN
2000-01-05,25.668907165527344,25.907686233520508,24.89286994934082,25.25104141235352,12.053568840026855,435965,0.0,0.0,FHN,FHN
2000-01-06,25.25104141235352,26.20616340637207,25.19134521484375,25.72860145568848,12.28153133392334,536790,0.0,0.0,FHN,FHN
2000-01-07,25.84799194335937,26.265857696533203,25.549516677856445,25.967382431030277,12.3955078125,363409,0.0,0.0,FHN,FHN
2000-01-10,26.6240291595459,26.6240291595459,25.549516677856445,25.72860145568848,12.28153133392334,304150,0.0,0.0,FHN,FHN
2000-01-11,25.668907165527344,25.668907165527344,24.654090881347656,24.654090881347656,11.7686128616333,255779,0.0,0.0,FHN,FHN
2000-01-12,24.59439468383789,25.60921287536621,24.534698486328125,24.952564239501957,11.911088943481444,447691,0.0,0.0,FHN,FHN
2000-01-13,25.78829765319824,25.78829765319824,25.37043190002441,25.72860145568848,12.28153133392334,366759,0.0,0.0,FHN,FHN
2000-01-14,25.967382431030277,26.922504425048828,25.967382431030277,26.32555389404297,12.566490173339844,453240,0.0,0.0,FHN,FHN
2000-01-18,26.146467208862305,26.146467208862305,25.131650924682617,25.430126190185547,12.139057159423828,427903,0.0,0.0,FHN,FHN
2000-01-19,25.430126190185547,25.84799194335937,24.952564239501957,25.19134521484375,12.025075912475586,351055,0.0,0.0,FHN,FHN
2000-01-20,25.01226043701172,25.01226043701172,23.758663177490234,23.878053665161133,11.398175239562988,780633,0.0,0.0,FHN,FHN
2000-01-21,23.9974422454834,24.236223220825195,23.937747955322266,24.057138442993164,11.483659744262695,331267,0.0,0.0,FHN,FHN
2000-01-24,24.116832733154297,24.176528930664062,22.743844985961918,22.922931671142575,10.94224739074707,606415,0.0,0.0,FHN,FHN
2000-01-25,22.86323547363281,22.98262596130371,22.624454498291016,22.86323547363281,10.913753509521484,826596,0.0,0.0,FHN,FHN
2000-01-26,22.80354118347168,23.57957649230957,22.80354118347168,23.57957649230957,11.255693435668944,773409,0.0,0.0,FHN,FHN
2000-01-27,23.639272689819336,24.29591941833496,23.57957649230957,23.818357467651367,11.36967945098877,428741,0.0,0.0,FHN,FHN
2000-01-28,23.758663177490234,24.176528930664062,23.51988220214844,24.176528930664062,11.5406494140625,428636,0.0,0.0,FHN,FHN
2000-01-31,24.355613708496094,24.952564239501957,24.116832733154297,24.952564239501957,11.911088943481444,442352,0.0,0.0,FHN,FHN
2000-02-01,25.071956634521484,25.131650924682617,24.654090881347656,24.77347946166992,11.825606346130373,330220,0.0,0.0,FHN,FHN
2000-02-02,25.01226043701172,25.01226043701172,24.355613708496094,24.59439468383789,11.740123748779297,343097,0.0,0.0,FHN,FHN
2000-02-03,24.534698486328125,24.833175659179688,24.29591941833496,24.654090881347656,11.7686128616333,530613,0.0,0.0,FHN,FHN
2000-02-04,24.654090881347656,24.654090881347656,24.116832733154297,24.176528930664062,11.5406494140625,172334,0.0,0.0,FHN,FHN
2000-02-07,24.236223220825195,24.355613708496094,23.6989688873291,24.236223220825195,11.569148063659668,333779,0.0,0.0,FHN,FHN
2000-02-08,23.9974422454834,24.71378517150879,23.9974422454834,24.59439468383789,11.740123748779297,256616,0.0,0.0,FHN,FHN
2000-02-09,24.59439468383789,24.59439468383789,23.818357467651367,23.878053665161133,11.398175239562988,226149,0.0,0.0,FHN,FHN
2000-02-10,23.937747955322266,24.057138442993164,22.98262596130371,23.28110122680664,11.1132230758667,362362,0.0,0.0,FHN,FHN
2000-02-11,23.221406936645508,23.6989688873291,23.042320251464844,23.161710739135746,11.056227684020996,262375,0.0,0.0,FHN,FHN
2000-02-14,23.161710739135746,23.40049171447754,22.922931671142575,22.98262596130371,10.970745086669922,244053,0.0,0.0,FHN,FHN
2000-02-15,23.10201644897461,23.460187911987305,22.86323547363281,22.922931671142575,10.94224739074707,243634,0.0,0.0,FHN,FHN
