Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,21.25,21.375,20.0625,20.5625,7.912378311157227,361300,0.0,0.0,LEG,LEG
2000-01-04,20.3125,20.3125,19.4375,19.5,7.503532886505127,560900,0.0,0.0,LEG,LEG
2000-01-05,19.625,19.75,19.0,19.5,7.503532886505127,870300,0.0,0.0,LEG,LEG
2000-01-06,19.3125,19.625,19.0625,19.4375,7.47947883605957,776400,0.0,0.0,LEG,LEG
2000-01-07,19.5,19.75,19.0625,19.75,7.599732875823975,485400,0.0,0.0,LEG,LEG
2000-01-10,19.875,19.9375,19.0625,19.6875,7.575682163238525,435400,0.0,0.0,LEG,LEG
2000-01-11,19.5,20.1875,19.5,19.8125,7.623780250549316,402200,0.0,0.0,LEG,LEG
2000-01-12,19.8125,19.875,19.1875,19.1875,7.383278846740723,421100,0.0,0.0,LEG,LEG
2000-01-13,19.1875,19.25,18.6875,19.1875,7.383278846740723,472200,0.0,0.0,LEG,LEG
2000-01-14,19.25,19.4375,18.875,19.3125,7.431380748748779,341500,0.0,0.0,LEG,LEG
2000-01-18,19.125,19.3125,18.9375,19.3125,7.431380748748779,368600,0.0,0.0,LEG,LEG
2000-01-19,19.25,19.3125,18.9375,19.0,7.311134338378906,332300,0.0,0.0,LEG,LEG
2000-01-20,18.9375,19.0625,18.375,18.5,7.118733882904053,494300,0.0,0.0,LEG,LEG
2000-01-21,19.0,19.125,18.5,19.0625,7.335183143615723,661100,0.0,0.0,LEG,LEG
2000-01-24,19.125,19.3125,18.5,18.6875,7.190885543823242,293400,0.0,0.0,LEG,LEG
2000-01-25,18.5625,18.6875,17.8125,18.0625,6.950387001037598,467600,0.0,0.0,LEG,LEG
2000-01-26,18.25,18.4375,17.625,18.1875,6.9984869956970215,528700,0.0,0.0,LEG,LEG
2000-01-27,18.0,18.5625,17.75,18.125,6.974437713623047,358100,0.0,0.0,LEG,LEG
2000-01-28,18.125,18.25,17.75,17.9375,6.902286052703857,355600,0.0,0.0,LEG,LEG
2000-01-31,17.8125,18.0,17.5625,18.0,6.926334857940674,498000,0.0,0.0,LEG,LEG
2000-02-01,17.875,18.5,17.375,18.25,7.022538185119629,699600,0.0,0.0,LEG,LEG
2000-02-02,18.0,18.0,17.5625,17.6875,6.806087970733643,467900,0.0,0.0,LEG,LEG
2000-02-03,17.75,18.5,17.6875,18.1875,6.9984869956970215,595600,0.0,0.0,LEG,LEG
2000-02-04,17.9375,18.375,17.5625,17.625,6.782039642333984,582900,0.0,0.0,LEG,LEG
2000-02-07,17.5625,17.625,17.0,17.3125,6.661788940429688,520400,0.0,0.0,LEG,LEG
2000-02-08,17.5625,17.75,17.25,17.5,6.733940124511719,304400,0.0,0.0,LEG,LEG
2000-02-09,17.25,18.0,17.0625,17.3125,6.661788940429688,548700,0.0,0.0,LEG,LEG
2000-02-10,17.4375,17.4375,16.9375,17.0625,6.565592288970947,431800,0.0,0.0,LEG,LEG
2000-02-11,16.9375,17.25,16.6875,16.75,6.44534158706665,384500,0.0,0.0,LEG,LEG
2000-02-14,17.0,17.3125,16.6875,16.75,6.44534158706665,461900,0.0,0.0,LEG,LEG
2000-02-15,16.75,16.8125,16.3125,16.5,6.349141597747803,907300,0.0,0.0,LEG,LEG
2000-02-16,16.5625,17.0,16.5625,16.8125,6.469391822814941,443400,0.0,0.0,LEG,LEG
2000-02-17,16.875,17.0625,16.625,16.8125,6.469391822814941,312400,0.0,0.0,LEG,LEG
2000-02-18,16.5625,16.8125,16.0625,16.25,6.252941131591797,551900,0.0,0.0,LEG,LEG
2000-02-22,16.5,16.6875,16.1875,16.3125,6.276992321014404,335200,0.0,0.0,LEG,LEG
2000-02-23,16.1875,16.4375,16.0,16.3125,6.315710067749023,388700,0.1,0.0,LEG,LEG
2000-02-24,16.3125,16.5625,16.0625,16.0625,6.218920707702637,906800,0.0,0.0,LEG,LEG
2000-02-25,16.125,16.4375,15.9375,16.0625,6.218920707702637,694800,0.0,0.0,LEG,LEG
2000-02-28,16.3125,16.3125,15.875,16.0625,6.218920707702637,620400,0.0,0.0,LEG,LEG
2000-02-29,16.125,16.9375,15.9375,16.8125,6.509295463562012,716600,0.0,0.0,LEG,LEG
2000-03-01,16.75,16.75,16.1875,16.3125,6.315710067749023,1226700,0.0,0.0,LEG,LEG
2000-03-02,16.375,16.8125,16.0,16.1875,6.267315864562988,1154700,0.0,0.0,LEG,LEG
2000-03-03,16.1875,16.5,15.875,16.0,6.19472074508667,489000,0.0,0.0,LEG,LEG
2000-03-06,16.0,16.0625,15.375,15.5625,6.025332450866699,514400,0.0,0.0,LEG,LEG
2000-03-07,15.5625,15.8125,15.25,15.4375,5.976936340332031,324900,0.0,0.0,LEG,LEG
2000-03-08,15.3125,15.875,15.3125,15.8125,6.12212610244751,418000,0.0,0.0,LEG,LEG
2000-03-09,15.75,16.9375,15.4375,16.875,6.53349494934082,871300,0.0,0.0,LEG,LEG
2000-03-10,17.0,17.375,16.9375,17.0,6.58189058303833,629600,0.0,0.0,LEG,LEG
2000-03-13,17.0625,17.0625,16.5,16.8125,6.509295463562012,306600,0.0,0.0,LEG,LEG
2000-03-14,16.8125,17.75,16.3125,16.6875,6.460898399353027,640100,0.0,0.0,LEG,LEG
2000-03-15,16.75,18.3125,16.25,18.25,7.065855026245117,802100,0.0,0.0,LEG,LEG
2000-03-16,18.1875,19.8125,18.0625,19.8125,7.670803070068359,837100,0.0,0.0,LEG,LEG
2000-03-17,21.6875,21.8125,19.625,20.0,7.743402004241943,1116900,0.0,0.0,LEG,LEG
2000-03-20,20.0,20.125,19.125,19.125,7.404626369476318,364500,0.0,0.0,LEG,LEG
2000-03-21,20.125,20.125,19.4375,20.0,7.743402004241943,286300,0.0,0.0,LEG,LEG
2000-03-22,19.75,19.75,18.875,19.3125,7.477219104766846,349200,0.0,0.0,LEG,LEG
2000-03-23,19.125,19.6875,18.625,19.6875,7.622407913208008,485000,0.0,0.0,LEG,LEG
2000-03-24,19.625,20.125,19.1875,19.3125,7.477219104766846,385700,0.0,0.0,LEG,LEG
2000-03-27,19.5625,19.75,19.1875,19.3125,7.477219104766846,216100,0.0,0.0,LEG,LEG
2000-03-28,19.3125,19.3125,18.75,19.125,7.404626369476318,589000,0.0,0.0,LEG,LEG
2000-03-29,19.3125,20.25,19.0625,20.125,7.791799545288086,656700,0.0,0.0,LEG,LEG
2000-03-30,20.3125,20.625,19.875,19.875,7.695005893707275,706100,0.0,0.0,LEG,LEG
2000-03-31,19.9375,21.5625,19.9375,21.5,8.324156761169434,814200,0.0,0.0,LEG,LEG
2000-04-03,21.5,21.6875,20.6875,20.9375,8.10637378692627,358700,0.0,0.0,LEG,LEG
2000-04-04,21.125,21.9375,20.0625,21.0625,8.154768943786621,449700,0.0,0.0,LEG,LEG
2000-04-05,20.8125,20.9375,20.3125,20.8125,8.057975769042969,561700,0.0,0.0,LEG,LEG
2000-04-06,21.0,21.75,21.0,21.375,8.275760650634766,433300,0.0,0.0,LEG,LEG
2000-04-07,21.25,21.6875,21.0,21.25,8.227360725402832,488700,0.0,0.0,LEG,LEG
2000-04-10,21.25,21.75,21.1875,21.5625,8.34835147857666,414100,0.0,0.0,LEG,LEG
2000-04-11,21.375,21.9375,21.375,21.75,8.420947074890137,281700,0.0,0.0,LEG,LEG
2000-04-12,21.875,22.1875,21.75,22.0,8.517743110656738,557100,0.0,0.0,LEG,LEG
2000-04-13,22.5,22.5625,21.75,22.0,8.517743110656738,789400,0.0,0.0,LEG,LEG
2000-04-14,22.125,22.125,21.0625,21.0625,8.154768943786621,684700,0.0,0.0,LEG,LEG
2000-04-17,21.1875,21.4375,20.5,21.25,8.227360725402832,544300,0.0,0.0,LEG,LEG
2000-04-18,21.25,22.0,20.9375,21.4375,8.299960136413574,578500,0.0,0.0,LEG,LEG
2000-04-19,21.5625,21.5625,20.9375,21.25,8.227360725402832,209400,0.0,0.0,LEG,LEG
2000-04-20,21.0,21.9375,20.875,21.5,8.324156761169434,382500,0.0,0.0,LEG,LEG
2000-04-24,21.6875,21.9375,21.125,21.6875,8.396744728088379,408100,0.0,0.0,LEG,LEG
2000-04-25,21.75,22.375,21.6875,22.25,8.61453628540039,611200,0.0,0.0,LEG,LEG
2000-04-26,22.375,22.375,21.6875,21.75,8.420947074890137,540100,0.0,0.0,LEG,LEG
2000-04-27,21.75,21.75,21.0625,21.375,8.275760650634766,549100,0.0,0.0,LEG,LEG
2000-04-28,21.3125,21.4375,20.6875,21.375,8.275760650634766,423500,0.0,0.0,LEG,LEG
2000-05-01,21.125,22.0,20.9375,21.75,8.420947074890137,344800,0.0,0.0,LEG,LEG
2000-05-02,21.875,21.875,20.75,20.9375,8.10637378692627,264800,0.0,0.0,LEG,LEG
2000-05-03,21.0,21.0,20.4375,20.8125,8.057975769042969,303200,0.0,0.0,LEG,LEG
2000-05-04,20.8125,21.1875,20.1875,20.9375,8.10637378692627,307500,0.0,0.0,LEG,LEG
2000-05-05,20.875,20.875,20.0625,20.5,7.936983108520508,281900,0.0,0.0,LEG,LEG
2000-05-08,20.5625,20.5625,19.625,19.9375,7.719199180603027,165100,0.0,0.0,LEG,LEG
2000-05-09,19.9375,20.3125,19.625,20.0,7.743402004241943,359800,0.0,0.0,LEG,LEG
2000-05-10,20.0,20.3125,19.6875,20.0625,7.767598628997803,221700,0.0,0.0,LEG,LEG
2000-05-11,20.125,21.0,20.0,20.5625,7.961184501647949,263000,0.0,0.0,LEG,LEG
2000-05-12,20.375,20.375,19.625,19.75,7.646608829498291,450800,0.0,0.0,LEG,LEG
2000-05-15,19.75,20.1875,19.625,19.75,7.646608829498291,329500,0.0,0.0,LEG,LEG
2000-05-16,19.8125,20.625,19.8125,20.3125,7.864394664764404,395800,0.0,0.0,LEG,LEG
2000-05-17,20.1875,20.3125,19.9375,20.25,7.878984928131103,346000,0.1,0.0,LEG,LEG
2000-05-18,20.375,20.4375,19.8125,20.3125,7.9033002853393555,246100,0.0,0.0,LEG,LEG
2000-05-19,20.0625,20.1875,18.75,19.3125,7.51421308517456,501800,0.0,0.0,LEG,LEG
2000-05-22,19.875,20.0,19.125,19.625,7.635805130004883,493700,0.0,0.0,LEG,LEG
2000-05-23,19.8125,19.875,19.5,19.6875,7.660121440887451,284100,0.0,0.0,LEG,LEG
2000-05-24,19.75,19.8125,19.0,19.3125,7.51421308517456,357600,0.0,0.0,LEG,LEG
2000-05-25,19.25,19.875,19.25,19.5625,7.611489295959473,363400,0.0,0.0,LEG,LEG
2000-05-26,19.8125,19.9375,19.3125,19.4375,7.56284761428833,343100,0.0,0.0,LEG,LEG
2000-05-30,19.375,19.875,19.0,19.28125,7.5020575523376465,748800,0.0,0.0,LEG,LEG
2000-05-31,19.5,20.5,19.375,20.03125,7.79386568069458,746200,0.0,0.0,LEG,LEG
2000-06-01,20.0,20.5625,20.0,20.28125,7.891141414642334,535200,0.0,0.0,LEG,LEG
2000-06-02,20.875,21.3125,20.75,21.15625,8.231588363647461,572100,0.0,0.0,LEG,LEG
2000-06-05,21.125,21.1875,20.5,20.78125,8.08568286895752,245500,0.0,0.0,LEG,LEG
2000-06-06,20.75,20.75,19.75,19.78125,7.696600914001465,388400,0.0,0.0,LEG,LEG
2000-06-07,19.75,19.75,19.25,19.53125,7.599326133728027,611600,0.0,0.0,LEG,LEG
2000-06-08,19.5625,19.5625,19.25,19.28125,7.5020575523376465,436000,0.0,0.0,LEG,LEG
2000-06-09,19.0625,19.375,19.0,19.21875,7.477738380432129,461500,0.0,0.0,LEG,LEG
2000-06-12,19.25,19.75,19.125,19.28125,7.5020575523376465,334900,0.0,0.0,LEG,LEG
2000-06-13,19.1875,19.4375,19.125,19.125,7.441261291503906,626100,0.0,0.0,LEG,LEG
2000-06-14,19.3125,19.75,19.3125,19.375,7.538529872894287,331700,0.0,0.0,LEG,LEG
2000-06-15,19.625,19.875,19.5,19.5625,7.611489295959473,240900,0.0,0.0,LEG,LEG
2000-06-16,19.5625,19.625,19.0625,19.1875,7.465579509735107,435400,0.0,0.0,LEG,LEG
2000-06-19,19.125,19.3125,18.75,19.0625,7.4169416427612305,500200,0.0,0.0,LEG,LEG
2000-06-20,18.9375,19.125,18.8125,19.0,7.392622470855713,267100,0.0,0.0,LEG,LEG
