Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,22.0,22.3125,20.25,20.25,10.412423133850098,3011300,0.0,0.0,LMT,LMT
2000-01-04,20.0,21.3125,20.0,20.9375,10.765928268432615,3593500,0.0,0.0,LMT,LMT
2000-01-05,21.25,21.625,20.5,21.0625,10.830208778381348,1721200,0.0,0.0,LMT,LMT
2000-01-06,21.0,21.75,21.0,21.375,10.990893363952637,1750700,0.0,0.0,LMT,LMT
2000-01-07,21.75,22.0625,21.1875,21.4375,11.023031234741213,2203200,0.0,0.0,LMT,LMT
2000-01-10,21.375,21.5,20.5625,20.625,10.605242729187012,1361000,0.0,0.0,LMT,LMT
2000-01-11,20.5,20.75,19.75,19.9375,10.25173568725586,2236100,0.0,0.0,LMT,LMT
2000-01-12,20.0,21.25,20.0,21.1875,10.894478797912598,3562400,0.0,0.0,LMT,LMT
2000-01-13,21.4375,21.4375,20.5625,20.75,10.66951847076416,2871700,0.0,0.0,LMT,LMT
2000-01-14,20.75,20.9375,20.5,20.5,10.540974617004396,1609300,0.0,0.0,LMT,LMT
2000-01-18,21.0,21.25,19.75,20.0,10.28387451171875,3763800,0.0,0.0,LMT,LMT
2000-01-19,20.0625,20.75,20.0,20.6875,10.637383460998535,2270500,0.0,0.0,LMT,LMT
2000-01-20,20.5,20.6875,20.375,20.5625,10.573110580444336,2321600,0.0,0.0,LMT,LMT
2000-01-21,20.75,21.1875,20.625,21.0,10.798065185546877,2340600,0.0,0.0,LMT,LMT
2000-01-24,20.9375,21.0625,19.5625,19.5625,10.058915138244627,1917000,0.0,0.0,LMT,LMT
2000-01-25,19.5625,19.9375,19.125,19.25,9.89823055267334,2022500,0.0,0.0,LMT,LMT
2000-01-26,19.4375,20.0625,19.25,20.0625,10.316012382507324,2020300,0.0,0.0,LMT,LMT
2000-01-27,19.9375,20.0,19.0,19.4375,9.994638442993164,2236300,0.0,0.0,LMT,LMT
2000-01-28,19.0,19.9375,18.3125,18.875,9.705405235290527,2213200,0.0,0.0,LMT,LMT
2000-01-31,18.3125,18.875,18.1875,18.5,9.512585639953612,1528600,0.0,0.0,LMT,LMT
2000-02-01,18.75,18.875,18.375,18.6875,9.60899257659912,737300,0.0,0.0,LMT,LMT
2000-02-02,18.4375,18.8125,18.1875,18.6875,9.60899257659912,1633700,0.0,0.0,LMT,LMT
2000-02-03,18.625,18.9375,18.5,18.625,9.576861381530762,1830200,0.0,0.0,LMT,LMT
2000-02-04,18.75,19.3125,18.375,19.125,9.833958625793455,2012900,0.0,0.0,LMT,LMT
2000-02-07,19.25,19.5,18.25,18.75,9.641132354736328,1633700,0.0,0.0,LMT,LMT
2000-02-08,18.3125,18.375,17.875,18.375,9.448307991027832,2110300,0.0,0.0,LMT,LMT
2000-02-09,17.875,18.5,17.875,18.375,9.448307991027832,1863800,0.0,0.0,LMT,LMT
2000-02-10,18.0625,18.5,18.0625,18.3125,9.41617202758789,1814500,0.0,0.0,LMT,LMT
2000-02-11,18.125,18.3125,17.375,17.5,8.998390197753906,1821000,0.0,0.0,LMT,LMT
2000-02-14,17.75,18.125,17.5,18.0625,9.287625312805176,1839400,0.0,0.0,LMT,LMT
2000-02-15,18.0,18.1875,17.8125,18.125,9.319761276245115,1273200,0.0,0.0,LMT,LMT
2000-02-16,17.5,18.0625,17.5,17.75,9.126940727233888,1630600,0.0,0.0,LMT,LMT
2000-02-17,17.9375,18.25,17.8125,18.0,9.255487442016602,4412100,0.0,0.0,LMT,LMT
2000-02-18,17.75,17.875,17.0,17.4375,8.9662504196167,1651200,0.0,0.0,LMT,LMT
2000-02-22,17.0625,18.0,17.0625,18.0,9.255487442016602,1411100,0.0,0.0,LMT,LMT
2000-02-23,17.9375,17.9375,17.5,17.8125,9.159076690673828,1358100,0.0,0.0,LMT,LMT
2000-02-24,17.625,17.6875,17.1875,17.5625,9.030527114868164,1248100,0.0,0.0,LMT,LMT
2000-02-25,17.625,17.9375,17.5625,17.75,9.126940727233888,1691300,0.0,0.0,LMT,LMT
2000-02-28,17.5625,17.625,17.125,17.5,8.998390197753906,1022400,0.0,0.0,LMT,LMT
2000-02-29,17.4375,17.875,17.125,17.4375,8.9662504196167,1285400,0.0,0.0,LMT,LMT
2000-03-01,17.4375,17.6875,17.375,17.6875,9.094806671142578,1331700,0.0,0.0,LMT,LMT
2000-03-02,17.5,17.5625,17.0,17.125,8.860671043395996,1398200,0.11,0.0,LMT,LMT
2000-03-03,17.0625,17.1875,16.875,17.0,8.795997619628906,1733200,0.0,0.0,LMT,LMT
2000-03-06,17.75,18.25,17.75,18.0,9.313406944274902,3775600,0.0,0.0,LMT,LMT
2000-03-07,18.0,18.0,17.3125,17.3125,8.95768928527832,1289900,0.0,0.0,LMT,LMT
2000-03-08,17.25,17.625,17.25,17.625,9.119379997253418,2051400,0.0,0.0,LMT,LMT
2000-03-09,17.5,17.5,17.0,17.125,8.860671043395996,1706700,0.0,0.0,LMT,LMT
2000-03-10,17.125,17.125,16.6875,16.8125,8.698978424072266,2631700,0.0,0.0,LMT,LMT
2000-03-13,16.8125,17.0,16.625,16.9375,8.763659477233887,1434800,0.0,0.0,LMT,LMT
2000-03-14,17.0,17.0,16.5,16.625,8.60196590423584,1853600,0.0,0.0,LMT,LMT
2000-03-15,16.625,17.1875,16.5,17.125,8.860671043395996,4062700,0.0,0.0,LMT,LMT
2000-03-16,17.1875,18.25,17.0,18.0625,9.345746994018556,3771400,0.0,0.0,LMT,LMT
2000-03-17,18.0625,18.75,17.625,18.0,9.313406944274902,6524300,0.0,0.0,LMT,LMT
2000-03-20,18.0,18.0,17.625,17.765625,9.192137718200684,1103600,0.0,0.0,LMT,LMT
2000-03-21,17.25,17.625,17.0625,17.3125,8.95768928527832,1439200,0.0,0.0,LMT,LMT
2000-03-22,17.25,17.3125,16.9375,17.125,8.860671043395996,1424500,0.0,0.0,LMT,LMT
2000-03-23,17.0625,17.375,16.9375,17.0625,8.828335762023926,918700,0.0,0.0,LMT,LMT
2000-03-24,17.0625,17.75,17.0625,17.5,9.054704666137695,2166100,0.0,0.0,LMT,LMT
2000-03-27,17.5,17.875,17.25,17.8125,9.216391563415527,1698000,0.0,0.0,LMT,LMT
2000-03-28,18.25,19.1875,18.0625,18.75,9.70146942138672,3675900,0.0,0.0,LMT,LMT
2000-03-29,18.5625,19.25,18.3125,19.25,9.960175514221191,3296200,0.0,0.0,LMT,LMT
2000-03-30,19.75,21.25,19.5,20.875,10.800965309143066,4674400,0.0,0.0,LMT,LMT
2000-03-31,21.0625,21.0625,19.6875,20.4375,10.57459831237793,2365800,0.0,0.0,LMT,LMT
2000-04-03,20.0625,20.875,20.0625,20.4375,10.57459831237793,1050100,0.0,0.0,LMT,LMT
