Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,29.0,29.3125,27.625,27.75,11.550458908081056,1010500,0.0,0.0,NWL,NWL
2000-01-04,27.5,29.1875,27.5,28.4375,11.836618423461914,1194700,0.0,0.0,NWL,NWL
2000-01-05,28.25,28.8125,27.375,28.0,11.654513359069824,902200,0.0,0.0,NWL,NWL
2000-01-06,27.8125,28.8125,27.625,28.5625,11.888646125793455,2052500,0.0,0.0,NWL,NWL
2000-01-07,28.9375,29.5,28.75,29.5,12.278862953186035,1780600,0.0,0.0,NWL,NWL
2000-01-10,29.5,29.6875,28.375,28.9375,12.044734001159668,1312600,0.0,0.0,NWL,NWL
2000-01-11,28.9375,29.875,28.5625,28.625,11.91465187072754,834100,0.0,0.0,NWL,NWL
2000-01-12,28.875,29.0,27.625,28.25,11.758575439453123,878800,0.0,0.0,NWL,NWL
2000-01-13,28.4375,28.625,28.1875,28.3125,11.784585952758787,1297200,0.0,0.0,NWL,NWL
2000-01-14,29.5,29.875,28.5,28.75,11.96669101715088,2802000,0.0,0.0,NWL,NWL
2000-01-18,28.5625,30.25,28.5625,29.875,12.434950828552246,2117900,0.0,0.0,NWL,NWL
2000-01-19,29.75,29.8125,28.75,29.5,12.278862953186035,1081200,0.0,0.0,NWL,NWL
2000-01-20,29.375,31.0,29.375,30.6875,12.7731351852417,2006700,0.0,0.0,NWL,NWL
2000-01-21,31.75,31.75,30.6875,31.0,12.903217315673828,1416500,0.0,0.0,NWL,NWL
2000-01-24,31.75,31.75,30.5,30.5,12.695091247558594,1375000,0.0,0.0,NWL,NWL
2000-01-25,30.5,30.875,30.5,30.5625,12.721111297607422,1130300,0.0,0.0,NWL,NWL
2000-01-26,30.5,30.8125,30.4375,30.625,12.74712371826172,829700,0.0,0.0,NWL,NWL
2000-01-27,30.8125,31.5,30.5625,31.25,13.00727367401123,554800,0.0,0.0,NWL,NWL
2000-01-28,30.75,30.9375,29.5625,29.8125,12.408933639526367,1032900,0.0,0.0,NWL,NWL
2000-01-31,29.875,30.4375,29.75,29.9375,12.460960388183594,736800,0.0,0.0,NWL,NWL
2000-02-01,29.75,30.125,29.5,29.6875,12.356904029846191,618400,0.0,0.0,NWL,NWL
2000-02-02,29.6875,30.6875,29.6875,30.5625,12.721111297607422,863800,0.0,0.0,NWL,NWL
2000-02-03,31.375,31.875,27.0,27.5,11.446398735046388,3486000,0.0,0.0,NWL,NWL
2000-02-04,23.0,23.6875,21.0,23.5,9.781472206115724,14708000,0.0,0.0,NWL,NWL
2000-02-07,24.5,26.25,24.375,25.9375,10.796037673950195,6683000,0.0,0.0,NWL,NWL
2000-02-08,25.875,28.625,25.875,28.5,11.86263370513916,3148700,0.0,0.0,NWL,NWL
2000-02-09,27.0,27.9375,26.0625,26.125,10.874080657958984,3034800,0.0,0.0,NWL,NWL
2000-02-10,26.9375,26.9375,26.3125,26.4375,11.004154205322266,2317100,0.0,0.0,NWL,NWL
2000-02-11,26.3125,26.75,26.25,26.5,11.030169486999512,2473600,0.0,0.0,NWL,NWL
2000-02-14,26.5,27.8125,26.5,27.5,11.446398735046388,2504600,0.0,0.0,NWL,NWL
2000-02-15,27.25,28.1875,26.875,27.6875,11.524438858032228,2349400,0.0,0.0,NWL,NWL
2000-02-16,27.4375,27.9375,27.25,27.625,11.586308479309082,2049100,0.21,0.0,NWL,NWL
2000-02-17,27.375,27.8125,26.1875,26.1875,10.983404159545898,1812900,0.0,0.0,NWL,NWL
2000-02-18,26.0625,26.0625,24.0625,24.6875,10.354273796081545,2355900,0.0,0.0,NWL,NWL
2000-02-22,24.5,25.5,24.4375,25.1875,10.563984870910645,951800,0.0,0.0,NWL,NWL
2000-02-23,25.125,25.75,24.375,24.375,10.223212242126465,1029700,0.0,0.0,NWL,NWL
2000-02-24,24.0,24.875,23.4375,23.8125,9.987289428710938,1653800,0.0,0.0,NWL,NWL
2000-02-25,24.375,25.0,23.3125,23.5,9.856224060058594,1751600,0.0,0.0,NWL,NWL
2000-02-28,23.5,25.0625,23.5,24.375,10.223212242126465,1128800,0.0,0.0,NWL,NWL
2000-02-29,24.375,24.75,23.125,23.25,9.751372337341309,1225900,0.0,0.0,NWL,NWL
2000-03-01,23.125,24.0,22.6875,23.6875,9.934863090515137,2068500,0.0,0.0,NWL,NWL
2000-03-02,24.375,24.375,23.0625,23.8125,9.987289428710938,1070000,0.0,0.0,NWL,NWL
2000-03-03,23.5,24.4375,23.375,24.1875,10.144570350646973,789900,0.0,0.0,NWL,NWL
2000-03-06,24.4375,24.6875,23.0,23.125,9.698946952819824,1154600,0.0,0.0,NWL,NWL
2000-03-07,23.0625,23.0625,22.375,22.4375,9.410594940185549,1911200,0.0,0.0,NWL,NWL
2000-03-08,22.4375,23.25,22.3125,23.0625,9.672728538513184,1225000,0.0,0.0,NWL,NWL
2000-03-09,22.75,23.0625,22.0625,22.6875,9.51545524597168,1041700,0.0,0.0,NWL,NWL
2000-03-10,22.1875,22.4375,21.125,21.5,9.017395973205566,1619300,0.0,0.0,NWL,NWL
