Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,49.125,49.875,47.75,48.0,34.74330520629883,560200,0.0,0.0,NYT,NYT
2000-01-04,47.25,47.8125,45.9375,46.0,33.29567337036133,601300,0.0,0.0,NYT,NYT
2000-01-05,45.625,46.625,44.625,45.125,32.66232681274414,708800,0.0,0.0,NYT,NYT
2000-01-06,44.875,45.25,44.375,44.6875,32.34565734863281,520200,0.0,0.0,NYT,NYT
2000-01-07,44.5625,46.0,44.125,45.75,33.114723205566406,608700,0.0,0.0,NYT,NYT
2000-01-10,46.25,48.25,46.25,48.0625,34.78854751586914,751500,0.0,0.0,NYT,NYT
2000-01-11,47.875,48.375,46.625,46.6875,33.79327392578125,475700,0.0,0.0,NYT,NYT
2000-01-12,46.75,46.75,45.75,46.5,33.65757751464844,661000,0.0,0.0,NYT,NYT
2000-01-13,46.375,48.0,46.375,47.9375,34.698055267333984,444300,0.0,0.0,NYT,NYT
2000-01-14,46.875,47.3125,46.3125,46.8125,33.88378143310547,901400,0.0,0.0,NYT,NYT
2000-01-18,46.125,46.125,45.3125,45.5625,32.979007720947266,906500,0.0,0.0,NYT,NYT
2000-01-19,45.25,45.375,44.0625,44.8125,32.436134338378906,915900,0.0,0.0,NYT,NYT
2000-01-20,45.25,46.25,45.0,45.625,33.02423477172852,999300,0.0,0.0,NYT,NYT
2000-01-21,46.5,47.5,46.5,46.625,33.74806213378906,955300,0.0,0.0,NYT,NYT
2000-01-24,46.375,46.5625,44.125,44.8125,32.436134338378906,737900,0.0,0.0,NYT,NYT
2000-01-25,44.25,45.25,43.9375,45.25,32.75279998779297,539800,0.0,0.0,NYT,NYT
2000-01-26,45.5625,47.1875,45.25,46.625,33.74806213378906,749500,0.0,0.0,NYT,NYT
2000-01-27,47.25,47.25,45.8125,47.0,34.019500732421875,699100,0.0,0.0,NYT,NYT
2000-01-28,46.5,46.875,45.875,46.3125,33.5218620300293,511700,0.0,0.0,NYT,NYT
2000-01-31,46.375,46.375,44.625,45.6875,33.0694694519043,924500,0.0,0.0,NYT,NYT
2000-02-01,45.1875,46.5,44.625,46.375,33.56709671020508,447600,0.0,0.0,NYT,NYT
2000-02-02,45.9375,46.875,45.375,45.875,33.2051887512207,567400,0.0,0.0,NYT,NYT
2000-02-03,46.125,48.5,46.0,47.625,34.47187042236328,742200,0.0,0.0,NYT,NYT
2000-02-04,47.4375,48.375,47.0625,48.3125,34.9694938659668,611500,0.0,0.0,NYT,NYT
2000-02-07,47.875,47.9375,45.1875,46.25,33.47662734985352,363800,0.0,0.0,NYT,NYT
2000-02-08,46.875,48.375,46.875,48.25,34.924251556396484,404700,0.0,0.0,NYT,NYT
2000-02-09,48.25,48.3125,47.3125,47.5,34.38139343261719,400300,0.0,0.0,NYT,NYT
2000-02-10,47.4375,47.5,46.0,47.0625,34.064727783203125,624500,0.0,0.0,NYT,NYT
2000-02-11,47.125,48.375,47.125,47.625,34.47187042236328,669600,0.0,0.0,NYT,NYT
2000-02-14,47.5,48.0,47.1875,47.5625,34.42662811279297,688200,0.0,0.0,NYT,NYT
2000-02-15,47.5,47.5,46.1875,47.0,34.019500732421875,912500,0.0,0.0,NYT,NYT
2000-02-16,47.0,47.0,45.75,45.9375,33.25041961669922,628900,0.0,0.0,NYT,NYT
2000-02-17,45.6875,46.375,44.9375,44.9375,32.52659606933594,512700,0.0,0.0,NYT,NYT
2000-02-18,44.6875,45.3125,43.5,43.875,31.757539749145508,695700,0.0,0.0,NYT,NYT
2000-02-22,43.625,44.25,42.25,42.6875,30.89801597595215,714900,0.0,0.0,NYT,NYT
2000-02-23,43.0625,43.25,42.3125,42.3125,30.62659072875977,662900,0.0,0.0,NYT,NYT
2000-02-24,42.375,42.375,39.3125,39.5625,28.63609313964844,994000,0.0,0.0,NYT,NYT
2000-02-25,39.5,39.8125,38.625,39.6875,28.72655868530273,1013800,0.0,0.0,NYT,NYT
2000-02-28,39.5625,41.75,38.6875,41.5625,30.163524627685547,850500,0.105,0.0,NYT,NYT
2000-02-29,41.625,43.5,41.25,42.25,30.662471771240234,1401500,0.0,0.0,NYT,NYT
2000-03-01,42.5,43.0,41.9375,43.0,31.20677375793457,892100,0.0,0.0,NYT,NYT
2000-03-02,42.625,42.75,42.0,42.3125,30.70783424377441,551900,0.0,0.0,NYT,NYT
2000-03-03,42.375,42.75,41.9375,42.4375,30.79855155944824,444400,0.0,0.0,NYT,NYT
2000-03-06,42.4375,43.0,41.5,41.5,30.118162155151367,609800,0.0,0.0,NYT,NYT
2000-03-07,41.0,41.4375,40.125,40.75,29.57386589050293,1031200,0.0,0.0,NYT,NYT
2000-03-08,41.625,42.5,40.4375,41.5625,30.163524627685547,651200,0.0,0.0,NYT,NYT
2000-03-09,41.4375,43.5,41.375,43.125,31.297473907470703,580100,0.0,0.0,NYT,NYT
2000-03-10,43.5625,43.5625,41.6875,41.6875,30.254228591918945,266400,0.0,0.0,NYT,NYT
2000-03-13,41.6875,43.3125,40.875,41.125,29.846006393432617,638800,0.0,0.0,NYT,NYT
2000-03-14,41.125,42.25,40.5625,41.609375,30.197555541992188,480000,0.0,0.0,NYT,NYT
2000-03-15,41.9375,43.375,41.1875,42.484375,30.83257484436035,739000,0.0,0.0,NYT,NYT
2000-03-16,42.625,45.875,41.5625,45.0,32.65826416015625,1135900,0.0,0.0,NYT,NYT
2000-03-17,43.5,44.4375,43.0,43.3125,31.43355941772461,601700,0.0,0.0,NYT,NYT
2000-03-20,44.0,44.5625,43.25,43.875,31.84178352355957,455500,0.0,0.0,NYT,NYT
2000-03-21,43.875,44.8125,43.875,44.5,32.295387268066406,713500,0.0,0.0,NYT,NYT
2000-03-22,44.5,44.625,43.875,44.4375,32.250022888183594,701700,0.0,0.0,NYT,NYT
2000-03-23,44.25,45.5,44.1875,45.5,33.02110290527344,510400,0.0,0.0,NYT,NYT
2000-03-24,45.375,46.0,44.375,45.0,32.65826416015625,881000,0.0,0.0,NYT,NYT
2000-03-27,45.0625,45.1875,43.5625,44.125,32.023216247558594,663000,0.0,0.0,NYT,NYT
2000-03-28,43.75,44.4375,43.5,44.0,31.93251037597656,512100,0.0,0.0,NYT,NYT
2000-03-29,43.875,44.25,43.125,43.1875,31.342851638793945,440000,0.0,0.0,NYT,NYT
2000-03-30,43.4375,43.4375,42.625,42.625,30.934614181518555,700000,0.0,0.0,NYT,NYT
2000-03-31,42.4375,43.25,42.125,42.9375,31.161413192749023,620600,0.0,0.0,NYT,NYT
2000-04-03,42.9375,42.9375,41.8125,42.375,30.7531967163086,875100,0.0,0.0,NYT,NYT
2000-04-04,42.625,43.125,40.0,41.3125,29.98209571838379,985900,0.0,0.0,NYT,NYT
2000-04-05,41.0,42.75,40.125,41.875,30.390300750732425,597400,0.0,0.0,NYT,NYT
2000-04-06,42.0,42.6875,41.875,42.5,30.843900680541992,391700,0.0,0.0,NYT,NYT
2000-04-07,42.75,43.125,42.6875,42.8125,31.07069969177246,567200,0.0,0.0,NYT,NYT
2000-04-10,42.875,42.875,41.6875,42.0625,30.52640724182129,393300,0.0,0.0,NYT,NYT
2000-04-11,42.875,42.875,41.75,42.75,31.02533721923828,449200,0.0,0.0,NYT,NYT
2000-04-12,41.875,43.3125,41.875,42.875,31.11605262756348,652300,0.0,0.0,NYT,NYT
2000-04-13,43.625,43.9375,41.4375,41.4375,30.072811126708984,721800,0.0,0.0,NYT,NYT
