Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,99.625,100.0,87.0,89.65625,55.183555603027344,91334000,0.0,0.0,QCOM,QCOM
2000-01-04,86.28125,87.65625,80.0,81.03125,49.87485504150391,63567400,0.0,0.0,QCOM,QCOM
2000-01-05,79.9375,81.625,69.5,78.21875,48.14374542236328,93778400,0.0,0.0,QCOM,QCOM
2000-01-06,74.25,78.0,69.875,70.03125,43.104339599609375,58782600,0.0,0.0,QCOM,QCOM
2000-01-07,67.0,75.25,66.4609375,75.0,46.16263198852539,68198600,0.0,0.0,QCOM,QCOM
2000-01-10,81.0,81.5,76.25,79.6875,49.04778671264648,35360800,0.0,0.0,QCOM,QCOM
2000-01-11,78.0,78.9375,70.75,72.21875,44.45074844360352,30575800,0.0,0.0,QCOM,QCOM
2000-01-12,72.5,73.75,68.03125,69.125,42.54654693603516,34455600,0.0,0.0,QCOM,QCOM
2000-01-13,72.1875,72.8125,68.8125,71.5625,44.04682159423828,25146800,0.0,0.0,QCOM,QCOM
2000-01-14,73.8125,74.46875,69.75,70.21875,43.21976852416992,26209200,0.0,0.0,QCOM,QCOM
2000-01-18,68.71875,70.625,67.5,69.53125,42.79658889770508,28503000,0.0,0.0,QCOM,QCOM
2000-01-19,68.5625,73.5,68.5,73.3125,45.12394332885742,30728400,0.0,0.0,QCOM,QCOM
2000-01-20,74.625,78.0,73.5625,77.8125,47.89370346069336,39224000,0.0,0.0,QCOM,QCOM
2000-01-21,79.125,80.21875,75.5,77.46875,47.6821403503418,34955000,0.0,0.0,QCOM,QCOM
2000-01-24,77.875,78.5,69.8125,70.03125,43.104339599609375,32170600,0.0,0.0,QCOM,QCOM
2000-01-25,71.8125,74.96875,70.0,74.5,45.8548698425293,39671400,0.0,0.0,QCOM,QCOM
2000-01-26,64.5,65.4375,60.0,62.3125,38.35344314575195,136953200,0.0,0.0,QCOM,QCOM
2000-01-27,63.34375,64.0,58.6875,60.0,36.93009185791016,62571000,0.0,0.0,QCOM,QCOM
2000-01-28,60.53125,60.6875,52.8125,55.28125,34.02568817138672,85675000,0.0,0.0,QCOM,QCOM
2000-01-31,56.3125,63.75,56.09375,63.5,39.08436584472656,80518000,0.0,0.0,QCOM,QCOM
2000-02-01,65.75,70.0,65.4609375,68.03125,41.87333679199219,69648400,0.0,0.0,QCOM,QCOM
2000-02-02,68.4375,72.75,68.0,71.03125,43.719825744628906,57368200,0.0,0.0,QCOM,QCOM
2000-02-03,72.5625,74.0,66.0,69.59375,42.83506393432617,52571000,0.0,0.0,QCOM,QCOM
2000-02-04,70.9375,70.9375,67.5,68.71875,42.29649353027344,30028800,0.0,0.0,QCOM,QCOM
2000-02-07,67.21875,67.625,65.125,66.71875,41.06550216674805,20868400,0.0,0.0,QCOM,QCOM
2000-02-08,66.75,69.8125,66.71875,69.53125,42.79658889770508,21450800,0.0,0.0,QCOM,QCOM
2000-02-09,69.75,70.0,66.5,66.65625,41.02702713012695,20141200,0.0,0.0,QCOM,QCOM
2000-02-10,67.28125,68.5625,66.5,68.46875,42.14262008666992,15072200,0.0,0.0,QCOM,QCOM
2000-02-11,67.5390625,68.25,65.75,66.0,40.62309265136719,12419400,0.0,0.0,QCOM,QCOM
2000-02-14,64.6875,65.0,62.5,63.5625,39.12281036376953,23353600,0.0,0.0,QCOM,QCOM
2000-02-15,62.1796875,63.84375,60.03125,63.3125,38.96893310546875,30036000,0.0,0.0,QCOM,QCOM
2000-02-16,62.6875,65.75,60.5,60.9375,37.50714492797852,30052000,0.0,0.0,QCOM,QCOM
2000-02-17,62.5625,65.5,61.0,65.0,40.007598876953125,34971600,0.0,0.0,QCOM,QCOM
2000-02-18,66.0078125,69.375,65.875,67.25,41.39247512817383,42991600,0.0,0.0,QCOM,QCOM
2000-02-22,66.25,67.875,63.125,65.28125,40.18070602416992,24472000,0.0,0.0,QCOM,QCOM
2000-02-23,66.6875,73.75,65.375,73.4375,45.20088577270508,52349200,0.0,0.0,QCOM,QCOM
2000-02-24,68.4375,71.125,67.5,69.84375,42.988956451416016,51715400,0.0,0.0,QCOM,QCOM
2000-02-25,68.125,71.0,66.6875,66.78125,41.10395812988281,23405600,0.0,0.0,QCOM,QCOM
2000-02-28,68.75,73.75,68.75,71.625,44.08529281616211,36400800,0.0,0.0,QCOM,QCOM
2000-02-29,73.0,74.0,69.125,71.21875,43.83524703979492,31323400,0.0,0.0,QCOM,QCOM
2000-03-01,70.25,70.65625,68.265625,69.5,42.77737045288086,20865400,0.0,0.0,QCOM,QCOM
2000-03-02,69.4375,69.5625,66.0,66.09375,40.680809020996094,20560800,0.0,0.0,QCOM,QCOM
