Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,3.625,3.625,3.5,3.5625,2.6838436126708984,22000,0.0,0.0,RGLD,RGLD
2000-01-04,3.5,3.5,3.5,3.5,2.636758327484131,4100,0.0,0.0,RGLD,RGLD
2000-01-05,3.5625,3.625,3.5,3.5,2.636758327484131,42600,0.0,0.0,RGLD,RGLD
2000-01-06,3.5625,3.5625,3.4375,3.46875,2.613215208053589,45600,0.0,0.0,RGLD,RGLD
2000-01-07,3.546875,3.75,3.546875,3.75,2.8250977993011475,11500,0.0,0.0,RGLD,RGLD
2000-01-10,3.75,3.75,3.5625,3.5625,2.6838436126708984,3800,0.0,0.0,RGLD,RGLD
2000-01-11,3.65625,3.6875,3.625,3.625,2.730929136276245,7800,0.0,0.0,RGLD,RGLD
2000-01-12,3.6875,3.75,3.625,3.75,2.8250977993011475,15100,0.0,0.0,RGLD,RGLD
2000-01-13,3.75,3.9375,3.75,3.875,2.9192676544189453,21800,0.0,0.0,RGLD,RGLD
2000-01-14,3.8125,3.8125,3.375,3.4375,2.589672088623047,16200,0.0,0.0,RGLD,RGLD
2000-01-18,3.625,3.75,3.625,3.75,2.8250977993011475,8000,0.0,0.0,RGLD,RGLD
2000-01-19,3.625,3.875,3.625,3.875,2.9192676544189453,1700,0.0,0.0,RGLD,RGLD
2000-01-20,3.625,3.75,3.625,3.625,2.730929136276245,7800,0.0,0.0,RGLD,RGLD
2000-01-21,3.625,3.625,3.625,3.625,2.730929136276245,6800,0.0,0.0,RGLD,RGLD
2000-01-24,3.671875,3.75,3.5,3.75,2.8250977993011475,44700,0.0,0.0,RGLD,RGLD
2000-01-25,3.78125,3.78125,3.6875,3.75,2.8250977993011475,7900,0.0,0.0,RGLD,RGLD
2000-01-26,3.625,3.625,3.625,3.625,2.730929136276245,6600,0.0,0.0,RGLD,RGLD
2000-01-27,3.625,3.75,3.625,3.625,2.730929136276245,6400,0.0,0.0,RGLD,RGLD
2000-01-28,3.75,3.75,3.75,3.75,2.8250977993011475,4000,0.0,0.0,RGLD,RGLD
2000-01-31,3.75,4.0,3.6875,4.0,3.013436317443848,33500,0.0,0.0,RGLD,RGLD
2000-02-01,3.9375,3.9375,3.875,3.875,2.9192676544189453,1200,0.0,0.0,RGLD,RGLD
2000-02-02,4.0,4.0,3.875,3.9375,2.9663517475128174,4100,0.0,0.0,RGLD,RGLD
