Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,5.28125,5.28125,5.0625,5.109375,4.236162662506104,770400,0.0,0.0,RMD,RMD
2000-01-04,5.0625,5.125,5.046875,5.085937976837158,4.216732501983643,620800,0.0,0.0,RMD,RMD
2000-01-05,5.078125,5.109375,4.992187976837158,5.085937976837158,4.216732501983643,845600,0.0,0.0,RMD,RMD
2000-01-06,5.085937976837158,5.125,5.0625,5.09375,4.223209857940674,265600,0.0,0.0,RMD,RMD
2000-01-07,5.109375,5.148437976837158,5.09375,5.109375,4.236162662506104,1012800,0.0,0.0,RMD,RMD
2000-01-10,5.140625,5.171875,5.0625,5.171875,4.28798246383667,973600,0.0,0.0,RMD,RMD
2000-01-11,5.28125,5.375,5.171875,5.203125,4.313891410827637,300800,0.0,0.0,RMD,RMD
2000-01-12,5.21875,5.21875,5.0625,5.109375,4.236162662506104,419200,0.0,0.0,RMD,RMD
2000-01-13,5.109375,5.4375,5.109375,5.421875,4.495255947113037,1065600,0.0,0.0,RMD,RMD
2000-01-14,5.375,5.5,5.296875,5.304687976837158,4.398094654083252,999200,0.0,0.0,RMD,RMD
2000-01-18,5.375,5.609375,5.375,5.609375,4.650710105895996,903200,0.0,0.0,RMD,RMD
2000-01-19,5.625,5.742187976837158,5.625,5.734375,4.754344940185547,996800,0.0,0.0,RMD,RMD
2000-01-20,5.828125,6.046875,5.796875,6.046875,5.013440608978272,563200,0.0,0.0,RMD,RMD
2000-01-21,6.125,6.890625,6.125,6.8125,5.648218154907227,1504000,0.0,0.0,RMD,RMD
2000-01-24,6.8125,7.125,6.78125,6.859375,5.68708086013794,1003200,0.0,0.0,RMD,RMD
2000-01-25,6.875,6.875,6.171875,6.242187976837158,5.175373077392578,2020000,0.0,0.0,RMD,RMD
2000-01-26,6.257812976837158,6.257812976837158,5.828125,5.984375,4.96162223815918,1252000,0.0,0.0,RMD,RMD
2000-01-27,5.984375,5.984375,5.5,5.59375,4.637756824493408,848800,0.0,0.0,RMD,RMD
2000-01-28,5.59375,5.804687976837158,5.40625,5.5,4.560027122497559,2183200,0.0,0.0,RMD,RMD
2000-01-31,5.5,5.5,5.265625,5.375,4.456390380859375,964800,0.0,0.0,RMD,RMD
2000-02-01,5.34375,5.5625,5.3125,5.546875,4.598891735076904,1068800,0.0,0.0,RMD,RMD
2000-02-02,5.539062976837158,5.703125,5.3125,5.34375,4.430482864379883,312000,0.0,0.0,RMD,RMD
2000-02-03,6.234375,6.5,6.0,6.382812976837158,5.291965007781982,2494400,0.0,0.0,RMD,RMD
2000-02-04,6.5,6.96875,6.484375,6.820312976837158,5.654695510864258,2258400,0.0,0.0,RMD,RMD
2000-02-07,6.828125,7.46875,6.828125,6.9375,5.75185489654541,1303200,0.0,0.0,RMD,RMD
2000-02-08,6.9375,7.09375,6.71875,7.0,5.8036723136901855,1018400,0.0,0.0,RMD,RMD
2000-02-09,7.125,7.46875,7.125,7.320312976837158,6.069242477416992,1652000,0.0,0.0,RMD,RMD
2000-02-10,7.320312976837158,7.625,7.320312976837158,7.625,6.321859359741211,823200,0.0,0.0,RMD,RMD
2000-02-11,7.625,7.625,7.09375,7.1875,5.959128379821777,446400,0.0,0.0,RMD,RMD
2000-02-14,7.1875,7.25,7.1875,7.210937976837158,5.978560924530029,395200,0.0,0.0,RMD,RMD
2000-02-15,7.234375,7.234375,7.070312976837158,7.078125,5.868444919586182,536000,0.0,0.0,RMD,RMD
2000-02-16,7.109375,7.140625,7.0,7.070312976837158,5.861968040466309,235200,0.0,0.0,RMD,RMD
2000-02-17,7.140625,7.171875,7.0625,7.109375,5.894354820251465,860000,0.0,0.0,RMD,RMD
2000-02-18,7.109375,7.195312976837158,7.09375,7.15625,5.9332194328308105,677600,0.0,0.0,RMD,RMD
2000-02-22,7.234375,7.445312976837158,7.140625,7.421875,6.153446674346924,747200,0.0,0.0,RMD,RMD
2000-02-23,7.390625,7.5,7.265625,7.460937976837158,6.185835361480713,1535200,0.0,0.0,RMD,RMD
2000-02-24,7.546875,8.75,7.546875,8.578125,7.112091541290283,1708800,0.0,0.0,RMD,RMD
2000-02-25,8.625,9.125,8.296875,8.515625,7.060272693634033,2537600,0.0,0.0,RMD,RMD
2000-02-28,8.96875,9.273438453674316,8.84375,9.25,7.6691389083862305,1039200,0.0,0.0,RMD,RMD
2000-02-29,9.59375,9.59375,9.226563453674316,9.328125,7.733913421630859,2193600,0.0,0.0,RMD,RMD
2000-03-01,9.625,9.90625,9.5,9.882813453674316,8.19379997253418,1716000,0.0,0.0,RMD,RMD
2000-03-02,10.015625,10.046875,9.664063453674316,9.8125,8.135505676269531,1100000,0.0,0.0,RMD,RMD
2000-03-03,9.71875,9.84375,9.6875,9.703125,8.044824600219727,696800,0.0,0.0,RMD,RMD
2000-03-06,9.703125,9.867188453674316,9.625,9.867188453674316,8.1808500289917,707200,0.0,0.0,RMD,RMD
