Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,20.625,21.0,20.25,21.0,13.586904525756836,30000,0.0,0.0,RRX,RRX
2000-01-04,20.875,20.875,20.5,20.625,13.344286918640137,52400,0.0,0.0,RRX,RRX
2000-01-05,20.5,20.5625,20.25,20.5,13.263413429260254,123700,0.0,0.0,RRX,RRX
2000-01-06,20.5,20.5625,20.0,20.34375,13.162317276000977,55200,0.0,0.0,RRX,RRX
2000-01-07,20.125,20.375,20.0625,20.25,13.101659774780272,19800,0.0,0.0,RRX,RRX
2000-01-10,20.0,20.4375,19.75,20.4375,13.222972869873049,25800,0.0,0.0,RRX,RRX
2000-01-11,20.25,20.625,20.0625,20.4375,13.222972869873049,32500,0.0,0.0,RRX,RRX
2000-01-12,20.25,20.625,20.25,20.5625,13.30384635925293,15600,0.0,0.0,RRX,RRX
2000-01-13,20.5625,20.9375,20.5625,20.75,13.425162315368652,16800,0.0,0.0,RRX,RRX
2000-01-14,20.8125,20.875,20.625,20.625,13.344286918640137,15600,0.0,0.0,RRX,RRX
2000-01-18,20.5,20.625,20.25,20.625,13.344286918640137,36700,0.0,0.0,RRX,RRX
2000-01-19,20.4375,20.875,20.375,20.8125,13.465593338012695,15000,0.0,0.0,RRX,RRX
2000-01-20,20.75,21.625,20.625,21.5625,13.950839042663574,27400,0.0,0.0,RRX,RRX
2000-01-21,21.4375,21.4375,20.875,21.0,13.586904525756836,17800,0.0,0.0,RRX,RRX
2000-01-24,21.0,21.25,20.875,21.0,13.586904525756836,38800,0.0,0.0,RRX,RRX
2000-01-25,21.0,21.3125,21.0,21.125,13.667783737182615,39600,0.0,0.0,RRX,RRX
2000-01-26,21.125,21.125,20.5,20.75,13.425162315368652,11000,0.0,0.0,RRX,RRX
2000-01-27,20.75,20.75,20.0625,20.1875,13.06122875213623,14900,0.0,0.0,RRX,RRX
2000-01-28,20.1875,20.1875,19.625,19.8125,12.818604469299316,39300,0.0,0.0,RRX,RRX
2000-01-31,19.875,19.9375,19.375,19.875,12.859039306640623,53700,0.0,0.0,RRX,RRX
2000-02-01,19.75,21.25,19.75,21.0,13.586904525756836,37600,0.0,0.0,RRX,RRX
2000-02-02,21.125,21.125,20.0,20.1875,13.06122875213623,54400,0.0,0.0,RRX,RRX
2000-02-03,20.3125,20.5,20.25,20.3125,13.142097473144531,18500,0.0,0.0,RRX,RRX
2000-02-04,20.125,20.125,19.25,19.625,12.69728660583496,122100,0.0,0.0,RRX,RRX
2000-02-07,19.625,19.9375,19.5,19.75,12.778162956237791,56900,0.0,0.0,RRX,RRX
2000-02-08,19.75,20.0,19.625,19.625,12.69728660583496,45300,0.0,0.0,RRX,RRX
2000-02-09,19.625,19.875,19.5,19.75,12.778162956237791,34400,0.0,0.0,RRX,RRX
2000-02-10,19.5,19.875,19.5,19.875,12.859039306640623,56700,0.0,0.0,RRX,RRX
2000-02-11,19.8125,19.875,19.0625,19.375,12.535541534423828,36100,0.0,0.0,RRX,RRX
2000-02-14,19.75,19.8125,19.25,19.8125,12.818604469299316,43900,0.0,0.0,RRX,RRX
2000-02-15,20.0,20.125,19.25,19.3125,12.495110511779783,43700,0.0,0.0,RRX,RRX
2000-02-16,19.4375,19.5,18.6875,18.9375,12.252477645874023,19000,0.0,0.0,RRX,RRX
2000-02-17,19.125,19.625,18.875,19.25,12.454665184020996,72100,0.0,0.0,RRX,RRX
2000-02-18,19.0,19.0,18.25,18.875,12.21203899383545,79700,0.0,0.0,RRX,RRX
2000-02-22,19.375,19.375,18.125,18.3125,11.848108291625977,25100,0.0,0.0,RRX,RRX
2000-02-23,18.375,18.375,17.9375,17.9375,11.605480194091797,47000,0.0,0.0,RRX,RRX
