Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,21.173263549804688,21.405298233032227,20.709192276000977,20.999237060546875,6.197988986968994,348976,0.0,0.0,SPG,SPG
2000-01-04,20.94122886657715,21.0572452545166,20.303129196166992,20.767200469970703,6.129502773284912,360828,0.0,0.0,SPG,SPG
2000-01-05,20.41914749145508,20.999237060546875,20.41914749145508,20.94122886657715,6.180864810943604,246621,0.0,0.0,SPG,SPG
2000-01-06,20.999237060546875,21.463308334350582,20.88321876525879,21.463308334350582,6.334958076477051,218609,0.0,0.0,SPG,SPG
2000-01-07,21.405298233032227,22.44945907592773,21.3472900390625,22.391450881958008,6.608902931213379,309543,0.0,0.0,SPG,SPG
2000-01-10,22.507469177246094,22.62348747253418,21.985389709472656,22.62348747253418,6.6773858070373535,324950,0.0,0.0,SPG,SPG
2000-01-11,22.85552215576172,22.971540451049805,22.44945907592773,22.56547737121582,6.660266399383545,383238,0.0,0.0,SPG,SPG
2000-01-12,22.33344268798828,22.56547737121582,22.217424392700195,22.56547737121582,6.660266399383545,420302,0.0,0.0,SPG,SPG
2000-01-13,22.391450881958008,22.56547737121582,22.217424392700195,22.56547737121582,6.660266399383545,328290,0.0,0.0,SPG,SPG
2000-01-14,22.56547737121582,22.91353225708008,22.507469177246094,22.91353225708008,6.762993335723877,411359,0.0,0.0,SPG,SPG
2000-01-18,22.91353225708008,23.14556884765625,22.739505767822266,23.029550552368164,6.797239780426025,400908,0.0,0.0,SPG,SPG
2000-01-19,22.971540451049805,23.203577041625977,22.91353225708008,23.14556884765625,6.831485271453857,250931,0.0,0.0,SPG,SPG
2000-01-20,23.203577041625977,23.261585235595703,23.029550552368164,23.261585235595703,6.865726470947266,176266,0.0,0.0,SPG,SPG
2000-01-21,23.14556884765625,23.5516300201416,23.14556884765625,23.5516300201416,6.9513373374938965,356411,0.0,0.0,SPG,SPG
2000-01-24,23.43561172485352,23.667648315429688,23.14556884765625,23.31959342956543,6.882845878601074,231645,0.0,0.0,SPG,SPG
2000-01-25,23.31959342956543,23.43561172485352,23.029550552368164,23.08755874633789,6.814361095428467,299307,0.0,0.0,SPG,SPG
2000-01-26,23.029550552368164,23.14556884765625,22.971540451049805,23.14556884765625,6.831485271453857,192535,0.0,0.0,SPG,SPG
2000-01-27,23.261585235595703,23.31959342956543,23.08755874633789,23.261585235595703,6.865726470947266,253517,0.0,0.0,SPG,SPG
2000-01-28,23.261585235595703,23.261585235595703,23.029550552368164,23.14556884765625,6.831485271453857,119701,0.0,0.0,SPG,SPG
2000-01-31,23.203577041625977,23.261585235595703,22.85552215576172,22.91353225708008,6.762993335723877,139418,0.0,0.0,SPG,SPG
2000-02-01,23.029550552368164,23.203577041625977,22.85552215576172,23.029550552368164,6.797239780426025,382915,0.0,0.0,SPG,SPG
2000-02-02,22.507469177246094,22.681495666503903,22.33344268798828,22.507469177246094,6.781160831451416,435170,0.468712,0.0,SPG,SPG
2000-02-03,22.62348747253418,22.85552215576172,22.27543258666992,22.85552215576172,6.886023044586182,503909,0.0,0.0,SPG,SPG
2000-02-04,22.797513961791992,23.029550552368164,22.739505767822266,22.971540451049805,6.920977115631104,367293,0.0,0.0,SPG,SPG
2000-02-07,22.971540451049805,23.029550552368164,22.739505767822266,22.85552215576172,6.886023044586182,263752,0.0,0.0,SPG,SPG
2000-02-08,22.681495666503903,22.91353225708008,22.391450881958008,22.62348747253418,6.816112518310547,458335,0.0,0.0,SPG,SPG
2000-02-09,22.56547737121582,22.681495666503903,22.33344268798828,22.56547737121582,6.798637866973877,292089,0.0,0.0,SPG,SPG
2000-02-10,22.739505767822266,23.14556884765625,22.33344268798828,22.44945907592773,6.763683319091797,195013,0.0,0.0,SPG,SPG
2000-02-11,22.33344268798828,22.44945907592773,22.15941619873047,22.217424392700195,6.693777561187744,260736,0.0,0.0,SPG,SPG
2000-02-14,22.15941619873047,22.15941619873047,21.69534492492676,21.86937141418457,6.5889105796813965,242635,0.0,0.0,SPG,SPG
2000-02-15,21.81136131286621,21.81136131286621,21.579326629638672,21.6373348236084,6.519003868103027,322795,0.0,0.0,SPG,SPG
2000-02-16,21.405298233032227,21.69534492492676,21.231273651123047,21.405298233032227,6.449093341827393,312452,0.0,0.0,SPG,SPG
2000-02-17,21.463308334350582,21.69534492492676,21.3472900390625,21.579326629638672,6.50152587890625,329906,0.0,0.0,SPG,SPG
2000-02-18,21.579326629638672,21.69534492492676,21.3472900390625,21.405298233032227,6.449093341827393,177774,0.0,0.0,SPG,SPG
2000-02-22,21.69534492492676,21.81136131286621,21.3472900390625,21.3472900390625,6.431617259979248,260736,0.0,0.0,SPG,SPG
2000-02-23,21.405298233032227,21.69534492492676,21.173263549804688,21.521316528320312,6.484044551849365,259874,0.0,0.0,SPG,SPG
2000-02-24,21.753353118896484,21.753353118896484,21.3472900390625,21.521316528320312,6.484044551849365,101924,0.0,0.0,SPG,SPG
2000-02-25,21.69534492492676,21.753353118896484,21.521316528320312,21.753353118896484,6.553956985473633,190811,0.0,0.0,SPG,SPG
2000-02-28,21.81136131286621,21.927379608154297,21.6373348236084,21.81136131286621,6.571433544158936,306311,0.0,0.0,SPG,SPG
2000-02-29,21.6373348236084,21.81136131286621,21.579326629638672,21.69534492492676,6.536478042602539,377636,0.0,0.0,SPG,SPG
2000-03-01,21.753353118896484,21.81136131286621,21.6373348236084,21.69534492492676,6.536478042602539,194905,0.0,0.0,SPG,SPG
2000-03-02,21.463308334350582,21.69534492492676,21.463308334350582,21.6373348236084,6.519003868103027,128105,0.0,0.0,SPG,SPG
2000-03-03,21.6373348236084,21.927379608154297,21.6373348236084,21.81136131286621,6.571433544158936,130368,0.0,0.0,SPG,SPG
2000-03-06,21.579326629638672,21.86937141418457,21.579326629638672,21.753353118896484,6.553956985473633,127998,0.0,0.0,SPG,SPG
2000-03-07,21.69534492492676,21.81136131286621,21.231273651123047,21.463308334350582,6.466567993164063,241881,0.0,0.0,SPG,SPG
2000-03-08,21.69534492492676,21.81136131286621,21.11525535583496,21.521316528320312,6.484044551849365,115284,0.0,0.0,SPG,SPG
2000-03-09,21.289281845092773,21.579326629638672,20.999237060546875,21.289281845092773,6.414140701293945,289503,0.0,0.0,SPG,SPG
