Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,8.625,8.78125,8.4375,8.65625,3.5685746669769287,1024800,0.0,0.0,SRE,SRE
2000-01-04,8.625,8.875,8.625,8.75,3.607222318649292,1462200,0.0,0.0,SRE,SRE
2000-01-05,8.875,9.09375,8.84375,8.9375,3.684519290924072,2963400,0.0,0.0,SRE,SRE
2000-01-06,9.0,9.25,8.875,9.1875,3.787582874298096,854600,0.0,0.0,SRE,SRE
2000-01-07,9.21875,9.25,8.9375,9.0,3.7102866172790527,920000,0.0,0.0,SRE,SRE
2000-01-10,9.0625,9.09375,8.875,8.90625,3.671637296676636,855400,0.0,0.0,SRE,SRE
2000-01-11,8.53125,8.53125,8.125,8.4375,3.478391170501709,3798000,0.0,0.0,SRE,SRE
2000-01-12,8.40625,8.8125,8.375,8.8125,3.632989168167114,1728400,0.0,0.0,SRE,SRE
2000-01-13,8.71875,8.84375,8.59375,8.75,3.607222318649292,874800,0.0,0.0,SRE,SRE
2000-01-14,8.6875,8.71875,8.4375,8.71875,3.5943403244018555,1452000,0.0,0.0,SRE,SRE
2000-01-18,8.65625,8.71875,8.53125,8.65625,3.5685746669769287,1398000,0.0,0.0,SRE,SRE
2000-01-19,8.6875,8.6875,8.5,8.625,3.555690288543701,4103000,0.0,0.0,SRE,SRE
2000-01-20,8.53125,8.59375,8.53125,8.59375,3.542807102203369,1091800,0.0,0.0,SRE,SRE
2000-01-21,8.59375,8.71875,8.5,8.71875,3.5943403244018555,1649000,0.0,0.0,SRE,SRE
2000-01-24,8.59375,8.6875,8.5625,8.59375,3.542807102203369,1118800,0.0,0.0,SRE,SRE
2000-01-25,8.5625,8.71875,8.46875,8.625,3.555690288543701,1140400,0.0,0.0,SRE,SRE
2000-01-26,9.40625,9.5625,9.0,9.3125,3.839115619659424,9202200,0.0,0.0,SRE,SRE
2000-01-27,9.25,9.25,9.03125,9.15625,3.7747020721435542,2469200,0.0,0.0,SRE,SRE
2000-01-28,9.125,9.15625,8.96875,9.0625,3.736051082611084,1798200,0.0,0.0,SRE,SRE
2000-01-31,9.0625,9.34375,9.03125,9.28125,3.82623028755188,1273400,0.0,0.0,SRE,SRE
2000-02-01,9.21875,9.34375,9.21875,9.34375,3.85199785232544,968800,0.0,0.0,SRE,SRE
2000-02-02,9.28125,9.5,9.28125,9.375,3.8648791313171382,1315400,0.0,0.0,SRE,SRE
2000-02-03,9.4375,9.625,9.40625,9.5,3.916411638259888,1677200,0.0,0.0,SRE,SRE
2000-02-04,9.5,9.53125,9.4375,9.5,3.916411638259888,1912200,0.0,0.0,SRE,SRE
2000-02-07,9.5,9.59375,9.46875,9.53125,3.9292964935302734,1934600,0.0,0.0,SRE,SRE
2000-02-08,9.5,9.5625,9.5,9.53125,3.9292964935302734,1772400,0.0,0.0,SRE,SRE
2000-02-09,9.53125,9.59375,9.375,9.375,3.8648791313171382,1681200,0.0,0.0,SRE,SRE
2000-02-10,9.4375,9.5,9.3125,9.375,3.8648791313171382,2027000,0.0,0.0,SRE,SRE
2000-02-11,9.375,9.4375,9.3125,9.40625,3.877763748168945,1072000,0.0,0.0,SRE,SRE
2000-02-14,9.40625,9.5,9.375,9.40625,3.877763748168945,4459400,0.0,0.0,SRE,SRE
2000-02-15,9.40625,9.46875,9.375,9.4375,3.890648365020752,1369800,0.0,0.0,SRE,SRE
2000-02-16,9.40625,9.5,9.40625,9.46875,3.903532028198242,2387200,0.0,0.0,SRE,SRE
2000-02-17,9.46875,9.53125,9.375,9.375,3.8648791313171382,2765000,0.0,0.0,SRE,SRE
2000-02-18,9.375,9.46875,9.3125,9.367188453674316,3.861659526824951,2007200,0.0,0.0,SRE,SRE
2000-02-22,9.3125,9.375,9.25,9.28125,3.82623028755188,2422600,0.0,0.0,SRE,SRE
