Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,27.125,27.1875,25.625,25.8125,9.757372856140137,571300,0.0,0.0,TFC,TFC
2000-01-04,25.8125,25.875,24.75,25.0625,9.473868370056152,766700,0.0,0.0,TFC,TFC
2000-01-05,25.125,25.6875,24.9375,25.375,9.591997146606444,620200,0.0,0.0,TFC,TFC
2000-01-06,25.4375,26.6875,25.3125,26.5625,10.040884971618652,691500,0.0,0.0,TFC,TFC
2000-01-07,27.25,27.25,26.4375,26.75,10.111757278442385,579500,0.0,0.0,TFC,TFC
2000-01-10,26.875,27.0,25.6875,26.0625,9.85187530517578,477600,0.0,0.0,TFC,TFC
2000-01-11,25.8125,25.9375,25.25,25.375,9.591997146606444,319700,0.0,0.0,TFC,TFC
2000-01-12,25.5,26.375,25.4375,26.0,9.906336784362791,515300,0.2,0.0,TFC,TFC
2000-01-13,26.5625,28.625,26.5625,28.125,10.715987205505373,1989500,0.0,0.0,TFC,TFC
2000-01-14,28.25,29.25,28.25,29.1875,11.120816230773926,1026700,0.0,0.0,TFC,TFC
2000-01-18,29.0,29.0,27.6875,27.875,10.620732307434082,1078700,0.0,0.0,TFC,TFC
2000-01-19,28.375,28.5,27.3125,27.5,10.477848052978516,573600,0.0,0.0,TFC,TFC
2000-01-20,27.5,27.625,26.375,26.5,10.096837997436523,431300,0.0,0.0,TFC,TFC
2000-01-21,27.1875,27.1875,26.4375,26.75,10.192091941833496,502800,0.0,0.0,TFC,TFC
2000-01-24,26.75,26.75,25.75,26.0,9.906336784362791,407500,0.0,0.0,TFC,TFC
2000-01-25,25.875,26.4375,25.625,26.0,9.906336784362791,456600,0.0,0.0,TFC,TFC
2000-01-26,26.0625,27.625,25.9375,27.625,10.525479316711426,695100,0.0,0.0,TFC,TFC
2000-01-27,28.5,28.6875,27.625,28.0,10.668360710144045,667200,0.0,0.0,TFC,TFC
2000-01-28,27.75,27.75,26.875,27.625,10.525479316711426,684300,0.0,0.0,TFC,TFC
2000-01-31,27.375,28.125,27.0,28.125,10.715987205505373,831700,0.0,0.0,TFC,TFC
2000-02-01,28.125,28.75,27.625,28.5,10.858860969543455,635100,0.0,0.0,TFC,TFC
2000-02-02,29.125,29.125,28.0,28.1875,10.73979949951172,614000,0.0,0.0,TFC,TFC
2000-02-03,28.125,28.625,27.8125,28.5,10.858860969543455,819600,0.0,0.0,TFC,TFC
2000-02-04,28.4375,28.4375,27.375,27.5,10.477848052978516,394100,0.0,0.0,TFC,TFC
2000-02-07,25.0625,26.25,25.0625,26.25,10.00158405303955,2087800,0.0,0.0,TFC,TFC
2000-02-08,26.1875,26.375,25.9375,26.0625,9.93014144897461,970000,0.0,0.0,TFC,TFC
2000-02-09,26.1875,26.1875,25.6875,25.9375,9.882519721984863,1075600,0.0,0.0,TFC,TFC
2000-02-10,25.75,25.9375,25.0,25.25,9.62056827545166,376800,0.0,0.0,TFC,TFC
2000-02-11,25.25,25.875,25.0,25.375,9.668200492858888,603600,0.0,0.0,TFC,TFC
2000-02-14,25.4375,25.5,24.6875,25.0,9.525318145751951,680400,0.0,0.0,TFC,TFC
2000-02-15,25.0,25.875,24.8125,25.75,9.811077117919922,779500,0.0,0.0,TFC,TFC
2000-02-16,25.625,25.75,24.9375,25.0,9.525318145751951,491500,0.0,0.0,TFC,TFC
2000-02-17,25.0,25.125,23.6875,24.0625,9.16811752319336,642800,0.0,0.0,TFC,TFC
2000-02-18,24.125,24.25,23.375,23.5625,8.977616310119629,655500,0.0,0.0,TFC,TFC
2000-02-22,23.75,24.125,23.375,23.9375,9.120490074157717,422700,0.0,0.0,TFC,TFC
2000-02-23,23.9375,23.9375,23.0625,23.0625,8.787104606628418,430000,0.0,0.0,TFC,TFC
2000-02-24,23.1875,23.375,22.0625,22.625,8.620413780212402,794900,0.0,0.0,TFC,TFC
2000-02-25,23.125,23.25,22.5,22.6875,8.644227981567383,505000,0.0,0.0,TFC,TFC
2000-02-28,22.8125,23.625,22.6875,23.3125,8.882366180419922,509100,0.0,0.0,TFC,TFC
2000-02-29,23.0625,23.5,22.5625,23.5,8.953800201416016,574800,0.0,0.0,TFC,TFC
2000-03-01,23.4375,23.5,22.625,23.125,8.810916900634766,432100,0.0,0.0,TFC,TFC
2000-03-02,22.9375,23.0,22.375,23.0,8.763294219970703,549600,0.0,0.0,TFC,TFC
2000-03-03,22.5,23.5625,22.5,23.375,8.906171798706055,564500,0.0,0.0,TFC,TFC
2000-03-06,23.25,23.25,22.1875,22.625,8.620413780212402,471200,0.0,0.0,TFC,TFC
2000-03-07,22.75,22.75,22.0,22.0,8.382282257080078,491700,0.0,0.0,TFC,TFC
2000-03-08,21.75,22.3125,21.6875,22.125,8.429906845092773,455000,0.0,0.0,TFC,TFC
2000-03-09,22.125,22.9375,22.0,22.9375,8.739483833312988,519400,0.0,0.0,TFC,TFC
2000-03-10,22.9375,22.9375,22.3125,22.5625,8.596601486206055,470100,0.0,0.0,TFC,TFC
2000-03-13,22.0,22.875,22.0,22.875,8.715670585632324,460300,0.0,0.0,TFC,TFC
2000-03-14,22.625,22.625,21.6875,22.375,8.525162696838379,457300,0.0,0.0,TFC,TFC
2000-03-15,22.125,25.0,21.9375,24.8125,9.45387840270996,1193500,0.0,0.0,TFC,TFC
2000-03-16,24.75,27.3125,24.4375,27.3125,10.406413078308104,1192300,0.0,0.0,TFC,TFC
2000-03-17,27.5625,27.5625,25.8125,26.75,10.192091941833496,1020300,0.0,0.0,TFC,TFC
2000-03-20,26.5625,26.6875,25.0,26.125,9.953959465026855,1024800,0.0,0.0,TFC,TFC
2000-03-21,26.0,27.625,26.0,27.625,10.525479316711426,1026300,0.0,0.0,TFC,TFC
2000-03-22,27.5,27.875,27.125,27.75,10.573097229003906,441800,0.0,0.0,TFC,TFC
2000-03-23,27.5,28.625,27.1875,28.625,10.906495094299316,612000,0.0,0.0,TFC,TFC
2000-03-24,28.25,28.8125,27.625,28.375,10.811240196228027,661500,0.0,0.0,TFC,TFC
2000-03-27,27.875,27.9375,27.0,27.5,10.477848052978516,394400,0.0,0.0,TFC,TFC
2000-03-28,27.375,28.0,27.1875,27.5625,10.50166130065918,397600,0.0,0.0,TFC,TFC
2000-03-29,28.75,28.75,27.6875,28.1875,10.73979949951172,461700,0.0,0.0,TFC,TFC
2000-03-30,27.6875,27.9375,27.125,27.3125,10.406413078308104,393200,0.0,0.0,TFC,TFC
2000-03-31,26.75,28.0625,26.6875,28.0625,10.692167282104492,598600,0.0,0.0,TFC,TFC
2000-04-03,27.875,29.375,27.875,29.3125,11.168437004089355,561500,0.0,0.0,TFC,TFC
2000-04-04,29.625,30.0,28.5,29.6875,11.311320304870604,1073400,0.0,0.0,TFC,TFC
2000-04-05,29.375,29.625,28.8125,28.9375,11.025555610656738,341900,0.0,0.0,TFC,TFC
2000-04-06,29.5,29.5,28.125,28.75,10.95411491394043,293800,0.0,0.0,TFC,TFC
2000-04-07,28.375,28.5625,27.875,27.875,10.620732307434082,296300,0.0,0.0,TFC,TFC
2000-04-10,27.75,28.375,27.125,28.1875,10.73979949951172,389700,0.0,0.0,TFC,TFC
2000-04-11,28.4375,28.4375,27.75,28.0,10.668360710144045,333800,0.0,0.0,TFC,TFC
2000-04-12,28.0,29.875,28.0,28.6875,11.00894260406494,643200,0.2,0.0,TFC,TFC
2000-04-13,27.75,28.5,27.75,27.9375,10.721123695373535,371300,0.0,0.0,TFC,TFC
2000-04-14,27.375,27.4375,25.75,26.0625,10.00158405303955,679000,0.0,0.0,TFC,TFC
2000-04-17,25.9375,26.75,25.875,26.625,10.217449188232422,590600,0.0,0.0,TFC,TFC
2000-04-18,26.125,26.9375,26.0,26.875,10.313383102416992,427400,0.0,0.0,TFC,TFC
2000-04-19,27.125,27.125,25.8125,26.25,10.07353687286377,283400,0.0,0.0,TFC,TFC
2000-04-20,26.375,26.6875,25.75,26.4375,10.145495414733888,659400,0.0,0.0,TFC,TFC
2000-04-24,26.4375,27.4375,26.0625,26.9375,10.337364196777344,325100,0.0,0.0,TFC,TFC
2000-04-25,26.6875,28.375,26.6875,28.0625,10.76909351348877,530400,0.0,0.0,TFC,TFC
