Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,18.53125,18.625,17.3125,17.5625,8.649468421936035,748800,0.0,0.0,TROW,TROW
2000-01-04,17.34375,17.5625,17.0,17.03125,8.387833595275879,1076200,0.0,0.0,TROW,TROW
2000-01-05,16.875,17.46875,16.59375,17.0,8.372442245483398,1050400,0.0,0.0,TROW,TROW
2000-01-06,16.96875,17.5,16.6875,17.5,8.618690490722656,478200,0.0,0.0,TROW,TROW
2000-01-07,17.609375,17.75,17.25,17.375,8.557127952575684,466200,0.0,0.0,TROW,TROW
2000-01-10,17.65625,17.875,17.4375,17.5625,8.649468421936035,407600,0.0,0.0,TROW,TROW
2000-01-11,17.5,17.78125,17.28125,17.5,8.618690490722656,402400,0.0,0.0,TROW,TROW
2000-01-12,17.78125,18.25,17.59375,18.25,8.988059043884277,717200,0.0,0.0,TROW,TROW
2000-01-13,18.3125,19.84375,18.296875,19.25,9.480557441711426,1763400,0.0,0.0,TROW,TROW
2000-01-14,19.375,19.5625,19.1875,19.53125,9.619070053100586,1019200,0.0,0.0,TROW,TROW
2000-01-18,19.40625,19.4375,18.59375,18.78125,9.24970245361328,673600,0.0,0.0,TROW,TROW
2000-01-19,18.84375,19.625,18.8125,19.0625,9.38821506500244,371800,0.0,0.0,TROW,TROW
2000-01-20,19.28125,19.3125,18.875,19.0625,9.38821506500244,379800,0.0,0.0,TROW,TROW
2000-01-21,19.4375,20.09375,19.1875,19.96875,9.834539413452148,1067200,0.0,0.0,TROW,TROW
2000-01-24,20.0625,20.9375,19.625,19.75,9.726800918579102,1131000,0.0,0.0,TROW,TROW
2000-01-25,19.71875,21.25,19.25,21.1875,10.434767723083496,1019800,0.0,0.0,TROW,TROW
2000-01-26,21.1875,21.3125,19.8125,21.0,10.34242820739746,984000,0.0,0.0,TROW,TROW
2000-01-27,20.9375,21.4375,19.59375,19.625,9.665245056152344,1275600,0.0,0.0,TROW,TROW
2000-01-28,19.6875,19.6875,18.1875,18.25,8.988059043884277,1215800,0.0,0.0,TROW,TROW
2000-01-31,18.125,19.4375,17.9375,19.4375,9.572901725769045,851600,0.0,0.0,TROW,TROW
2000-02-01,19.3125,19.65625,18.6875,19.5625,9.634462356567385,807200,0.0,0.0,TROW,TROW
2000-02-02,19.5625,19.875,19.0,19.8125,9.757591247558594,1163000,0.0,0.0,TROW,TROW
2000-02-03,20.0,20.0625,18.75,19.21875,9.465164184570312,1115800,0.0,0.0,TROW,TROW
2000-02-04,19.375,19.375,18.40625,18.5625,9.141966819763184,577600,0.0,0.0,TROW,TROW
2000-02-07,19.40625,19.40625,18.28125,18.34375,9.034235000610352,576400,0.0,0.0,TROW,TROW
2000-02-08,18.59375,18.625,18.25,18.34375,9.034235000610352,549600,0.0,0.0,TROW,TROW
2000-02-09,18.34375,18.75,17.8125,17.96875,8.849547386169434,597400,0.0,0.0,TROW,TROW
2000-02-10,18.0,18.4375,17.75,17.84375,8.787986755371094,464200,0.0,0.0,TROW,TROW
2000-02-11,17.8125,18.0,17.5,17.546875,8.641777038574219,425800,0.0,0.0,TROW,TROW
2000-02-14,17.671875,17.71875,16.59375,16.84375,8.295485496520996,1000000,0.0,0.0,TROW,TROW
