Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,33.25,33.25,32.625,33.0,17.324270248413086,336400,0.0,0.0,TRV,TRV
2000-01-04,32.5,33.0,32.1875,32.5625,17.094593048095703,494400,0.0,0.0,TRV,TRV
2000-01-05,32.5625,33.3125,32.25,32.3125,16.963354110717773,736000,0.0,0.0,TRV,TRV
2000-01-06,32.3125,33.375,31.8125,32.9375,17.291458129882812,660400,0.0,0.0,TRV,TRV
2000-01-07,33.4375,34.75,33.3125,34.25,17.980497360229492,594700,0.0,0.0,TRV,TRV
2000-01-10,34.75,34.75,33.125,33.625,17.652385711669922,389900,0.0,0.0,TRV,TRV
2000-01-11,33.375,33.75,32.875,33.25,17.455522537231445,812900,0.0,0.0,TRV,TRV
2000-01-12,33.0,33.625,32.75,33.3125,17.48833465576172,561500,0.0,0.0,TRV,TRV
2000-01-13,33.3125,34.1875,33.3125,34.0,17.849252700805664,589600,0.0,0.0,TRV,TRV
2000-01-14,33.9375,34.6875,33.625,34.0,17.849252700805664,599300,0.0,0.0,TRV,TRV
2000-01-18,33.75,33.75,32.5,32.75,17.193035125732422,945900,0.0,0.0,TRV,TRV
2000-01-19,32.5,33.25,32.375,32.8125,17.225845336914062,988100,0.0,0.0,TRV,TRV
2000-01-20,32.75,32.8125,32.25,32.625,17.127412796020508,943400,0.0,0.0,TRV,TRV
2000-01-21,32.0,32.0625,31.0,31.5,16.53681182861328,1000300,0.0,0.0,TRV,TRV
2000-01-24,31.625,32.4375,31.3125,32.125,16.864927291870117,586500,0.0,0.0,TRV,TRV
2000-01-25,32.125,32.8125,31.25,31.375,16.4711971282959,609700,0.0,0.0,TRV,TRV
2000-01-26,31.4375,32.4375,31.1875,32.375,16.996164321899414,503300,0.0,0.0,TRV,TRV
2000-01-27,32.0,32.375,29.8125,30.5625,16.044641494750977,1316500,0.0,0.0,TRV,TRV
2000-01-28,30.0625,30.1875,29.3125,30.0,15.749348640441896,814900,0.0,0.0,TRV,TRV
2000-01-31,29.8125,30.1875,29.125,30.1875,15.84776782989502,612200,0.0,0.0,TRV,TRV
2000-02-01,30.0,30.0,27.5,29.3125,15.388421058654783,1023000,0.0,0.0,TRV,TRV
2000-02-02,29.375,29.375,27.5,27.875,14.633761405944824,1416900,0.0,0.0,TRV,TRV
2000-02-03,27.875,27.875,26.375,26.625,13.977544784545898,1374600,0.0,0.0,TRV,TRV
2000-02-04,26.75,27.1875,25.75,26.75,14.04316234588623,1507200,0.0,0.0,TRV,TRV
2000-02-07,26.75,27.0,26.25,26.625,13.977544784545898,1126800,0.0,0.0,TRV,TRV
2000-02-08,26.75,26.8125,26.125,26.3125,13.81348705291748,1073900,0.0,0.0,TRV,TRV
2000-02-09,26.25,26.4375,25.3125,25.4375,13.354126930236816,1127900,0.0,0.0,TRV,TRV
2000-02-10,25.0,25.25,24.1875,24.5,12.861964225769045,3271100,0.0,0.0,TRV,TRV
2000-02-11,24.5625,24.75,23.75,24.375,12.796342849731444,680900,0.0,0.0,TRV,TRV
2000-02-14,24.25,24.5625,24.0625,24.25,12.730717658996582,436300,0.0,0.0,TRV,TRV
2000-02-15,24.5,24.625,24.1875,24.3125,12.763532638549805,689700,0.0,0.0,TRV,TRV
2000-02-16,24.3125,24.9375,24.3125,24.5,12.861964225769045,1297000,0.0,0.0,TRV,TRV
2000-02-17,24.875,25.125,24.25,24.625,12.927583694458008,562200,0.0,0.0,TRV,TRV
2000-02-18,24.5625,24.6875,23.125,23.625,12.402606010437012,529900,0.0,0.0,TRV,TRV
2000-02-22,23.625,24.5,23.0625,23.875,12.533851623535156,966400,0.0,0.0,TRV,TRV
2000-02-23,23.75,24.125,23.5,23.75,12.468229293823242,1101500,0.0,0.0,TRV,TRV
2000-02-24,23.625,23.75,22.25,22.75,11.943249702453612,803000,0.0,0.0,TRV,TRV
2000-02-25,23.5,23.75,22.8125,22.875,12.008875846862791,545200,0.0,0.0,TRV,TRV
2000-02-28,23.1875,23.625,23.0625,23.0625,12.10731029510498,971800,0.0,0.0,TRV,TRV
2000-02-29,23.125,23.5625,22.25,22.375,11.746384620666504,1211500,0.0,0.0,TRV,TRV
2000-03-01,22.5,23.25,21.75,22.5625,11.844818115234377,1397000,0.0,0.0,TRV,TRV
2000-03-02,22.5625,23.0625,22.0625,22.625,11.8776273727417,1166300,0.0,0.0,TRV,TRV
2000-03-03,22.5625,23.4375,22.3125,22.5625,11.844818115234377,668600,0.0,0.0,TRV,TRV
2000-03-06,22.3125,22.6875,22.1875,22.4375,11.77920150756836,793900,0.0,0.0,TRV,TRV
2000-03-07,22.4375,22.6875,22.0625,22.0625,11.582330703735352,885100,0.0,0.0,TRV,TRV
2000-03-08,22.125,22.5,21.375,21.75,11.418274879455566,661200,0.0,0.0,TRV,TRV
2000-03-09,21.375,23.1875,21.3125,22.75,11.943249702453612,1607800,0.0,0.0,TRV,TRV
2000-03-10,22.75,23.25,22.625,23.0,12.07450008392334,634300,0.0,0.0,TRV,TRV
2000-03-13,22.75,22.75,22.25,22.5,11.81200885772705,1183300,0.0,0.0,TRV,TRV
2000-03-14,22.5,23.5,22.125,22.3125,11.713574409484863,1030100,0.0,0.0,TRV,TRV
2000-03-15,22.75,24.5,22.6875,23.875,12.533851623535156,853100,0.0,0.0,TRV,TRV
2000-03-16,24.5,27.375,24.5,27.1875,14.272836685180664,1798200,0.0,0.0,TRV,TRV
2000-03-17,27.1875,27.75,26.125,26.625,13.977544784545898,1410200,0.0,0.0,TRV,TRV
2000-03-20,26.75,27.0,26.125,26.3125,13.81348705291748,720700,0.0,0.0,TRV,TRV
2000-03-21,26.0625,27.75,26.0625,27.5625,14.469708442687988,934700,0.0,0.0,TRV,TRV
2000-03-22,27.125,27.875,26.875,27.375,14.371278762817385,794500,0.0,0.0,TRV,TRV
2000-03-23,27.0625,29.25,27.0625,28.25,14.830623626708984,1290000,0.0,0.0,TRV,TRV
2000-03-24,28.875,29.9375,28.625,29.5,15.486860275268556,754100,0.0,0.0,TRV,TRV
2000-03-27,29.25,29.5625,29.0625,29.5,15.486860275268556,1205100,0.0,0.0,TRV,TRV
2000-03-28,29.4375,30.8125,29.4375,30.0,15.749348640441896,1754800,0.0,0.0,TRV,TRV
2000-03-29,29.625,30.0,29.5625,29.9375,15.85926342010498,775000,0.27,0.0,TRV,TRV
2000-03-30,30.5,33.0,30.3125,32.625,17.282962799072266,1717400,0.0,0.0,TRV,TRV
2000-03-31,32.6875,34.3125,32.625,34.125,18.07757377624512,2262800,0.0,0.0,TRV,TRV
2000-04-03,34.0,34.375,33.4375,34.0,18.011354446411133,1440600,0.0,0.0,TRV,TRV
2000-04-04,34.875,35.0,32.8125,33.0,17.481605529785156,1644700,0.0,0.0,TRV,TRV
2000-04-05,33.125,33.5,32.6875,32.6875,17.316062927246094,754000,0.0,0.0,TRV,TRV
2000-04-06,32.9375,33.0,31.75,32.25,17.08429718017578,1125800,0.0,0.0,TRV,TRV
2000-04-07,33.0,33.125,31.625,31.875,16.88564109802246,626200,0.0,0.0,TRV,TRV
2000-04-10,32.0,32.3125,31.5,32.125,17.018089294433594,512100,0.0,0.0,TRV,TRV
2000-04-11,31.875,32.4375,31.625,32.3125,17.117408752441406,557300,0.0,0.0,TRV,TRV
2000-04-12,33.0,33.25,32.5,32.5,17.21673583984375,1086300,0.0,0.0,TRV,TRV
2000-04-13,32.75,32.9375,32.125,32.875,17.41539764404297,729200,0.0,0.0,TRV,TRV
2000-04-14,32.25,32.25,29.875,30.0,15.892375946044922,756600,0.0,0.0,TRV,TRV
2000-04-17,31.0,31.0,29.625,30.0625,15.92547607421875,996200,0.0,0.0,TRV,TRV
2000-04-18,30.0,31.0,29.6875,30.875,16.355899810791016,622600,0.0,0.0,TRV,TRV
2000-04-19,30.5625,30.625,29.625,29.875,15.826154708862305,678400,0.0,0.0,TRV,TRV
2000-04-20,29.75,30.875,29.3125,30.6875,16.256574630737305,1593500,0.0,0.0,TRV,TRV
2000-04-24,30.875,31.25,30.25,31.125,16.488340377807617,1222800,0.0,0.0,TRV,TRV
2000-04-25,31.125,33.125,31.125,33.0,17.481605529785156,1421500,0.0,0.0,TRV,TRV
2000-04-26,33.5,33.5,32.5,32.75,17.34917640686035,976300,0.0,0.0,TRV,TRV
2000-04-27,32.25,33.5,31.625,33.25,17.61404800415039,1988700,0.0,0.0,TRV,TRV
2000-04-28,33.5,36.375,33.0625,35.625,18.872203826904297,1365100,0.0,0.0,TRV,TRV
2000-05-01,35.6875,36.875,34.8125,35.25,18.67353248596192,1281500,0.0,0.0,TRV,TRV
2000-05-02,35.5625,35.75,34.875,35.4375,18.772863388061523,1008000,0.0,0.0,TRV,TRV
2000-05-03,35.4375,35.5,33.5625,33.625,17.812700271606445,567800,0.0,0.0,TRV,TRV
2000-05-04,33.875,34.3125,32.875,33.875,17.94513702392578,741800,0.0,0.0,TRV,TRV
2000-05-05,34.0,34.0,32.75,33.6875,17.845813751220703,385500,0.0,0.0,TRV,TRV
2000-05-08,33.6875,34.75,33.625,33.8125,17.912029266357422,552700,0.0,0.0,TRV,TRV
2000-05-09,34.25,34.5,33.4375,34.0,18.011354446411133,733000,0.0,0.0,TRV,TRV
2000-05-10,34.125,34.625,33.5,34.25,18.14379501342773,460700,0.0,0.0,TRV,TRV
2000-05-11,34.25,35.375,33.625,35.25,18.67353248596192,764000,0.0,0.0,TRV,TRV
2000-05-12,35.4375,35.5,34.5,35.5,18.805984497070312,706000,0.0,0.0,TRV,TRV
2000-05-15,35.5625,37.25,35.5,37.0625,19.63369941711425,1472000,0.0,0.0,TRV,TRV
2000-05-16,37.125,38.125,36.75,37.75,19.997907638549805,1424900,0.0,0.0,TRV,TRV
2000-05-17,37.75,37.75,36.625,36.75,19.468162536621094,1012400,0.0,0.0,TRV,TRV
2000-05-18,36.75,37.6875,36.75,37.1875,19.69991874694824,761900,0.0,0.0,TRV,TRV
2000-05-19,37.25,37.375,35.875,36.375,19.269500732421875,687200,0.0,0.0,TRV,TRV
2000-05-22,36.625,37.75,36.1875,37.625,19.931684494018555,941300,0.0,0.0,TRV,TRV
2000-05-23,37.5,37.875,36.8125,37.8125,20.03101921081543,919900,0.0,0.0,TRV,TRV
2000-05-24,37.625,38.75,37.625,38.5,20.395206451416016,1314600,0.0,0.0,TRV,TRV
2000-05-25,38.3125,38.4375,37.25,37.875,20.06412506103516,1094300,0.0,0.0,TRV,TRV
2000-05-26,37.625,37.625,36.875,37.125,19.66681861877441,669200,0.0,0.0,TRV,TRV
2000-05-30,37.0,38.1875,36.9375,37.8125,20.03101921081543,626700,0.0,0.0,TRV,TRV
2000-05-31,37.875,37.875,36.9375,37.5,19.865459442138672,860200,0.0,0.0,TRV,TRV
2000-06-01,37.25,38.5625,36.9375,38.375,20.328981399536133,1107800,0.0,0.0,TRV,TRV
2000-06-02,38.625,39.1875,38.5,39.1875,20.759408950805664,572100,0.0,0.0,TRV,TRV
2000-06-05,39.0,39.25,38.25,38.75,20.52764892578125,1033800,0.0,0.0,TRV,TRV
2000-06-06,38.375,38.75,37.9375,38.625,20.46142768859864,930900,0.0,0.0,TRV,TRV
2000-06-07,38.625,39.375,38.625,38.875,20.593870162963867,914800,0.0,0.0,TRV,TRV
2000-06-08,38.0,38.625,37.125,37.875,20.06412506103516,1054300,0.0,0.0,TRV,TRV
2000-06-09,37.8125,38.4375,37.8125,38.3125,20.295883178710938,388100,0.0,0.0,TRV,TRV
2000-06-12,38.5,38.625,37.25,37.40625,19.81579971313477,449200,0.0,0.0,TRV,TRV
