Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,RawSymbol,YahooSymbol
2000-01-03,4.5625,4.5625,4.125,4.395833015441895,3.342456817626953,153600,0.0,0.0,WWD,WWD
2000-01-04,4.40625,4.5,4.333333015441895,4.4166669845581055,3.3582985401153564,133800,0.0,0.0,WWD,WWD
2000-01-05,4.520833015441895,4.520833015441895,4.083333015441895,4.2916669845581055,3.2632532119750977,209400,0.0,0.0,WWD,WWD
2000-01-06,4.28125,4.28125,4.083333015441895,4.239583015441895,3.223650455474853,112200,0.0,0.0,WWD,WWD
2000-01-07,4.25,4.302083015441895,4.145833015441895,4.25,3.23157000541687,83400,0.0,0.0,WWD,WWD
2000-01-10,4.302083015441895,4.302083015441895,3.9895830154418954,3.9895830154418954,3.033557891845703,282000,0.0,0.0,WWD,WWD
2000-01-11,4.125,4.1666669845581055,4.0,4.09375,3.112762928009033,78600,0.0,0.0,WWD,WWD
2000-01-12,4.09375,4.208333015441895,4.09375,4.145833015441895,3.15236496925354,66000,0.0,0.0,WWD,WWD
2000-01-13,4.125,4.2916669845581055,4.125,4.2291669845581055,3.215728998184204,29400,0.0,0.0,WWD,WWD
2000-01-14,4.2291669845581055,4.4166669845581055,4.2291669845581055,4.3125,3.27909255027771,175200,0.0,0.0,WWD,WWD
2000-01-18,4.2916669845581055,4.302083015441895,4.09375,4.09375,3.112762928009033,289800,0.0,0.0,WWD,WWD
2000-01-19,4.083333015441895,4.1666669845581055,4.0,4.0,3.04147744178772,160200,0.0,0.0,WWD,WWD
2000-01-20,4.0104169845581055,4.083333015441895,3.9375,3.9791669845581055,3.0256354808807373,94800,0.0,0.0,WWD,WWD
2000-01-21,3.9791669845581055,3.984375,3.8229169845581055,3.914062976837158,2.9761340618133545,225600,0.0,0.0,WWD,WWD
2000-01-24,3.9114580154418954,4.0416669845581055,3.8541669845581055,3.8541669845581055,2.930589437484741,162600,0.0,0.0,WWD,WWD
2000-01-25,3.9583330154418954,3.9583330154418954,3.8333330154418954,3.8333330154418954,2.9147486686706543,115200,0.0,0.0,WWD,WWD
2000-01-26,3.8333330154418954,3.9166669845581055,3.8333330154418954,3.9166669845581055,2.9781136512756348,20400,0.0,0.0,WWD,WWD
2000-01-27,3.8333330154418954,4.0,3.8333330154418954,3.9166669845581055,2.9781136512756348,68400,0.0,0.0,WWD,WWD
2000-01-28,3.9166669845581055,3.9166669845581055,3.9166669845581055,3.9166669845581055,2.9781136512756348,2400,0.0,0.0,WWD,WWD
2000-01-31,3.9166669845581055,3.9166669845581055,3.84375,3.84375,2.922670841217041,189000,0.0,0.0,WWD,WWD
2000-02-01,3.8333330154418954,3.9166669845581055,3.7708330154418954,3.7916669845581055,2.8830671310424805,29400,0.0,0.0,WWD,WWD
2000-02-02,3.84375,3.9270830154418954,3.7916669845581055,3.8333330154418954,2.9147486686706543,43200,0.0,0.0,WWD,WWD
2000-02-03,3.8125,3.9375,3.8125,3.90625,2.9701931476593018,168600,0.0,0.0,WWD,WWD
2000-02-04,3.8541669845581055,3.8958330154418954,3.8541669845581055,3.8541669845581055,2.930589437484741,135000,0.0,0.0,WWD,WWD
2000-02-07,3.8541669845581055,3.8958330154418954,3.8125,3.8958330154418954,2.9622724056243896,66000,0.0,0.0,WWD,WWD
2000-02-08,3.9583330154418954,3.9583330154418954,3.8541669845581055,3.8958330154418954,2.9622724056243896,270000,0.0,0.0,WWD,WWD
2000-02-09,3.9479169845581055,3.9583330154418954,3.8541669845581055,3.8541669845581055,2.930589437484741,301800,0.0,0.0,WWD,WWD
2000-02-10,3.8854169845581055,3.8958330154418954,3.875,3.875,2.976421356201172,142200,0.038833,0.0,WWD,WWD
2000-02-11,3.8333330154418954,3.9166669845581055,3.8333330154418954,3.8541669845581055,2.9604172706604004,69600,0.0,0.0,WWD,WWD
2000-02-14,3.8541669845581055,3.8541669845581055,3.7708330154418954,3.78125,2.9044110774993896,54600,0.0,0.0,WWD,WWD
2000-02-15,3.75,3.84375,3.7083330154418954,3.8333330154418954,2.944415330886841,236400,0.0,0.0,WWD,WWD
2000-02-16,3.8333330154418954,3.8333330154418954,3.7708330154418954,3.78125,2.9044110774993896,38400,0.0,0.0,WWD,WWD
2000-02-17,3.7708330154418954,3.8333330154418954,3.6458330154418954,3.7291669845581055,2.8644051551818848,297000,0.0,0.0,WWD,WWD
2000-02-18,3.7708330154418954,3.7916669845581055,3.7291669845581055,3.75,2.8804070949554443,98400,0.0,0.0,WWD,WWD
2000-02-22,3.7291669845581055,3.8229169845581055,3.7291669845581055,3.8229169845581055,2.9364144802093506,88800,0.0,0.0,WWD,WWD
2000-02-23,3.7916669845581055,3.8229169845581055,3.7708330154418954,3.7708330154418954,2.896408796310425,34800,0.0,0.0,WWD,WWD
2000-02-24,3.7916669845581055,3.8333330154418954,3.7916669845581055,3.8229169845581055,2.9364144802093506,78000,0.0,0.0,WWD,WWD
2000-02-25,3.875,3.875,3.7291669845581055,3.7291669845581055,2.8644051551818848,32400,0.0,0.0,WWD,WWD
2000-02-28,3.7291669845581055,3.7395830154418954,3.7291669845581055,3.7317709922790527,2.866405963897705,10200,0.0,0.0,WWD,WWD
2000-02-29,3.7291669845581055,3.8333330154418954,3.7291669845581055,3.8333330154418954,2.944415330886841,59400,0.0,0.0,WWD,WWD
2000-03-01,3.8333330154418954,3.9166669845581055,3.7291669845581055,3.9166669845581055,3.008424997329712,155400,0.0,0.0,WWD,WWD
2000-03-02,3.9166669845581055,3.9583330154418954,3.8541669845581055,3.90625,3.0004241466522217,210600,0.0,0.0,WWD,WWD
2000-03-03,3.8802080154418954,4.0,3.8333330154418954,4.0,3.072434186935425,321000,0.0,0.0,WWD,WWD
2000-03-06,4.0,4.0,3.8333330154418954,3.9791669845581055,3.05643081665039,74400,0.0,0.0,WWD,WWD
2000-03-07,3.8854169845581055,3.9166669845581055,3.8333330154418954,3.90625,3.0004241466522217,121800,0.0,0.0,WWD,WWD
2000-03-08,3.8541669845581055,3.9479169845581055,3.8541669845581055,3.9166669845581055,3.008424997329712,133200,0.0,0.0,WWD,WWD
2000-03-09,3.9375,3.9583330154418954,3.9375,3.9375,3.0244274139404297,55200,0.0,0.0,WWD,WWD
2000-03-10,3.9791669845581055,4.0,3.9479169845581055,3.9791669845581055,3.05643081665039,277800,0.0,0.0,WWD,WWD
2000-03-13,3.9166669845581055,3.9791669845581055,3.8958330154418954,3.8958330154418954,2.992422819137573,41400,0.0,0.0,WWD,WWD
2000-03-14,3.8958330154418954,3.8958330154418954,3.7291669845581055,3.7708330154418954,2.896408796310425,61800,0.0,0.0,WWD,WWD
2000-03-15,3.75,3.9010419845581055,3.7135419845581055,3.8333330154418954,2.944415330886841,166800,0.0,0.0,WWD,WWD
2000-03-16,3.7916669845581055,3.8333330154418954,3.75,3.8072919845581055,2.924412965774536,132600,0.0,0.0,WWD,WWD
2000-03-17,3.7916669845581055,3.8333330154418954,3.7916669845581055,3.8020830154418954,2.920413017272949,95400,0.0,0.0,WWD,WWD
2000-03-20,3.7916669845581055,3.8229169845581055,3.7604169845581055,3.7708330154418954,2.896408796310425,43200,0.0,0.0,WWD,WWD
2000-03-21,3.7708330154418954,3.8020830154418954,3.7708330154418954,3.8020830154418954,2.920413017272949,119400,0.0,0.0,WWD,WWD
2000-03-22,3.78125,3.8333330154418954,3.78125,3.8229169845581055,2.9364144802093506,60600,0.0,0.0,WWD,WWD
2000-03-23,3.8125,3.9375,3.78125,3.78125,2.9044110774993896,81000,0.0,0.0,WWD,WWD
2000-03-24,3.8333330154418954,3.8333330154418954,3.78125,3.8333330154418954,2.944415330886841,25800,0.0,0.0,WWD,WWD
2000-03-27,3.8333330154418954,3.8333330154418954,3.78125,3.8333330154418954,2.944415330886841,174000,0.0,0.0,WWD,WWD
2000-03-28,3.75,3.7916669845581055,3.75,3.7916669845581055,2.9124112129211426,135000,0.0,0.0,WWD,WWD
2000-03-29,3.8333330154418954,3.8333330154418954,3.7291669845581055,3.7604169845581055,2.88840913772583,63000,0.0,0.0,WWD,WWD
2000-03-30,3.7604169845581055,3.7916669845581055,3.7291669845581055,3.78125,2.9044110774993896,124200,0.0,0.0,WWD,WWD
2000-03-31,3.78125,3.8333330154418954,3.7708330154418954,3.8333330154418954,2.944415330886841,666000,0.0,0.0,WWD,WWD
2000-04-03,3.7708330154418954,3.8333330154418954,3.7291669845581055,3.75,2.8804070949554443,85200,0.0,0.0,WWD,WWD
2000-04-04,3.7291669845581055,3.8333330154418954,3.71875,3.71875,2.8564043045043945,52200,0.0,0.0,WWD,WWD
2000-04-05,3.6666669845581055,3.8333330154418954,3.6666669845581055,3.7916669845581055,2.9124112129211426,80400,0.0,0.0,WWD,WWD
2000-04-06,3.8333330154418954,3.84375,3.6666669845581055,3.84375,2.9524178504943848,278400,0.0,0.0,WWD,WWD
2000-04-07,3.828125,3.875,3.828125,3.875,2.976421356201172,123600,0.0,0.0,WWD,WWD
2000-04-10,3.8645830154418954,3.90625,3.7708330154418954,3.7708330154418954,2.896408796310425,135600,0.0,0.0,WWD,WWD
2000-04-11,3.9166669845581055,3.9166669845581055,3.7708330154418954,3.8333330154418954,2.944415330886841,15000,0.0,0.0,WWD,WWD
2000-04-12,3.875,3.9583330154418954,3.875,3.9583330154418954,3.0404293537139893,51000,0.0,0.0,WWD,WWD
2000-04-13,3.9583330154418954,4.0416669845581055,3.8333330154418954,3.9791669845581055,3.05643081665039,90000,0.0,0.0,WWD,WWD
2000-04-14,3.9583330154418954,4.052083015441895,3.8333330154418954,3.8333330154418954,2.944415330886841,18000,0.0,0.0,WWD,WWD
2000-04-17,3.8333330154418954,4.0,3.7291669845581055,3.8333330154418954,2.944415330886841,27600,0.0,0.0,WWD,WWD
