asset_type,symbol,description,path
ETF,AAXJ,iShares MSCI All Country Asia,ETFs\AAXJ
ETF,ARKG,ARK Genomic Revolution ETF,ETFs\ARKG
ETF,ARKK,ARK Innovation ETF,ETFs\ARKK
ETF,ARKW,ARK Next Generation Internet E,ETFs\ARKW
ETF,DGRO,iShares Core Dividend Growth E,ETFs\DGRO
ETF,DIA,"State Street SPDR Dow Jones Industrial Average ETF
Trust",ETFs\DIA
ETF,DVY,iShares Select Dividend ETF,ETFs\DVY
ETF,EEM,iShares MSCI Emerging Markets,ETFs\EEM
ETF,EFA,iShares MSCI EAFE ETF,ETFs\EFA
ETF,EFAV,iShares MSCI EAFE Min Vol Fact,ETFs\EFAV
ETF,EFG,iShares MSCI EAFE Growth ETF,ETFs\EFG
ETF,EFV,iShares MSCI EAFE Value ETF,ETFs\EFV
ETF,EMB,iShares JP Morgan USD Emerging,ETFs\EMB
ETF,ESGU,iShares ESG Aware MSCI USA ETF,ETFs\ESGU
ETF,EWJ,iShares MSCI Japan ETF,ETFs\EWJ
ETF,EWT,iShares MSCI Taiwan ETF,ETFs\EWT
ETF,EWY,iShares MSCI South Korea ETF,ETFs\EWY
ETF,EWZ,iShares MSCI Brazil ETF,ETFs\EWZ
ETF,EZU,iShares MSCI Eurozone ETF,ETFs\EZU
ETF,FDN,First Trust Dow Jones Internet,ETFs\FDN
ETF,FTEC,Fidelity MSCI Information Tech,ETFs\FTEC
ETF,FVD,First Trust Value Line Dividen,ETFs\FVD
ETF,GDX,VanEck Vectors Gold Miners ETF,ETFs\GDX
ETF,GDXJ,VanEck Vectors Junior Gold Min,ETFs\GDXJ
ETF,GLD,SPDR Gold Shares,ETFs\GLD
ETF,GSLC,Goldman Sachs ActiveBeta U.S.,ETFs\GSLC
ETF,HDV,iShares Core High Dividend ETF,ETFs\HDV
ETF,IBB,iShares Nasdaq Biotechnology E,ETFs\IBB
ETF,ICLN,iShares Global Clean Energy ET,ETFs\ICLN
ETF,IGV,iShares Expanded Tech-Software,ETFs\IGV
ETF,IHI,iShares U.S. Medical Devices E,ETFs\IHI
ETF,IJH,iShares Core S&P Mid-Cap ETF,ETFs\IJH
ETF,IJR,iShares Core S&P Small-Cap ETF,ETFs\IJR
ETF,IJS,iShares S&P Small-Cap 600 Valu,ETFs\IJS
ETF,INDA,iShares MSCI India ETF,ETFs\INDA
ETF,ITOT,iShares Core S&P Total US Stoc,ETFs\ITOT
ETF,IUSG,iShares Core S&P U.S. Growth E,ETFs\IUSG
ETF,IUSV,iShares Core S&P U.S. Value ET,ETFs\IUSV
ETF,IVE,iShares S&P 500 Value ETF,ETFs\IVE
ETF,IVW,iShares S&P 500 Growth ETF,ETFs\IVW
ETF,IWB,iShares Russell 1000 ETF,ETFs\IWB
ETF,IWD,iShares Russell 1000 Value ETF,ETFs\IWD
ETF,IWF,iShares Russell 1000 Growth ET,ETFs\IWF
ETF,IWM,iShares Russell 2000 ETF,ETFs\IWM
ETF,IWN,iShares Russell 2000 Value ETF,ETFs\IWN
ETF,IWO,iShares Russell 2000 Growth ET,ETFs\IWO
ETF,IWS,iShares Russell Mid-Cap Value,ETFs\IWS
ETF,IYR,iShares U.S. Real Estate ETF,ETFs\IYR
ETF,IYW,iShares US Technology ETF,ETFs\IYW
ETF,KRE,State Street SPDR S&P Regional Banking ETF,ETFs\KRE
ETF,MCHI,iShares MSCI China ETF,ETFs\MCHI
ETF,MDY,State Street SPDR S&P MidCap 400 ETF Trust,ETFs\MDY
ETF,MTUM,iShares MSCI USA Momentum Fact,ETFs\MTUM
ETF,NFLX,Netflix Inc,Stocks\US\Nasdaq\NFLX
ETF,OEF,iShares S&P 100 ETF,ETFs\OEF
ETF,PFF,iShares Preferred & Income Sec,ETFs\PFF
ETF,QQQ,Invesco QQQ Trust Series 1,ETFs\QQQ
ETF,QUAL,iShares MSCI USA Quality Facto,ETFs\QUAL
ETF,RSP,Invesco S&P 500 Equal Weight E,ETFs\RSP
ETF,SCHB,Schwab US Broad Market ETF,ETFs\SCHB
ETF,SCHD,Schwab US Dividend Equity ETF,ETFs\SCHD
ETF,SCHF,Schwab International Equity ET,ETFs\SCHF
ETF,SCHG,Schwab U.S. Large-Cap Growth E,ETFs\SCHG
ETF,SCHV,Schwab U.S. Large-Cap Value ET,ETFs\SCHV
ETF,SCZ,iShares MSCI EAFE Small-Cap ET,ETFs\SCZ
ETF,SKYY,First Trust Cloud Computing ET,ETFs\SKYY
ETF,SLV,iShares Silver Trust,ETFs\SLV
ETF,SMH,VanEck Vectors Semiconductor E,ETFs\SMH
ETF,SOXX,iShares PHLX Semiconductor ETF,ETFs\SOXX
ETF,SPDW,State Street SPDR Portfolio Developed World ex-US ETF,ETFs\SPDW
ETF,SPLV,Invesco S&P 500 Low Volatility,ETFs\SPLV
ETF,SPY,State Street SPDR S&P 500 ETF Trust,ETFs\SPY
ETF,SPYG,State Street SPDR Portfolio S&P 500 Growth ETF,ETFs\SPYG
