name,path,description
AUDCAD,Forex\AUDCAD,Australian Dollar vs Canadian Dollar
AUDCHF,Forex\AUDCHF,Australian Dollar vs Swiss Franc
AUDJPY,Forex\AUDJPY,Australian Dollar vs Japanese Yen
AUDNZD,Forex\AUDNZD,Australian Dollar vs New Zealand Dollar
AUDUSD,Forex\AUDUSD,Australian Dollar vs US Dollar
CADCHF,Forex\CADCHF,Canadian Dollar vs Swiss Franc
CADJPY,Forex\CADJPY,Canadian Dollar vs Japanese Yen
CHFJPY,Forex\CHFJPY,Swiss Frank vs Japanese Yen
EURAUD,Forex\EURAUD,Euro vs Australian Dollar
EURCAD,Forex\EURCAD,Euro vs Canadian Dollar
EURCHF,Forex\EURCHF,Euro vs Swiss Franc
EURGBP,Forex\EURGBP,Euro vs Great Britain Pound
EURJPY,Forex\EURJPY,Euro vs Japanese Yen
EURMXN,Forex\EURMXN,Euro vs. Mexican Peso
EURNOK,Forex\EURNOK,Euro vs Norwegian Kroner
EURNZD,Forex\EURNZD,Euro vs New Zealand Dollar
EURSEK,Forex\EURSEK,Euro vs Swedish krona
EURTRY,Forex\EURTRY,Euro vs. Turkish Lira
EURUSD,Forex\EURUSD,Euro vs US Dollar
GBPAUD,Forex\GBPAUD,Great Britain Pound vs Australian Dollar
GBPCAD,Forex\GBPCAD,Great Britain Pound vs Canadian Dollar
GBPCHF,Forex\GBPCHF,Great Britain Pound vs Swiss Franc
GBPJPY,Forex\GBPJPY,British Pound vs Japanese Yen
GBPMXN,Forex\GBPMXN,British Pound vs. Mexican Peso
GBPNOK,Forex\GBPNOK,British Pound vs Norwegian Kroner
GBPNZD,Forex\GBPNZD,Great Britan Pound vs New Zealand Dollar
GBPSEK,Forex\GBPSEK,British Pound vs Swedish krona
GBPTRY,Forex\GBPTRY,British Pound vs. Turkish Lira
GBPUSD,Forex\GBPUSD,Great Britan Pound vs US Dollar
NZDCAD,Forex\NZDCAD,New Zealand Dollar vs Canadian Dollar
NZDCHF,Forex\NZDCHF,New Zealand Dollar vs Swiss Franc
NZDJPY,Forex\NZDJPY,New Zealand vs Japanise Yen
NZDUSD,Forex\NZDUSD,New Zealand Dollar vs US Dollar
USDCAD,Forex\USDCAD,US Dollar vs Canadian Dollar
USDCHF,Forex\USDCHF,US Dollar vs Swiss Franc
USDJPY,Forex\USDJPY,US Dollar vs Japanese Yen
USDMXN,Forex\USDMXN,US Dollar vs. Mexican Peso
USDNOK,Forex\USDNOK,US Dollar vs Norwegian Krone
USDSEK,Forex\USDSEK,US dollar vs Swedish krona
USDSGD,Forex\USDSGD,US Dollar vs Singapore Dollar
USDTRY,Forex\USDTRY,US Dollar vs. Turkish Lira
AUS200,Indices\Index 3\AUS200,Australian Stock Index
FCHI40,Indices\Index 3\FCHI40,France 40
GDAXI,Indices\Index DAX\GDAXI,Germany 40
FISV,Stocks\US\Nasdaq\FISV,Fiserv Inc
NDX,Indices\Index 3\NDX,US Tech 100
SPA35,Indices\Index DAX\SPA35,Spanish IBEX35 Index
AAL,Stocks\US\Nasdaq\AAL,American Airlines Group Inc
ACHC,Stocks\US\Nasdaq\ACHC,Acadia Healthcare Co Inc
ADBE,Stocks\US\Nasdaq\ADBE,Adobe Inc
ADI,Stocks\US\Nasdaq\ADI,Analog Devices Inc
ADP,Stocks\US\Nasdaq\ADP,Automatic Data Processing Inc
ADSK,Stocks\US\Nasdaq\ADSK,Autodesk Inc
AKAM,Stocks\US\Nasdaq\AKAM,Akamai Technologies Inc
ALGN,Stocks\US\Nasdaq\ALGN,Align Technology Inc
ALNY,Stocks\US\Nasdaq\ALNY,Alnylam Pharmaceuticals Inc
AMAT,Stocks\US\Nasdaq\AMAT,Applied Materials Inc
AMD,Stocks\US\Nasdaq\AMD,Advanced Micro Devices Inc
AMGN,Stocks\US\Nasdaq\AMGN,Amgen Inc
AMKR,Stocks\US\Nasdaq\AMKR,Amkor Technology Inc
AMZN,Stocks\US\Nasdaq\AMZN,Amazon.com Inc
APA,Stocks\US\Nasdaq\APA,APA Corp
APLS,Stocks\US\Nasdaq\APLS,Apellis Pharmaceuticals Inc
ARCC,Stocks\US\Nasdaq\ARCC,Ares Capital Corp
ARWR,Stocks\US\Nasdaq\ARWR,Arrowhead Pharmaceuticals Inc
AVGO,Stocks\US\Nasdaq\AVGO,Broadcom Inc
AXON,Stocks\US\Nasdaq\AXON,Axon Enterprise Inc
AZTA,Stocks\US\Nasdaq\AZTA,Azenta Inc
BIIB,Stocks\US\Nasdaq\BIIB,Biogen Inc
BKNG,Stocks\US\Nasdaq\BKNG,Booking Holdings Inc
BL,Stocks\US\Nasdaq\BL,Blackline Inc
BLDR,Stocks\US\Nasdaq\BLDR,Builders FirstSource Inc
BLK,Stocks\US\Nasdaq\BLK,BlackRock Inc
BMRN,Stocks\US\Nasdaq\BMRN,BioMarin Pharmaceutical Inc
BRKR,Stocks\US\Nasdaq\BRKR,Bruker Corp
CACC,Stocks\US\Nasdaq\CACC,Credit Acceptance Corp
CAR,Stocks\US\Nasdaq\CAR,Avis Budget Group Inc
CASY,Stocks\US\Nasdaq\CASY,Casey's General Stores Inc
CDNS,Stocks\US\Nasdaq\CDNS,Cadence Design Systems Inc
CDW,Stocks\US\Nasdaq\CDW,CDW Corp/DE
CG,Stocks\US\Nasdaq\CG,Carlyle Group Inc/The
CGNX,Stocks\US\Nasdaq\CGNX,Cognex Corp
CHDN,Stocks\US\Nasdaq\CHDN,Churchill Downs Inc
CHRW,Stocks\US\Nasdaq\CHRW,CH Robinson Worldwide Inc
CHTR,Stocks\US\Nasdaq\CHTR,Charter Communications Inc
CINF,Stocks\US\Nasdaq\CINF,Cincinnati Financial Corp
CMCSA,Stocks\US\Nasdaq\CMCSA,Comcast Corp
CME,Stocks\US\Nasdaq\CME,CME Group Inc
COLM,Stocks\US\Nasdaq\COLM,Columbia Sportswear Co
COST,Stocks\US\Nasdaq\COST,Costco Wholesale Corp
CPRT,Stocks\US\Nasdaq\CPRT,Copart Inc
CROX,Stocks\US\Nasdaq\CROX,Crocs Inc
CRWD,Stocks\US\Nasdaq\CRWD,Crowdstrike Holdings Inc
CSGP,Stocks\US\Nasdaq\CSGP,CoStar Group Inc
CSX,Stocks\US\NYSE\CSX,CSX Corp
CTAS,Stocks\US\Nasdaq\CTAS,Cintas Corp
CTSH,Stocks\US\Nasdaq\CTSH,Cognizant Technology Solutions
DBX,Stocks\US\Nasdaq\DBX,Dropbox Inc
DDOG,Stocks\US\Nasdaq\DDOG,Datadog Inc
DLTR,Stocks\US\Nasdaq\DLTR,Dollar Tree Inc
DNLI,Stocks\US\Nasdaq\DNLI,Denali Therapeutics Inc
DOCU,Stocks\US\Nasdaq\DOCU,DocuSign Inc
DOX,Stocks\US\Nasdaq\DOX,Amdocs Ltd
DXCM,Stocks\US\Nasdaq\DXCM,Dexcom Inc
EA,Stocks\US\Nasdaq\EA,Electronic Arts Inc
EBAY,Stocks\US\Nasdaq\EBAY,eBay Inc
EEFT,Stocks\US\Nasdaq\EEFT,Euronet Worldwide Inc
ENPH,Stocks\US\Nasdaq\ENPH,Enphase Energy Inc
ENTG,Stocks\US\Nasdaq\ENTG,Entegris Inc
ETSY,Stocks\US\NYSE\ETSY,Etsy Inc
EWBC,Stocks\US\Nasdaq\EWBC,East West Bancorp Inc
EXEL,Stocks\US\Nasdaq\EXEL,Exelixis Inc
